COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE,VERIFIED LOCATION,REGION,Location 1
"4360 Walden Avenue, LLC",Erie,Lancaster,31029604660000,Long 1,NR,GD,-78.60982,42.92599,NO,9,"{'longitude': '-78.60982', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""Lancaster"",""state"":""NY"",""zip"":""""}', 'latitude': '42.92599'}"
Acme Drilling,Steuben,Troupsburg,31101001590000,Dearman 1,UM,DW,-77.51408,42.01934,NO,8,"{'longitude': '-77.51408', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""Troupsburg"",""state"":""NY"",""zip"":""""}', 'latitude': '42.01934'}"
"Adams, E.H. et al",Schuyler,Hector,31097005440000,Collins 1,UM,DW,-76.87313,42.52099,NO,8,"{'longitude': '-76.87313', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""Hector"",""state"":""NY"",""zip"":""""}', 'latitude': '42.52099'}"
"Adams, E.H. et al",Seneca,Junius,31099022520000,Weckerline 1,UM,GD,-76.95505,42.96357,NO,8,"{'longitude': '-76.95505', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""Junius"",""state"":""NY"",""zip"":""""}', 'latitude': '42.96357'}"
Advance Oil & Gas,Chautauqua,Pomfret,31013021170000,Maxtoxi Walter,UN,NL,-79.32698,42.406,NO,9,"{'longitude': '-79.32698', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""Pomfret"",""state"":""NY"",""zip"":""""}', 'latitude': '42.406'}"
Advance Oil & Gas,Chautauqua,Pomfret,31013021200000,Roman Rzescewicz 1,UN,NL,-79.33476,42.40572,NO,9,"{'longitude': '-79.33476', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""Pomfret"",""state"":""NY"",""zip"":""""}', 'latitude': '42.40572'}"
Advance Oil & Gas,Chautauqua,Dunkirk,31013019400000,Seybold L 1,UN,GD,-79.3151,42.45949,NO,9,"{'longitude': '-79.3151', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""Dunkirk"",""state"":""NY"",""zip"":""""}', 'latitude': '42.45949'}"
Akron Natural Gas,Erie,Alden,31029030370000,Andrew Ignatz Benzel,UN,GD,-78.55539,42.87409,NO,9,"{'longitude': '-78.55539', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""Alden"",""state"":""NY"",""zip"":""""}', 'latitude': '42.87409'}"
Akron Natural Gas,Erie,Alden,31029030260000,Dutwiler J,UN,GD,-78.56998,42.94643,NO,9,"{'longitude': '-78.56998', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""Alden"",""state"":""NY"",""zip"":""""}', 'latitude': '42.94643'}"
Akron Natural Gas,Genesee,Pembroke,31037029260000,Flint 2,UL,GD,-78.43959,42.98309,NO,8,"{'longitude': '-78.43959', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""Pembroke"",""state"":""NY"",""zip"":""""}', 'latitude': '42.98309'}"
