Licence_ID_Installation_Number,Pipeline_Licence_Number,Pipeline_Installation_ID,Installation_Type,BA_ID,BA_Name,Permit_Approval_Date,Permit_Expiry_Date,Installation_Power,Prime_Source,Geometry_Source,Installation_Location,Pipeline_Installation_Status,Original_Installation_Number,Original_Installation_ID,Original_Licence_Issue_Date,Field_Centre,H2S_Content,Substance_1,Substance_2,Substance_3
10049-1,10049,1,Compressor Station,A7M1,Canlin Energy Corporation,,,0.0000000000,Turbine,Mapping,13-07-016-01W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10049-2,10049,2,Meter Station,A7M1,Canlin Energy Corporation,1976-08-24 00:00:00,1977-08-24 00:00:00,0.0000000000,,Mapping,01-34-016-01W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10102-1,10102,1,Compressor Station,0TM9,NAL Resources Limited,,,1091.0000000000,Reciprocating,Mapping,10-04-039-04W5,Operating,,,,Red Deer,0,Natural Gas,,
10131-1,10131,1,Meter Station,A7BY,Cleo Energy Corp.,,,0.0000000000,,Mapping,10-11-045-08W4,Operating,,,,Wainwright,0,Natural Gas,,
10157-1,10157,1,Meter Station,0G30,ARC Resources Ltd.,,,0.0000000000,,Mapping,06-01-016-13W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10157-2,10157,2,Meter Station,0G30,ARC Resources Ltd.,,,0.0000000000,,Mapping,10-31-015-12W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10197-1,10197,1,Compressor Station,A74H,Houston Oil & Gas Ltd.,,,550.0000000000,Natural Gas,Mapping,01-07-020-25W4,Operating,,,,Calgary,0,Natural Gas,,
10220-1,10220,1,Compressor Station,0AW4,Paramount Resources Ltd.,,,0.0000000000,Reciprocating,Mapping,05-12-065-19W4,Operating,,,,Edmonton,0,Natural Gas,,
10221-1,10221,1,Compressor Station,0HE9,Canadian Natural Resources Limited,,,0.0000000000,Unknown,Mapping,06-15-033-13W4,Operating,,,,Wainwright,0,Natural Gas,,
10223-1,10223,1,Compressor Station,0026,Encana Corporation,,,0.0000000000,Electric,Mapping,13-17-102-02W6,Operating,,,,Grande Prairie,0,Natural Gas,,
10228-1,10228,1,Compressor Station,0026,Encana Corporation,,,172.0000000000,Unknown,Mapping,07-09-059-17W4,Operating,,,,Bonnyville,0,Natural Gas,,
10238-1,10238,1,Compressor Station,0RL9,Baytex Energy Ltd.,,,90.0000000000,Turbine,Mapping,10-08-062-25W4,Operating,,,,Edmonton,0,Natural Gas,,
10248-1,10248,1,Compressor Station,0HE9,Canadian Natural Resources Limited,,,172.0000000000,Unknown,Mapping,11-24-060-18W4,Operating,,,,Edmonton,0,Natural Gas,,
10249-1,10249,1,Compressor Station,A2TG,TAQA North Ltd.,1984-11-06 00:00:00,1985-11-06 00:00:00,127.0000000000,Reciprocating,Mapping,02-22-034-05W5,Operating,,,,Red Deer,0,Natural Gas,,
10251-1,10251,1,Compressor Station,0EC2,Pleasant Hills Resources Ltd.,,,99990.0000000000,Electric,Mapping,06-26-068-20W4,Abandoned,,,,Edmonton,0,Natural Gas,,
10260-1,10260,1,Compressor Station,0R89,Signalta Resources Limited,,,149.0000000000,Reciprocating,Mapping,08-07-014-05W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10261-1,10261,1,Meter Station,A7NW,Torxen Energy Ltd.,,,0.0000000000,,Mapping,13-01-020-11W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10261-2,10261,2,Meter Station,A7NW,Torxen Energy Ltd.,,,0.0000000000,,Mapping,15-03-020-11W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10261-3,10261,3,Meter Station,A7NW,Torxen Energy Ltd.,,,0.0000000000,,Mapping,16-26-019-11W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10261-4,10261,4,Meter Station,A7NW,Torxen Energy Ltd.,,,0.0000000000,,Mapping,16-14-019-11W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10271-1,10271,1,Tank Farm,A31G,Plains Midstream Canada ULC,1995-02-13 00:00:00,1995-08-13 00:00:00,0.0000000000,,Mapping,10-05-046-04W5,Operating,,,,Drayton Valley,0,HVP Products,,
10271-2,10271,2,Pump Station,A31G,Plains Midstream Canada ULC,,,250.0000000000,Electric,Mapping,10-05-046-04W5,Operating,,,,Drayton Valley,0,HVP Products,,
10273-1,10273,1,Compressor Station,0HE9,Canadian Natural Resources Limited,,,746.0000000000,Reciprocating,Mapping,04-02-023-15W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10275-1,10275,1,Meter Regulator Stn.,0RL9,Baytex Energy Ltd.,,,0.0000000000,,Mapping,07-02-058-23W4,Operating,,,,Edmonton,0.1,Natural Gas,,
10278-1,10278,1,Compressor Station,A7M1,Canlin Energy Corporation,,,373.0000000000,Reciprocating,Mapping,13-26-017-03W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10282-1,10282,1,Meter Station,0HE9,Canadian Natural Resources Limited,,,0.0000000000,,Mapping,06-11-021-03W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10282-2,10282,2,Meter Station,0HE9,Canadian Natural Resources Limited,,,0.0000000000,,Mapping,06-11-021-03W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10285-1,10285,1,Meter Regulator Stn.,A2J6,Crescent Point Energy Corp.,,,0.0000000000,,Mapping,08-18-001-15W4,Operating,,,,Medicine Hat,0,Natural Gas,,
10305-1,10305,1,Compressor Station,0039,Repsol Oil & Gas Canada Inc.,,,1603.0000000000,Reciprocating,Mapping,01-32-044-04W4,Operating,,,,Wainwright,0,Natural Gas,,
