BAIdentifier,BALegalName,BAAddress,BAPhoneNumber,BACorporateStatus,BACorporateStatusEffectiveDate,AmalgamatedIntoBAID,AmalgamatedIntoBALegalName,BAAmalgamationEstablishedDate
0001,177293 CANADA LTD.,PETRO-CANADA 150 6 AVE FL 21 PO BOX 2844  CALGARY AB CA T2P 3E3,403-296-8000,STRUCK,2012-04-02,,,
0002,GULF CANADA LIMITED,401 9 AVE SW PO BOX 130   CALGARY AB CA T2P 2H7,403-233-4000,ACTIVE,1984-12-01,,,
0003,MCGAHA CHARLES ,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,NON REGISTERED,2002-10-01,,,
0006,HOME OIL COMPANY LIMITED,HOME OIL TOWER 324 8 AVE SW SUITE 1600   CALGARY AB CA T2P 2Z5,780-422-1395,AMALGAMATED,2003-09-01,0K29,DEVON CANADA CORPORATION,2004-03-31
0007,IMPERIAL OIL RESOURCES LIMITED,505 QUARRY PARK BLVD SE PO BOX 2480 STN M   CALGARY AB CA T2P 3M9,403-237-3737,ACTIVE,1984-12-01,,,
0008,KOCH OIL CO LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,ACTIVE,2002-10-01,,,
0009,TWIN RICHFIELD OILS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0024,TWIN RICHFIELD OILS LTD,2002-10-31
0010,TALISMAN ENERGY INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1987-03-01,0BX2,TALISMAN ENERGY INC.,2002-10-31
0011,OAKWOOD PETROLEUMS LIMITED,"2000, 400 3 AVE SW    CALGARY AB CA T2P 4H2",780-422-1395,AMALGAMATED,1992-10-01,0N72,SCEPTRE RESOURCES LIMITED,2002-10-31
0012,PETRO-CANADA,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0246,PETRO-CANADA,2002-10-31
0014,SCHERMERHORN OIL CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1964-12-31,,,
0015,HOME OIL COMPANY LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1994-01-01,0006,HOME OIL COMPANY LIMITED,2002-10-31
0016,CANTERRA ENERGY LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0L73,CANTERRA ENERGY LTD.,2002-10-31
0017,IMPERIAL OIL RESOURCES,REVENUE AND ROYALTY ACCOUNTING 505 QUARRY PARK BLVD SE PO BOX 2480 STN M  CALGARY AB CA T2P 3M9,403-237-3737,DISSOLUTION/DISSOLVED,2016-12-31,,,
0018,KERR-MCGEE CANADA LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0AD1,BRAE CANADA LTD.,2002-10-31
0019,TALISMAN ENERGY INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1989-01-01,0158,TALISMAN ENERGY INC.,2002-10-31
0020,SUNOMA ENERGY CORP,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0G31,SUNOMA ENERGY CORP.,2002-10-31
0021,NORTHWESTERN UTILITIES LIMITED,909 11 AVE SW SUITE 400    CALGARY AB CA T2R 1L8,403-245-7492,STRUCK,2006-05-02,,,
0022,ROTHWELL OIL LIMITED,PO BOX 1920 STATION M    CALGARY AB CA T2P 2M2,206-953-8994,ACTIVE,2002-10-01,,,
0023,DUNBAR OIL LTD,BOW VALLEY SQUARE I 202 6 AVE SW SUITE 1050   CALGARY AB CA T2P 2R9,780-422-1395,STRUCK,1995-12-20,,,
0024,TWIN RICHFIELD OILS LTD,C O COOPERS & LYBRAND LIMITED 255 5 AVE SW SUITE 2400   CALGARY AB CA T2P 3G6,780-422-1395,STRUCK,1994-02-01,,,
0025,EXXONMOBIL RESOURCES LTD.,237 4 AVE SW PO BOX 800   CALGARY AB CA T2P 2J7,403-237-3737,AMALGAMATED,2004-02-23,A0NG,EXXONMOBIL CANADA RESOURCES COMPANY,2004-05-31
0026,ENCANA CORPORATION,500 CENTRE ST SE PO BOX 2850   CALGARY AB CA T2P 2S5,403-645-5567,ACTIVE,1984-12-01,,,
0027,HARRY BASS DRILLING COMPANY,444 5 AVE SW SUITE 800    CALGARY AB CA T2P 2T8,780-422-1395,STRUCK,1961-03-15,,,
0028,CHEVRON CANADA PROPERTIES LIMITED,500 5 AVE SW    CALGARY AB CA T2P 0L7,403-787-7600,ACTIVE,1984-12-01,,,
0029,ANADARKO CANADA CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0031,ANADARKO CANADA CORPORATION,2002-10-31
002B,OLD DUTCH FOODS LTD.,100 BENTALL ST    WINNIPEG MB CA R2X 2Y5,780-422-1395,ACTIVE,2002-10-01,,,
0030,WELL OPERATORS LIMITED,"c/o FISHER, GLENN 111 WOODHAVEN SW   CALGARY AB CA T2W 5N8",780-422-1395,DISSOLUTION/DISSOLVED,2010-04-01,,,
0031,ANADARKO CANADA CORPORATION,425 1 ST SW PO BOX 2595 STN M   CALGARY AB CA T2P 4V4,403-231-0111,AMALGAMATED,2006-11-03,A2D4,ACC-CNR RESOURCES CORPORATION,2006-12-31
0032,KENSO ENTERPRISES LTD,5223 MARLBOROUGH DR NE    CALGARY AB CA T2A 2Z8,780-422-1395,STRUCK,2000-12-02,,,
0033,HAMILTON BROTHERS CANADIAN GAS COMPANY LTD.,1560 BROADWAY SUITE 2200    DENVER CO US 802025100,303-863-3000,ACTIVE,2014-01-20,,,
0034,MITCHELL & ASSOCIATES LTD,14 ALEXANDER CIR NW    EDMONTON AB CA T5N 1Z9,780-422-1395,STRUCK,2002-11-02,,,
0035,RANGER OIL LIMITED,855 2 ST SW SUITE 2500 BOX 6926 STN D   CALGARY AB CA T2P 2G1,780-422-1395,AMALGAMATED,2000-10-01,0HE9,CANADIAN NATURAL RESOURCES LIMITED,2002-10-31
0036,LEGAL OIL & GAS LTD.,c/o TREVOY SIMPSON LLP 10180 101 ST SUITE 680   EDMONTON AB CA T5J 3S4,780-422-1395,STRUCK,2003-08-02,,,
0037,SHELL CANADA LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0T03,SHELL CANADA LIMITED,2002-10-31
0039,REPSOL OIL & GAS CANADA INC.,888 3 ST SW SUITE 2000    CALGARY AB CA T2P 5C5,403-237-1234,ACTIVE,1984-12-01,,,
0042,GULF CANADA LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0002,GULF CANADA LIMITED,2002-10-31
0043,PETRO-CANADA,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0246,PETRO-CANADA,2002-10-31
0044,MARCY JAMES M. ,6642 MUIRLANDS DR    LA JOLLA CA US 920376313,780-422-1395,NON REGISTERED,2002-10-01,,,
0045,CHEVRON CANADA LIMITED,500 5 AVE SW    CALGARY AB CA T2P 0L7,403-234-5000,ACTIVE,1984-12-01,,,
0046,SHELL CANADA LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0T03,SHELL CANADA LIMITED,2002-10-31
0047,BP CANADA ENERGY RESOURCES COMPANY,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0LF3,BP CANADA ENERGY RESOURCES COMPANY,2002-10-31
0048,PETRO-CANADA ENTERPRISES INC,PO BOX 2844    CALGARY AB CA T2P 3E3,780-422-1395,STRUCK,1984-08-01,,,
0049,KENTING LIMITED,800 5 AVE SW SUITE 2200    CALGARY AB CA T2P 3T6,780-422-1395,STRUCK,1997-04-29,,,
004B,FALHER ALFALFA LTD.,801 6 AVE SW FLOOR 6    CALGARY AB CA T2P 3W2,780-422-1395,STRUCK,2009-11-02,,,
0050,ANADARKO CANADA CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0031,ANADARKO CANADA CORPORATION,2002-10-31
0051,ALBERTA ENERGY COMPANY LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0R61,ALBERTA ENERGY COMPANY LTD.,2002-10-31
0053,INTER-CITY GAS CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0059,INTER-CITY GAS CORPORATION,2002-10-31
0054,SUNCOR ENERGY INC.,150 6 AVE SW PO BOX 2844   CALGARY AB CA T2P 3E3,403-269-8100,ACTIVE,1984-12-01,,,
0055,TECK CORPORATION,200 BURRARD ST SUITE 600    VANCOUVER BC CA V6C 3L9,780-422-1395,STRUCK,1997-03-13,,,
0056,BP CANADA ENERGY RESOURCES COMPANY,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0LF3,BP CANADA ENERGY RESOURCES COMPANY,2002-10-31
0057,EXXONMOBIL CANADA LTD.,505 QUARRY PARK BLVD SE PO BOX 2480 STATION M   CALGARY AB CA T2P 3M9,403-237-3737,ACTIVE,2003-09-02,,,
0058,IMPERIAL OIL RESOURCES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0007,IMPERIAL OIL RESOURCES LIMITED,2002-10-31
0059,INTER-CITY GAS CORPORATION,CENTRA GAS MANITOBA INCORPORATE 444 ST MARY AVE SUITE 500   WINNIPEG MB CA R3C 3T7,780-422-1395,STRUCK,1992-07-01,,,
0060,BP CANADA ENERGY COMPANY ULC,PO BOX 200 STN M    CALGARY AB CA T2P 2H8,403-233-1313,AMALGAMATED,2012-04-02,A31G,PLAINS MIDSTREAM CANADA ULC,2012-10-31
0061,APACHE CORPORATION,421 7 AVE SW SUITE 2800    CALGARY AB CA T2P 4K9,403-531-8142,ACTIVE,2007-07-02,,,
0062,NEXEN INC,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0226,NEXEN ENERGY ULC,2002-10-31
0063,MURPHY OIL COMPANY LTD.,520 3 AVE SW SUITE 4000 PO BOX 2721 STN M   CALGARY AB CA T2P 3Y3,403-294-8000,ACTIVE,1984-12-01,,,
0064,MUSKETEER ENERGY LTD,BP CANADA ENERGY RESOURCES COMP 240 4 AVE SW PO BOX 200  CALGARY AB CA T2P 2H8,780-422-1395,AMALGAMATED,1989-01-01,0005,BP CANADA ENERGY RESOURCES COMPANY,2002-10-31
0065,LATIMER J.S. ,RR 5    EDMONTON AB CA T5P 4B7,780-422-1395,NON REGISTERED,2002-10-01,,,
0066,CLEARPORT HOLDINGS LTD.,4511 14A ST SW    CALGARY AB CA T2T 3Y4,780-422-1395,STRUCK,2011-01-02,,,
0067,FOSCA OIL CO LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,ACTIVE,2002-10-01,,,
0069,J. M. HUBER CORPORATION,700 9 AVE SW SUITE 500    CALGARY AB CA T2P 3V4,780-422-1395,STRUCK,1997-07-01,,,
0070,TEXAS CRUDE OIL COMPANY,303 SILVERGROVE DR NW    CALGARY AB CA T3B 4M4,403-808-3571,ACTIVE,1984-12-01,,,
0071,CANADIAN RESERVE OIL AND GAS LTD.,505 QUARRY PARK BLVD SE PO BOX 2480 STN M   CALGARY AB CA T2P 3M9,403-237-3737,ACTIVE,1984-12-01,,,
0073,STONE PETROLEUMS LTD.,717 7 AVE SW SUITE 1050    CALGARY AB CA T2P 0Z3,403-262-4572,ACTIVE,1992-01-01,,,
0074,CYNTHIA GAS GATHERING COMPANY LIMITED,"ZDUNICH, JEFFERY B. 525 8 AVE SW SUITE 3800   CALGARY AB CA T2P 1G1",780-422-1395,DISSOLUTION/DISSOLVED,2016-09-29,,,
0075,DEVONIAN NATURAL GAS COMPANY LIMITED,11160 JASPER AVE NW    EDMONTON AB CA T5K 0L1,780-422-1395,STRUCK,1971-07-15,,,
0076,ANADARKO CANADA CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0031,ANADARKO CANADA CORPORATION,2002-10-31
0077,NORTH AMERICAN CHEMICALS LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1968-09-15,,,
0078,NORTHWESTERN UTILITIES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,1993-01-01,0021,NORTHWESTERN UTILITIES LIMITED,2002-10-31
0079,WIDNEY WELL SERVICING LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0XC0,WIDNEY WELL SERVICING LTD,2002-10-31
0080,AUSQUACAN ENERGY LIMITED,BEAU CANADA EXPLORATION LTD PETRO CANADA CENTRE W TOWER 150 6 AVE SW SUITE 4700  CALGARY AB CA T2P 3Y7,780-422-1395,STRUCK,1995-11-23,,,
0081,IMPERIAL OIL RESOURCES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,AMALGAMATED,2002-10-01,0007,IMPERIAL OIL RESOURCES LIMITED,2002-10-31
0083,ACHESON-EAST OIL & GAS CO LTD.,10305 97 ST    EDMONTON AB CA T5J 0M1,780-422-1395,STRUCK,2009-05-02,,,
0084,MID-WEST GAS TRANSMISSION LTD,PO BOX 2595 STN M    CALGARY AB CA T2P 4V4,780-422-1395,AMALGAMATED,1995-01-26,0618,MID-WEST GAS TRANSMISSION LTD,2002-10-31
0085,OVAL NATURAL GAS COMPANY LIMITED,505 QUARRY PARK BLVD SE PO BOX 2480 STN M   CALGARY AB CA T2P 3M9,780-422-1395,STRUCK,1975-10-31,,,
0087,ATLAS WELL OPERATORS LIMITED,ROYAL CENTRE SUITE 3000 1055 WEST GEORGIA ST PO BOX 11130  VANCOUVER BC CA V6E 3R3,780-422-1395,STRUCK,2010-03-17,,,
0089,CANADIAN PROPANE GAS & OIL OF ALBERTA LTD,ATTEN: ICG LIQUID GAS LTD 444 ST MARY AVE   WINNIPEG MB CA R3C 3T7,780-422-1395,LIQUIDATION,2002-10-01,,,
0090,NUFIELD OPERATORS LTD,320 9 AVE SW    CALGARY AB CA T2P 1K6,780-422-1395,STRUCK,1974-07-15,,,
0091,NELCALREDA OILS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,STRUCK,1968-11-30,,,
0092,OIL CITY PETROLEUMS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,780-422-1395,NON REGISTERED,2002-10-01,,,
0093,IRETON PETROLEUMS LTD,11104 107 AVE NW    EDMONTON AB CA T5H 0X8,780-422-1395,STRUCK,1982-11-30,,,
