Month,Year,Corporate Entity,Pipeline Name,Key Point, Total Nominations (1000 m3/d) ,Apportionment percent
1,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,43,19%
2,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,74,52%
3,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,106,65%
4,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,39,10%
5,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,29,0%
6,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,37,2%
7,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,37,0%
8,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,37,0%
9,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,49,20%
10,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,36,2%
11,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,43,14%
12,2006,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,46,34%
1,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,42,13%
2,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,37,5%
3,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,35,0%
4,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,46,13%
5,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,49,16%
6,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,67,37%
7,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,61,31%
8,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,50,15%
9,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,60,30%
10,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,67,42%
11,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,61,29%
12,2007,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,76,47%
1,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,47,15%
2,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,42,0%
3,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,33,0%
4,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,42,5%
5,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,42,0%
6,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,41,0%
7,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,38,0%
8,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,36,0%
9,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,58,28%
10,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,58,31%
11,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,55,10%
12,2008,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,40,0%
1,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,28,0%
2,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,40,5%
3,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,52,8%
4,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,38,5%
5,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,32,0%
6,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,50,8%
7,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,55,9%
8,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,64,17%
9,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,58,15%
10,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,68,30%
11,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,63,21%
12,2009,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,48,0%
1,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,50,7%
2,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,47,0%
3,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,50,9%
4,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,44,0%
5,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,73,38%
6,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,68,26%
7,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,80,37%
8,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,78,33%
9,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,92,51%
10,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,113,57%
11,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,93,46%
12,2010,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,84,43%
1,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,116,60%
2,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,125,65%
3,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,126,62%
4,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,116,58%
5,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,105,58%
6,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,124,69%
7,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,144,72%
8,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,157,73%
9,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,163,74%
10,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,134,67%
11,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,142,68%
12,2011,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,145,75%
1,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,146,72%
2,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,164,73%
3,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,140,69%
4,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,120,61%
5,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,136,66%
6,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,141,68%
7,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,166,73%
8,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,157,69%
9,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,138,67%
10,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,144,71%
11,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,161,73%
12,2012,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,147,70%
1,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,161,72%
2,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,156,71%
3,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,139,66%
4,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,140,67%
5,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,125,62%
6,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,131,63%
7,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,128,74%
8,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,138,69%
9,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,143,74%
10,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,145,74%
11,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,141,67%
12,2013,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,138,72%
1,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,126,68%
2,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,142,70%
3,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,142,69%
4,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,126,64%
5,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,140,68%
6,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,145,69%
7,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,153,71%
8,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,157,71%
9,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,138,68%
10,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,149,69%
11,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,143,68%
12,2014,Trans Mountain Pipeline ULC,Trans Mountain Pipeline,All,150,67%
