Date,Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Capacity (1000 m3/d), Throughput (1000 m3/d),Throughput (GJ/d)
N/A,7,2009,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,3165.434194,117880.0951
N/A,8,2009,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,4449.539032,165699.8858
N/A,9,2009,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,3092.881,115178.2296
N/A,10,2009,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,4665.274194,173733.8172
N/A,11,2009,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,5173.447333,192658.0767
N/A,12,2009,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,9407.57871,350336.2272
N/A,1,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,12370.16742,460662.3997
N/A,2,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,9067.963214,337689.0185
N/A,3,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,4403.862903,163998.9164
N/A,4,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,3812.184,141964.9201
N/A,5,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,4521.678065,168386.328
N/A,6,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,4134.677667,153974.5156
N/A,7,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,4041.564839,150507.0137
N/A,8,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,3328.814516,123964.3435
N/A,9,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,3279.895,122142.5911
N/A,10,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,3343.417419,124508.1525
N/A,11,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,3871.872333,144187.7009
N/A,12,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,11728.44516,436764.7995
N/A,1,2011,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,19408.97,722785.9085
N/A,2,2011,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,16930.28571,630480.2337
N/A,3,2011,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,11388.68323,424112.1374
N/A,4,2011,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,8276.802667,308226.3683
N/A,5,2011,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,1191.857419,44384.51642
N/A,6,2011,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,7426.554667,276563.3138
N/A,7,2011,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,7121.574194,265205.906
N/A,8,2011,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,4058.449677,151135.8015
N/A,9,2011,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,4404.626,164027.334
N/A,10,2011,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,7139.254929,265864.3328
N/A,11,2011,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,8007.435333,298195.1861
N/A,12,2011,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,8964.842258,333848.8161
N/A,1,2012,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,9566.936774,356270.6876
N/A,2,2012,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,9643.31069,359114.8359
N/A,3,2012,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,5367.138065,199871.0783
N/A,4,2012,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,2811.590667,104703.0375
N/A,5,2012,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,1361.527419,50702.99108
N/A,6,2012,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,2358.546333,87831.76306
N/A,7,2012,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,2848.07129,106061.5682
N/A,8,2012,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,2840.344516,105773.8248
N/A,9,2012,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,2818.104667,104945.6175
N/A,10,2012,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,2899.519032,107977.4711
N/A,11,2012,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,4065.12,151384.2029
N/A,12,2012,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,7439.40871,277041.9957
N/A,1,2013,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,11391.44258,424214.8952
N/A,2,2013,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,6480.4975,241332.3465
N/A,3,2013,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,3773.603548,140528.1923
N/A,4,2013,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,1412.593667,52604.68725
N/A,5,2013,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,581.7580645,21664.5464
N/A,6,2013,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,724.63091,26985.10073
N/A,7,2013,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,957.4822774,35656.43606
N/A,8,2013,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,9.009096774,335.4968448
N/A,9,2013,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,851.0522033,31693.00277
N/A,10,2013,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,271.2692774,10102.01011
N/A,11,2013,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,3504.817237,130518.6473
N/A,12,2013,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,2799.560232,104255.0267
N/A,1,2014,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,N/A,N/A,N/A,West,Export,28317,5698.620074,212215.3977
