Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput 1000 m3/d,Capacity (1000 m3/d),Reason for variance from nameplate capacity
7,2014,Kinder Morgan,Cochin,Ft. Saskatchewan,53.75,-113.17,West,import,condensate,0.53,15.1,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
7,2014,Kinder Morgan,Cochin,Windsor ,42.28,-83.08,East,import,refined petroleum products,0.0014,12.08,
7,2014,Kinder Morgan,Cochin,Regina,50.47,-104.72,East,import,refined petroleum products,0.01, -   ,
8,2014,Kinder Morgan,Cochin,Ft. Saskatchewan,53.75,-113.17,West,import,condensate,0.58,15.1,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
8,2014,Kinder Morgan,Cochin,Windsor,42.28,-83.08,East,import,refined petroleum products, -   ,12.08,
9,2014,Kinder Morgan,Cochin,Ft. Saskatchewan,53.75,-113.17,West,import,condensate,10.9,15.1,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
9,2014,Kinder Morgan,Cochin,Windsor,42.28,-83.08,East,import,refined petroleum products, -   ,12.08,
10,2014,Kinder Morgan,Cochin,Ft. Saskatchewan,53.75,-113.17,West,import,condensate,11.33,15.1,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
10,2014,Kinder Morgan,Cochin,Windsor,42.28,-83.08,East,import,refined petroleum products, -   ,12.08,
11,2014,Kinder Morgan,Cochin,Ft. Saskatchewan,53.75,-113.17,West,import,condensate,10.22,15.1,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
11,2014,Kinder Morgan,Cochin,Windsor,42.28,-83.08,East,import,refined petroleum products, -   ,12.08,
12,2014,Kinder Morgan,Cochin,Ft. Saskatchewan,53.75,-113.17,West,import,condensate,13.11,15.1,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
12,2014,Kinder Morgan,Cochin,Windsor,42.28,-83.08,East,import,refined petroleum products,88.24,12.08,
