Date,Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
1,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,55670,2104326
2,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,56386,2131391
3,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,56076,2119673
4,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,58003,2192513
5,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59384,2244715
6,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,57747,2182837
7,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,54918,2075900
8,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,56288,2127686
9,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,55894,2112793
10,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59460,2247588
11,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,58890,2226042
12,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,56581,2138762
13,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60540,2288412
14,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59063,2232581
15,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59127,2235001
16,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,58157,2198335
17,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59583,2252237
18,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,57545,2175201
19,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59103,2234093
20,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,58663,2217461
21,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,56972,2153542
22,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,56984,2153995
23,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59454,2247361
24,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,58942,2228008
25,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60223,2276429
26,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,58371,2206424
27,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,56197,2124247
28,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,55996,2116649
29,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,55442,2095708
30,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,56050,2118690
31,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59197,2237647
1,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59662,2255224
2,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,57172,2161102
3,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59577,2252011
4,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60128,2272838
5,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60126,2272763
6,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60463,2285501
7,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,58421,2208314
8,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60320,2280096
9,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60068,2270570
10,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,61496,2324549
11,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,61138,2311016
12,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,61632,2329690
13,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59337,2242939
14,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,57903,2188733
15,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60610,2291058
16,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,58985,2229633
17,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59371,2244224
18,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59814,2260969
19,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59718,2257340
20,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60219,2276278
21,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60126,2272763
22,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59204,2237911
23,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59660,2255148
24,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59730,2257794
25,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59520,2249856
26,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60766,2296955
27,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,59033,2231447
28,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,57027,2155621
1,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,53794,2033413
2,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,55947,2114797
3,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,55303,2090453
4,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,53793,2033375
5,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,53609,2026420
6,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,53449,2020372
7,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,55268,2089130
8,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,58569,2213908
9,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,57243,2163785
10,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,52825,1996785
11,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,52316,1977545
12,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,52387,1980229
13,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,52405,1980909
14,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60529,2287996
15,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,61450,2322810
16,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,62152,2349346
17,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,61603,2328593
18,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,56489,2135284
19,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,56375,2130975
20,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,56893,2150555
21,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60398,2283044
22,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60616,2291285
23,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,60025,2268945
24,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,56556,2137817
25,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,55294,2090113
26,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,55671,2104364
27,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,55573,2100659
28,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,54395,2056131
29,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,53678,2029028
30,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,53138,2008616
31,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,66100,52364,1979359
1,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,45199,1708522
2,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,49024,1853107
3,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,48461,1831826
4,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,37494,1417273
5,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,44865,1695897
6,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,47215,1784727
7,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,48932,1849630
8,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,49444,1868983
9,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,49440,1868832
10,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,45273,1711319
11,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,45552,1721866
12,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,46105,1742769
13,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,44798,1693364
14,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,42921,1622414
15,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,42681,1613342
16,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,42792,1617538
17,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,43337,1638139
18,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,44873,1696199
19,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,46433,1755167
20,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,46366,1752635
21,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,47562,1797844
22,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,43689,1651444
23,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,46491,1757360
24,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,48593,1836815
25,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,42374,1601737
26,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,41062,1552144
27,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,45419,1716838
28,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,46105,1742769
29,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,45864,1733659
30,4,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,45778,1730408
1,5,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,51513,1947191
2,5,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,51662,1952824
3,5,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,49983,1889357
4,5,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,51571,1949384
5,5,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,50448,1906934
6,5,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,48488,1832846
7,5,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,49192,1859458
8,5,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,47641,1800830
9,5,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,50147,1895557
10,5,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,48512,1833754
11,5,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,49326,1864523
12,5,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.000373,-107.543544,Southeast,Export,61500,48369,1828348
