Year,Month,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput 1000m3/day,Capacity (1000 m3/d),Reason for variance from nameplate capacity
2010,7,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,3,18.11360935,NEB/Regulatory Directive
2010,7,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,15,18.11360935,NEB/Regulatory Directive
2010,8,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,0,15.12937223,NEB/Regulatory Directive
2010,8,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,15,15.12937223,NEB/Regulatory Directive
2010,9,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,0,41.49568378,NEB/Regulatory Directive
2010,9,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,25,41.49568378,NEB/Regulatory Directive
2010,10,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,3,39.42884896,NEB/Regulatory Directive
2010,10,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,21,39.42884896,NEB/Regulatory Directive
2010,11,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,9,43.88049319,NEB/Regulatory Directive
2010,11,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,21,43.88049319,NEB/Regulatory Directive
2010,12,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,9,35.6131539,NEB/Regulatory Directive
2010,12,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,26,35.6131539,NEB/Regulatory Directive
2011,1,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,11,45.01293929,Downstream Restrictions
2011,1,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,34,45.01293929,Downstream Restrictions
2011,2,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,16,67.79217857,Downstream Restrictions
2011,2,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,42,67.79217857,Downstream Restrictions
2011,3,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,11,74.40605368,Downstream Restrictions
2011,3,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,51,74.40605368,Downstream Restrictions
2011,4,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,6,72.18023156,Downstream Restrictions
2011,4,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,54,72.18023156,Downstream Restrictions
2011,5,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,6,73.92909179,"Downstream Restrictions, Curtailment/Interruption"
2011,5,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,44,73.92909179,"Downstream Restrictions, Curtailment/Interruption"
2011,6,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,10,68.04656191,"Downstream Restrictions, Curtailment/Interruption"
2011,6,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,42,68.04656191,"Downstream Restrictions, Curtailment/Interruption"
2011,7,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,17,66.13871438,"Downstream Restrictions, Curtailment/Interruption"
2011,7,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,48,66.13871438,"Downstream Restrictions, Curtailment/Interruption"
2011,8,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,14,62.9589685,"Downstream Restrictions, Curtailment/Interruption"
2011,8,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,48,62.9589685,"Downstream Restrictions, Curtailment/Interruption"
2011,9,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,29,77.26782497,Downstream Restrictions
2011,9,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,48,77.26782497,Downstream Restrictions
2011,10,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,29,79.97060897,Downstream Restrictions
2011,10,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,42,79.97060897,Downstream Restrictions
2011,11,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,29,82.27842797,Downstream Restrictions
2011,11,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,53,82.27842797,Downstream Restrictions
2011,12,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,24,80.59673097,Downstream Restrictions
2011,12,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,56,80.59673097,Downstream Restrictions
2012,1,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,23,85.069461,Downstream Restrictions
2012,1,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,62,85.069461,Downstream Restrictions
2012,2,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,19,86.544,Downstream Restrictions
