Date,Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
1,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,228618.3,8641771.74
2,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,228982.9,8655553.62
3,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,226252.4,8552340.72
4,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,227613.6,8603794.08
5,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,231551.5,8752646.7
6,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,231716,8758864.8
7,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,226209.5,8550719.1
8,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,225864.1,8537662.98
9,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,226693.5,8569014.3
10,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,220978.1,8352972.18
11,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,215466,8144614.8
12,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,213961,8087725.8
13,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,222176.7,8398279.26
14,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,223566.2,8450802.36
15,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,226051.6,8544750.48
16,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,229177.7,8662917.06
17,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,224038.3,8468647.74
18,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,228777.2,8647778.16
19,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,231615.3,8755058.34
20,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,232473.4,8787494.52
21,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,229673.2,8681646.96
22,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,227976.6,8617515.48
23,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,225045.9,8506735.02
24,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,233954.8,8843491.44
25,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,229759.5,8684909.1
26,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,234813.3,8875942.74
27,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,236184,8927755.2
28,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,229593,8678615.4
29,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,230086.9,8697284.82
30,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,227155.7,8586485.46
31,1,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,232731.3,8797243.14
1,2,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,223451.4,8446462.92
2,2,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,218490.9,8258956.02
3,2,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,229971.3,8692915.14
4,2,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,231575.1,8753538.78
5,2,2006,NOVA Gas Transmission Ltd. (NGTL),NGTL System,East Gate,50.66083,-110.027822,East & Southeast,IntraCanada,220461,232773.9,8798853.42
