Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Capacity (1000 m3/d),Reason for variance from nameplate capacity
1,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.573223276,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
2,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.274023314,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
3,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.693615301,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
4,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.49762928,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
5,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.289277022,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
6,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.304735357,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
7,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.237798007,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
8,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.044010223,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
9,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.069731657,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
10,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.960606537,5.473684211,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
