Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput 1000 m3/d,Capacity (1000 m3/d),Reason for variance from nameplate capacity
1,2006,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.5,not available,not available
2,2006,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.8,not available,not available
3,2006,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.8,not available,not available
4,2006,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,27.2,not available,not available
5,2006,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,27.4,not available,not available
6,2006,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.5,not available,not available
7,2006,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,35.2,not available,not available
8,2006,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.3,not available,not available
9,2006,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,35.6,not available,not available
10,2006,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,36.6,not available,not available
11,2006,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,37.2,not available,not available
12,2006,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,36,not available,not available
1,2007,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,34.6,not available,not available
2,2007,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30.9,not available,not available
3,2007,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.3,not available,not available
4,2007,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30.9,not available,not available
5,2007,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33,not available,not available
6,2007,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,37.2,not available,not available
7,2007,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.1,not available,not available
8,2007,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,36.8,not available,not available
9,2007,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,36.3,not available,not available
10,2007,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,38.1,not available,not available
11,2007,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,35.5,not available,not available
12,2007,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,36.4,not available,not available
1,2008,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,35.3,not available,not available
2,2008,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.9,not available,not available
3,2008,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.3,not available,not available
4,2008,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32,not available,not available
5,2008,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,37.1,not available,not available
