Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput 1000 m3/d,Capacity (1000 m3/d),Reason for variance from nameplate capacity
6,2014,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,0.947943333,6.359,N/A
7,2014,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,2.504245161,6.359,N/A
8,2014,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,2.4107,6.359,N/A
9,2014,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,2.209443333,6.359,N/A
10,2014,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,2.540190323,6.359,N/A
11,2014,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,1.991553333,6.359,N/A
12,2014,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,2.740990323,6.359,N/A
1,2015,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,3.05796129,6.359,N/A
2,2015,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,3.081814286,6.359,N/A
3,2015,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,3.026774194,6.359,N/A
4,2015,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,3.125486667,6.359,N/A
5,2015,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,3.561716129,6.359,N/A
6,2015,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,3.575213333,6.359,N/A
7,2015,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,2.796577419,6.359,N/A
8,2015,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,3.192645161,6.359,N/A
9,2015,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,2.90644,6.359,N/A
10,2015,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,3.472483871,6.359,N/A
11,2015,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,2.78658,6.359,N/A
12,2015,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,3.735016129,6.359,N/A
1,2016,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,3.728603226,6.359,N/A
2,2016,Pembina Prairie Facilities Ltd.,Vantage Pipeline,N/A,N/A,N/A,West,IntraCanada/Import,Ethane,4.010948276,6.359,N/A
