Date,Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
1,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"13,226","506,674"
2,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"14,005","536,407"
3,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"15,761","602,833"
4,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"14,516","555,106"
5,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"13,030","499,325"
6,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"12,247","469,490"
7,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"12,890","493,022"
8,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"14,887","568,963"
9,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"14,795","564,844"
10,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"15,672","599,048"
11,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"15,628","597,298"
12,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"16,063","614,108"
13,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"15,157","580,628"
14,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"15,073","577,818"
15,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"16,056","615,399"
16,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"16,137","617,715"
17,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"15,221","583,244"
18,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"15,186","581,734"
19,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"16,363","626,500"
20,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"15,602","599,026"
21,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"15,772","605,073"
22,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"15,097","577,753"
23,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"15,347","586,536"
24,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"14,759","564,512"
25,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"15,668","598,984"
26,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"16,681","638,613"
27,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"16,698","640,266"
28,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"16,178","619,071"
29,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"16,349","627,016"
30,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"14,710","563,049"
31,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"16,562","634,595"
1,2,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"15,616","597,581"
2,2,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.00341667,-122.2203333,West,IntraCanada,48214,"14,429","552,801"
