Licence_Number,NEB_Pipeline_Indicator,Segment_Line_Number,Licence_Line_Number,Pipeline_Licence_Segment_Id,Company_Name,BA_Code,Pipeline_Specification_Id,Segment_Length,Segment_Status,Segment_From_Facility,From_Location,Segment_To_Facility,To_Location,H2S_Release_Volume,H2S_Release_Level,H2S_Content,Pipe_Technical_Standard,Pipe_Outside_Diameter,Pipe_Type,Pipe_Wall_Thickness,Pipe_Grade,Pipe_Material,Pipe_Max_Operating_Pressure,Pipe_Stress_Level,Pipe_Joint_Method,Pipe_Internal_Protection,Field_Centre,Bidirectional_Pipeline_Ind,HDD_Bored_Ind,Liner_Grade,Liner_Type,Pipeline_External_Protection,Pipeline_Environment,Pipeline_Class_Location,Substance 1,Substance 2,Substance 3,Original_Licence_Number,Original_Pipe_Specification_Id,Original_Segment_Line_Number,Licence_Approval_Date,Original_Licence_Issue_Date,Permit_Approval_Date,Permit_Expiry_Date,Last_Occurrence_Year,Above_Ground_Pipeline
10028,N,1,10028-1,43783,ConocoPhillips Canada Operations ULC,0XL9,4,0.19,Removed,Blind End,12-27-044-13W4,Blind End,11-27-044-13W4,,,0,Z662,114.3,5LX,2.77,X42,Steel,0,0,Welded,Uncoated,Unknown,,,,,,,,Natural Gas,,,10028,,1,1996-08-14 00:00:00,,2010-10-29 14:18:00,,,
10734,N,6,10734-6,48854,Obsidian Energy Ltd.,0BP8,4,0.01,Discontinued,Blind End,16-23-042-08W5,Blind End,16-23-042-08W5,,,0, ,60.3,5LX,3.91,X42,Steel,0,0,Welded,Uncoated,Red Deer,,,,,,,,Oil-Well Effluent,,,10734,,6,2002-02-20 00:00:00,,,,1980,
11570,N,2,11570-2,54007,Imperial Oil Resources Limited,0007,2,0.03,Abandoned,Blind End,07-31-056-24W4,Blind End,07-31-056-24W4,,,0,Z183,88.9,Z245.3,4.78,2901,Steel,0,0,Welded,Uncoated,Edmonton,,,,,,,,Oil-Well Effluent,,,11570,,2,1994-12-12 00:00:00,,,,1979,
11279,N,6,11279-6,52629,Husky Oil Operations Limited,0R46,6,0.01,Discontinued,Blind End,02-27-040-10W4,Blind End,02-27-040-10W4,,,0,Z662,88.9,5LX,3.18,X42,Steel,0,0,Welded,Uncoated,Wainwright,,,,,,,,Natural Gas,,,11279,,6,,,2000-12-06 00:00:00,2000-12-06 00:00:00,1980,
11373,N,3,11373-3,53061,Canadian Natural Resources Limited,0HE9,1,0.02,Abandoned,Blind End,07-36-055-14W4,Blind End,07-36-055-14W4,,,0,Z662,60.3,5LX,3.91,X42,Steel,0,0,Welded,Uncoated,Wainwright,,,,,,,,Natural Gas,,,11373,,3,1977-11-10 00:00:00,,2004-07-22 00:00:00,2005-07-22 00:00:00,1977,
11558,N,7,11558-7,53976,City Of Medicine Hat,0150,1,0.03,Operating,Well,14-15-013-06W4,Pipeline,14-15-013-06W4,,,0,Z184,60.3,5LX,3.18,X42,Steel,1860,6,Welded,Uncoated,Medicine Hat,,,,,,,,Natural Gas,,,11558,,7,1978-12-18 00:00:00,1977-10-24 00:00:00,1977-10-24 00:00:00,1978-10-24 00:00:00,1978,
12257,N,40,12257-40,57750,Canadian Natural Resources Limited,0HE9,4,0.01,Operating,Pipeline,15-19-063-11W4,Pipeline,15-19-063-11W4,,,0,Z662,88.9,A106,5.49,B,Steel,4960,17,Welded,Uncoated,Bonnyville,,,,,,,,Natural Gas,,,12257,,40,1980-06-11 00:00:00,,,,1980,
10816,N,6,10816-6,50157,Canadian Natural Resources Limited,0HE9,1,0.02,Operating,Well,13-07-055-12W4,Pipeline,13-07-055-12W4,,,0,Z184,60.3,5LX,3.91,X42,Steel,4960,13,Welded,Uncoated,Wainwright,,,,,,,,Natural Gas,,,10816,,6,1977-11-18 00:00:00,,,,1977,
10816,N,4,10816-4,50155,Canadian Natural Resources Limited,0HE9,1,0.02,Operating,Well,11-27-054-12W4,Pipeline,11-27-054-12W4,,,0,Z184,60.3,5LX,3.91,X42,Steel,4960,13,Welded,Uncoated,Wainwright,,,,,,,,Natural Gas,,,10816,,4,1977-11-18 00:00:00,,,,1977,
11890,N,150,11890-150,55781,Canadian Natural Resources Limited,0HE9,4,0.03,Operating,Well,14-17-022-12W4,Pipeline,14-17-022-12W4,,,0,Z662,88.9,5L,2.11,A,Steel,3450,35,Zap-Lok,Uncoated,Medicine Hat,,,,,,,,Natural Gas,,,11890,,150,1995-09-18 00:00:00,,,,1982,
10942,N,2,10942-2,51253,Plains Midstream Canada ULC,A31G,2,0.02,Operating,Storage Tank,12-10-056-11W5,Meter Reg. Station,12-10-056-11W5,,,0,Z662,114.3,Z245.3,6.02,2411,Steel,1380,5,Welded,Uncoated,Drayton Valley,,,,,,,,HVP Products,,,10942,,2,1977-06-30 00:00:00,,,,1977,
10942,N,3,10942-3,51254,Plains Midstream Canada ULC,A31G,2,0.02,Operating,Meter Reg. Station,12-10-056-11W5,Pump Station,12-10-056-11W5,,,0,Z662,114.3,Z245.3,6.02,2411,Steel,1380,5,Welded,Uncoated,Drayton Valley,,,,,,,,HVP Products,,,10942,,3,1977-06-30 00:00:00,,,,1977,
11154,N,12,11154-12,256775,Paramount Resources Ltd.,0AW4,3,0.04,Operating,Well,05-02-034-04W5,Pipeline,05-02-034-04W5,,,0,Z662,88.9,Z245.1,3.2,3592,Steel,4960,19,Welded,Uncoated,Red Deer,,,,,,,,Natural Gas,,,11154,,12,2007-08-17 00:00:00,2006-08-17 00:00:00,2006-08-17 00:00:00,2007-08-17 00:00:00,2007,
13346,N,9,13346-9,62146,Canadian Natural Resources Limited,0HE9,3,0.01,Operating,Pipeline,10-29-071-23W5,Battery,10-29-071-23W5,,,140,Z662,114.3,5LX,6.02,X42,Steel,9930,33,Welded,Uncoated,Grande Prairie,,,,,,,,Oil-Well Effluent,,,13346,,9,1979-09-19 00:00:00,,,,1979,
11485,N,14,11485-14,315525,Canadian Natural Resources Limited,0HE9,8,0.7,Removed,Blind End,03-36-072-17W4,Blind End,11-25-072-17W4,,,0,Z662,88.9,5LX,2.77,X42,Steel,0,0,Welded,Uncoated,Bonnyville,,,,,,,,Natural Gas,,,11485,,2,1977-02-25 00:00:00,,2012-09-04 13:12:00,2006-01-26 00:00:00,1977,
10173,N,8,10173-8,300551,Repsol Oil & Gas Canada Inc.,0039,2,0.85,Removed,Blind End,02-07-053-17W5,Blind End,07-06-053-17W5,,,0,Z662,60.3,6063,2.16,T1A,Aluminum,0,0,High-Energy Welded,Uncoated,Drayton Valley,,,,,,,,Fuel Gas,,,,,,,,2010-07-08 16:05:00,2010-05-04 00:00:00,2010,
