refno,date_incident,date_notification,company,city,type,product,volume,status,summary
20141242,2014-05-28,2014-05-28,Canadian Natural Resources Limited,Medicine Hat (60 km W),Pipeline,Gas Production (Raw),0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,Release of sweet gas onto pipeline right-of-way. Line has been shut in and there are no reported impacts to waterbodies or wildlife.
20131660,2013-08-27,2013-08-27,Husky Oil Operations Limited.,Vermilion (2.5 km N),Well,Drilling Mud,10.0 m3,No emergency phase.,Drilling mud with hydrocarbon from a drilling operation was landsprayed on a cultivated field in error. No impacted to wildlife or waterways reported. Required remedial work will be completed as necessary.
20152701,2015-10-07,2015-10-07,Vermilion Energy Inc.,Slave Lake (100 km NW),Pipeline,Crude Oil and Salt/Produced Water,0.1 or less m3 and 1.9 m3 respectively,No emergency phase.,Release of crude oil and salt/produced water due to pipeline failure. The pipeline has been shut in and line has been depressurized. Clean up is underway. No reported impacts to wildlife or a waterbody.
20150158,2015-01-15,2015-01-15,Husky Oil Operations Limited,Vermillion (4 km SW),Pipeline,Salt/Produced Water,nil,No emergency phase.,A mechanical failure caused a release that went off site and into a field. The spill has been fenced off to protect horses in the field. Cleanup is underway. No reported impacts to wildlife or waterbodies.
20150012,2015-01-04,2015-01-04,Cenovus Energy Inc.,Bassano (15 km SE),Well,Salt/Produced Water,7 m3,No emergency phase.,Release of produced water from a well due to a failed gasket. Release traveled off lease onto a farmers field. Clean up is underway and landowner has been notified. No reported impacts to a waterbody or wildlife.
20150014,2015-01-04,2015-01-04,Zargon Oil &amp; Gas Ltd.,Travers (4 km E),Pipeline,Salt/Produced Water,30 m3,No emergency phase.,The company reported a release of produced water from a pipeline. The cause has not been determined. The release traveled off lease onto cropland. The cleanup is underway. No reported impacts to waterbodies or wildlife.
20150150,2015-01-12,2015-01-12,Canadian Natural Resources Limited,Grovedale (26 km SE),Pipeline,Crude Oil,12 m3,No emergency phase.,Mechanical failure caused a release of slightly sour product that all remained on lease. No odours were detected. No reported impacts to wildlife or waterbodies.
20132043,2013-10-15,2013-10-15,TAQA North Ltd.,Crossfield (5 km N),Facility,Condensate,0.1 or less m3,No emergency phase.,Fire caused by flare stack carryover. Area of 20 X 20 meter burned on stubble field. No reported impacts to wildlife or water bodies.
20131701,2013-08-31,2013-08-31,Canadian Natural Resources Limited,Cold Lake (43 km NW),Pipeline,Crude bitumen,4.0 m3,No emergency phase.,Release was contained on pipeline right-of-way. No waterways impacted.
20132044,2013-10-15,2013-10-15,Husky Oil Operations Limited,Alliance (20 km NE),Pipeline,Condensate,2.0 m3,No emergency phase.,Caused unknown. The emulsion had a H2S component of 52.6 mol/kmol. The release was all contained on site. No reported impacts to wildlife or water bodies.
20132045,2013-10-16,2013-10-16,Long Run Exploration Ltd.,Fox Creek (18 km S),Pipeline,Natural Gas,4&nbsp;&times;&nbsp;103&nbsp;m3,No emergency phase.,Cause unknown. Line has been shut-in and depressured. No reported impacts to wildlife or water bodies.
20140305,2014-02-07,2014-02-07,Plains Midstream Canada ULC,Slave Lake (18 km SE),Pipeline,Crude Oil,0.1 or less m3,No emergency phase.,The company reported a release of crude oil from a pipeline. A cleaning and repair crew has been dispatched to the location. The cause of the release is being determined. No reported impacts to waterbodies or wildlife.
20140306,2014-02-07,2014-02-07,TAQA North Ltd.,Hays (12 km SE),Pipeline,Crude Oil and Salt/Produced Water,0.3 m3 and 29.7 m3 respectively,No emergency phase.,The company reported a release of crude oil and produced salt water from a pipeline. A cleaning and repair crew has been dispatched to the location. The cause of the release is being determined. No reported impacts to waterbodies or wildlife.
20140307,2014-02-07,2014-02-07,Baytex Energy Ltd.,Peace River (28 km E),Pipeline,Gas Production (Raw),0.1 or less &times;&nbsp;103&nbsp;m3,No emergency phase.,The company reported the release of sour natural gas from a pipeline. The release was stop and the pipeline was isolated. The cause of the release is being determined. No reported environmental impacts.
20141390,2014-06-16,2014-06-16,Husky Oil Operations Limited,Grande Prairie (43 km S),Facility,Crude Oil,9 m3,No emergency phase.,Release of crude oil went off the facility site. Free fluids have been removed and cleanup of impacted soil is underway. No reported impacts to any waterbody or wildlife.
20131494,2013-08-06,2013-08-06,NAL Resources Limited,Sylvan Lake (22 km SW),Pipeline,Crude Oil,1.5 m3,No emergency phase.,Pipeline leak. Release impacted a hay field area of approximately 25&nbsp;m2. Pipeline is shut in. No impacts to waterways or wildlife reported.
20181157,2018-04-08,2018-04-08,Crescent Point Energy Corp.,Swan Hills (30 km W),Facility,Salt/Produced Water,28 m3,No emergency phase.,Released product went off lease and contaminated approx. 400&nbsp;m2 area. No impacts to wildlife or waterbodies reported.
20181374,2018-04-29,2018-04-29,Westbrick Energy Ltd.,Lodgepole (32 km SW),Facility,Crude Oil and Salt/Produced Water,1 m3 and 14 m3 respectively,No emergency phase.,Release of emulsion occurred due to an issue at a facility. Clean up is underway. No reported impacts to wildlife.
20141648,2014-07-14,2014-07-14,Harvest Operations Corp.,Provost (13 km NW),Facility,Crude Oil and Salt/Produced Water,0.1 or less m3 and 5.9 m3 respectively,No emergency phase.,Release of emulsion due to failed valve on header. All contained to lease and clean up underway. No reports of impacted waterbodies or wildlife.
