Id,FullName,TypeDesc,CurrentValueAsReal,CurrentTime,AlarmSource,CurrentState
420841,Central.Wilson Creek.01-35-042-04 W5M.~Callouts.Callout Test Point,Internal Digital Point,0,-,,0
420851,Central.Wilson Creek.01-35-042-04 W5M.Communications.Barometer.Barometer,Internal Analog Point,0,10/3/2018 11:01:18.977 PM,,1
420860,Central.Wilson Creek.01-35-042-04 W5M.Communications.RTU Temp,FloBoss Numeric Point,19.454673767089844,10/4/2018 9:44:52.105 PM,,0
420863,Central.Wilson Creek.01-35-042-04 W5M.Communications.RTUVolts,FloBoss Numeric Point,13.04899787902832,10/4/2018 10:04:52.115 PM,,2
420880,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Fuel Gas.IO.AverageGasVol,Abstract Simple Analog Point,0,-,,0
420881,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Fuel Gas.IO.FlowRate,Abstract Simple Analog Point,0,-,,0
420882,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Fuel Gas.IO.PdayTOP,Abstract Simple Analog Point,0,-,,0
420883,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Fuel Gas.IO.PdayVolume,Abstract Simple Analog Point,0,-,,0
420910,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.IO.Pipeline Pressure.PV,Abstract Simple Analog Point,0,-,,0
420912,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.IO.Remote ESD Command,FloBoss Numeric Point,1,9/26/2018 4:07:59.781 PM,01-36-042-04 W5M Remote ESD Command,4
420917,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.IO.Tubing Temperature.PV,Abstract Simple Analog Point,0,-,,0
420922,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.IO.~Shutdowns.Flowline PSHH,Abstract Simple Digital Point,0,-,01-36-042-04 W5M Flow Line Pressure High High Shutdown,0
420923,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.IO.~Shutdowns.Flowline PSLL,FloBoss Digital Point,1,9/26/2018 4:07:59.787 PM,01-36-042-04 W5M Flow Line Pressure Low Low Shutdown,1
420924,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.IO.~Shutdowns.Separator LSHH,Abstract Simple Digital Point,0,-,01-36-042-04 W5M Separator Level High High Shutdown,0
420925,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.IO.~Shutdowns.Separator PSHH,FloBoss Digital Point,1,9/26/2018 4:07:59.787 PM,01-36-042-04 W5M Separator Pressure High High Shutdown,1
420926,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.IO.~Shutdowns.Water Tank LSHH,Abstract Simple Digital Point,0,-,01-36-042-04 W5M Water Tank Level High High Shutdown,0
420964,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Water Meter.IO.Pday_Vol,Abstract Simple Analog Point,0,-,,0
420979,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.AGAOptions,FloBoss Numeric Point,0,9/26/2018 4:07:34.080 PM,01-36-042-04 W5M Gas Meter Run 3 AGA Options,0
420981,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.CarbonDioxide,FloBoss Numeric Point,2.3399999141693115,9/26/2018 4:07:34.801 PM,01-36-042-04 W5M Gas Meter Run 3 Carbon Dioxide,0
420982,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.CarbonMonoxide,FloBoss Numeric Point,0,9/26/2018 4:07:34.310 PM,01-36-042-04 W5M Gas Meter Run 3 Carbon Monoxide,0
420983,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.Compressibility Calc,FloBoss Numeric Point,68,9/26/2018 4:07:34.551 PM,01-36-042-04 W5M Gas Meter Run 3 Compressibility Calculation,0
420984,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.EthaneC2H6,FloBoss Numeric Point,9.2399997711181641,9/26/2018 4:07:35.520 PM,01-36-042-04 W5M Gas Meter Run 3 Ethane,0
420985,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.Helium,FloBoss Numeric Point,0.019999999552965164,9/26/2018 4:07:35.040 PM,01-36-042-04 W5M Gas Meter Run 3 Helium,4
420986,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.Hydrogen,FloBoss Numeric Point,0,9/26/2018 4:07:35.760 PM,01-36-042-04 W5M Gas Meter Run 3 Hydrogen,1
420987,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.HydrogenSulfide,FloBoss Numeric Point,0,9/26/2018 4:07:36.011 PM,01-36-042-04 W5M Gas Meter Run 3 Hydrogen Sulfide,1
420988,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.MethaneCH4,FloBoss Numeric Point,80.4800033569336,9/26/2018 4:07:36.251 PM,01-36-042-04 W5M Gas Meter Run 3 Methane,4
420989,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.Nitrogen,FloBoss Numeric Point,1.0299999713897705,9/26/2018 4:07:35.280 PM,01-36-042-04 W5M Gas Meter Run 3 Nitrogen,4
420990,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.Oxygen,FloBoss Numeric Point,0,9/26/2018 4:07:37.070 PM,01-36-042-04 W5M Gas Meter Run 3 Oxygen,1
420991,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.PropaneC3H8,FloBoss Numeric Point,4.4899997711181641,9/26/2018 4:07:37.936 PM,01-36-042-04 W5M Gas Meter Run 3 Propane,4
420992,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.RelativeDensity,FloBoss Numeric Point,0.71086174249649048,9/26/2018 4:07:38.270 PM,01-36-042-04 W5M Gas Meter Run 3 Relative Density,0
420993,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.Water,FloBoss Numeric Point,0,9/26/2018 4:07:36.565 PM,01-36-042-04 W5M Gas Meter Run 3 Water,1
420994,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.iButane,FloBoss Numeric Point,0.6600000262260437,9/26/2018 4:07:38.719 PM,01-36-042-04 W5M Gas Meter Run 3 Iso Butane,4
420995,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.iPentane,FloBoss Numeric Point,0.23999999463558197,9/26/2018 4:07:36.830 PM,01-36-042-04 W5M Gas Meter Run 3 Iso Pentate,4
420996,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.nButane,FloBoss Numeric Point,1.0499999523162842,9/26/2018 4:07:39.000 PM,01-36-042-04 W5M Gas Meter Run 3 Normal Butane,4
420997,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.nDecane,FloBoss Numeric Point,0,9/26/2018 4:07:39.490 PM,01-36-042-04 W5M Gas Meter Run 3 Normal Decane,1
420998,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.nHeptane,FloBoss Numeric Point,0.11999999731779099,9/26/2018 4:07:39.240 PM,01-36-042-04 W5M Gas Meter Run 3 Normal Heptane,4
420999,Central.Wilson Creek.01-35-042-04 W5M.01-36-042-04 W5M.Gas Meter.Configuration.CompressibilityCalc.nHexane,FloBoss Numeric Point,0.11999999731779099,9/26/2018 4:07:39.790 PM,01-36-042-04 W5M Gas Meter Run 3 Normal Hexane,4
