UWI,MeterName,AtmosPress,BasePress,BaseTemp,CarbonDioxide,CarbonMonoxide,Ethane,Helium,Hydrogen,HydrogenSulfide,iButane,iPentane,Methane,nButane,nDecane,nHeptane,nHexane,Nitrogen,nNonane,nOctane,nPentane,Propane,Water,Viscosity,SpecificGravity,OrificeDiameter,OrificeMaterial,PipeDiameter,PipeMaterial,DiffPressLowEU,DiffPressHighEU,StaticPressLowEU,StaticPressHighEU,TempLowEU,TempHighEU,UserCorrectionFactor,TapLocation,CompressibilityCalc,ContractHour,ContractUnits,FlowCalcMethod,OrificeRefTemp,PipeRefTemp,Oxygen,SuperCompressibility,SpecificHeatRatio,LowDPCutoff,FlowRate,dP,Static,Temp,WellGroupId,SiteGroupId,AreaGroupId,MeterGroupId,ProTrendId,MeterType
100163103027W402,Gas Meter,89.1,101.325,15,0.81,0,4.94,0.04,0.01,0.04,0.34,0.36,83.9,0.93,0,0.15,0.27,6.05,0,0,0.34,1.82,0,0.010268,0,28.575,0,73.635,2,0,100,0,10342,-40,200,1,0,-6675,8,4,-6675,20,20,0,1.0223,1.3,0.25,0,0.0808478,1904.31,7.94081,910780,910779,896268,910828,,Gas
100072202829W400,07-22 gas,93.1,101.325,15,9.17,0,0.12,0.02,0.26,44.53,0.02,0.02,43.51,0.01,0,0.2,0.09,2.01,0,0,0.03,0.01,0,0.010268,0,47.625,0,102.26,2,0,24.9,0,3500,0,70,1,1,-14374,8,4,-14374,20,20,0,1.00689,1.3,0.25,25.6034,10.5907,317.089,26.5981,903105,903104,896268,903129,,Gas
100111402701W500,Gas Meter,93.1,101.325,15,5.44,0,9.65,0.02,0,0,0.65,0.39,76.49,1.25,0,0.37,0.35,0.83,0,0,0.41,4.15,0,0.010268,0,25.4,0,52.53,2,0,50,0,2068.43,-40,200,1,0,-4138,8,4,-4138,20,20,0,1.00692,1.3,0.25,6.3633,11.5496,135.061,12.3373,913242,907756,896268,913266,,Gas
100112302829W400,11-23 gas,93.1,101.325,15,8.5,0,0.48,0.02,0.01,32.06,0.02,0.03,55.45,0.06,0,0.25,0.04,2.96,0,0,0.02,0.1,0,0.010268,0,53.97,0,102.006,2,0,62,0,7000,-40,80,1,0,-9264,8,4,-9264,20,20,0,1.00407,1.3,0.5,30.0025,7.45181,388.934,57.8329,908215,908214,896268,908239,,Gas
100073502901W500,07-35 gas,93.1,101.325,15,9.03,0,0.37,0.02,0.64,38.81,0.02,0.04,47.74,0.05,0,0.07,0.06,3.02,0,0,0.04,0.09,0,0.010268,0,28.575,0,77.93,2,0,24.8843,0,10342.1,-40,200,1,1,-13495,8,4,-13495,20,20,0,1.01595,1.3,0.25,0,0.134857,496.953,12.33,903984,903983,896268,904008,,Gas
100062302901W500,06-23 gas,93.1,101.325,15,9.14,0,1.82,0.02,0.02,34.62,0.25,0.12,50.49,0.3,0,0.33,0.19,1.93,0,0,0.13,0.64,0,0.010268,0,31.75,0,78.07,2,0,40,0,3500,0,70,1,1,-4944,8,4,-4944,20,20,0,1.01077,1.3,0.25,20.2534,24.9521,465.821,40.6275,912436,912401,896268,912460,,Gas
100100202801W500,10-2 gas,93.1,101.325,15,9.53,0,0.07,0.01,0.12,48.66,0.01,0,39.3,0.02,0,0.12,0.01,2.14,0,0,0,0.01,0,0.010268,0,31.75,0,52.4,2,0,62.2,0,5515,-40,70,1,0,-11761,8,4,-11761,20,20,0,1.00979,1.3,0.5,0,-1.78265,281.201,14.0642,905718,905717,896268,905742,,Gas
100101102901W500,10-11 gas,0,101.325,15,9.75,0,0.78,0.02,0,39.63,0.05,0.06,47.15,0.13,0,0.2,0.09,1.83,0,0,0.05,0.26,0,0.010268,0,31.75,0,77.95,2,0,60,0,3500,0,70,1,0,-11333,7,4,-11333,20,20,0,1.0117,1.3,0.5,16.687,20.3426,452.737,15.1909,906146,906145,896268,906170,,Gas
100071402901W500,07-14 gas,93.1,101.325,15,8.73,0,0.87,0.02,0.03,43.36,0.05,0.07,44.27,0.15,0,0.22,0.13,1.74,0,0,0.07,0.29,0,0.010268,0,28.575,0,77.93,2,0,49.8178,0,3500,0,70,1,1,-14832,8,4,-14832,20,20,0,1.01389,1.3,0.25,0,0.0893166,457.143,17.1883,902647,902646,896268,902671,,Gas
100091502929W400,09-15 gas,0,101.325,15,8.16,0,0.46,0.02,0.3,33.19,0.16,0.03,54.85,0.07,0,0.18,0.05,2.39,0,0,0.03,0.11,0,0.010268,0,34.92,0,77.927,2,0,62.2,0,5515,-40,70,1,0,-12117,8,4,-12117,20,20,0,1.01192,1.3,0.5,22.6678,17.6564,617.127,22.898,905362,905361,896268,905386,,Gas
100081002929W400,08-10 gas,93,101.325,15,9.36,0,0.67,0.02,0,37.03,0.05,0.05,49.44,0.1,0,0.14,0.04,2.99,0,0,0.04,0.07,0,0.010268,0,28.575,0,77.927,2,-62.2107,62.2107,0,5515.81,-40,204.444,1,0,-13239,8,4,-13239,20,20,0,1.00511,1.3,0,14.7385,17.831,477.35,-2.995,904216,904215,896268,904264,,Gas
100071502901W500,07-15 gas,93.1,101.325,15,9,0,2.06,0.01,1.02,38.25,0.14,0.16,45.93,0.38,0,0.43,0.25,1.41,0,0,0.16,0.8,0,0.010268,0,38.1,0,77.998,2,0,14.94,0,3500,0,70,1,0,-14600,8,4,-14600,20,20,0,1.01199,1.3,0.5,16.551,7.9547,477.837,38.3097,902879,902878,896268,902903,,Gas
100073402829W400,07-34 gas,93.1,101.325,15,9.23,0,0.17,0.02,0.03,45.8,0.06,0.01,42.81,0.02,0,0.05,0.01,1.75,0,0,0.01,0.03,0,0.010268,0,31.75,0,78.03,2,0,39.84,0,7000,-40,70,1,0,-13734,8,4,-13734,20,20,0,1.0112,1.3,0.5,16.5317,18.6335,418.692,11.7459,903745,903744,896268,903769,,Gas
100142602829W400,15-26 gas,93.1,101.325,15,0.81,0,2.79,0.02,0.03,40.5,0.17,0.05,52.21,0.21,0,0.11,0.03,2.2,0,0,0.04,0.83,0,0.010268,0,50.8,0,77.95,2,0,14.94,0,3500,0,70,1,0,-3447,8,4,-3447,20,20,0,1.00755,1.3,0.25,0,-0.0216563,316.155,20.6862,913933,910255,896268,913957,,Gas
100071102929W400,07-11 gas,93.1,101.325,15,8.15,0,1.01,0.02,0,30.93,0.08,0.07,56.16,0.16,0,0.24,0.11,2.73,0,0,0.07,0.27,0,0.010268,0,53.99,0,73.66,2,0,24.878,0,3500,0,70,1,1,-15064,8,4,-15064,20,20,0,1.01028,1.3,0.25,0,0.120523,427.236,10.5875,902415,902414,896268,902439,,Gas
100073402729W400,07-34 gas,93.1,101.325,15,9.07,0,0.15,0.01,0.9,44.44,0,0.01,43.33,0.02,0,0.17,0.01,1.86,0,0,0.01,0.02,0,0.010268,0,44.45,0,73.66,2,0,49.7282,0,10342,-40,200,1,0,-13976,8,4,-13976,20,20,0,1.00791,1.3,0.5,29.5134,14.6108,411.82,46.6229,903503,903502,896268,903527,,Gas
100010202921W402,Gas Meter,92.6185,101.325,15,0,0,4.75,0.08,0,0,0.37,0.18,88.56,0.65,0,0.15,0.12,2.5,0,0,0.16,2.48,0,1.00E-05,0.644819,19.05,0,49.2252,2,0,0,0,12500,-40,60,1,1,38,8,1,,20,20,0,1.00185,1.3,0.1,1.41774,1.59272,126.93,7.48521,840436,840435,840434,840460,,Gas
100012202921W402,Gas Meter,92.6185,101.325,15,0.26,0,5.06,0.06,0.02,0,0.37,0.22,87.72,0.88,0,0.22,0.16,1.76,0,0,0.22,3.05,0,1.00E-05,0.644819,12.7,0,49.2252,2,0,0,0,5500,-40,60,1,1,38,8,1,,20,20,0,1.00125,1.3,0.25,0.594856,1.78514,91.1322,10.9637,840709,840708,840434,840733,,Gas
100021002921W402,Gas Meter,92.2711,101.325,15,0.18,0,4.88,0.07,0,0,0.77,0.2,88.1,0.33,0,0.27,0.16,2.08,0,0,0.2,2.76,0,0.010268,0.651247,9.525,0,49.3776,2,0,0,0,5500,-40,60,1,1,68,8,1,,20,20,0,1.00144,1.3,0.2,1.37282,35.3315,91.2199,11.4466,840982,840981,840434,841006,,Gas
100022802921W400,Gas Meter,92.6185,101.325,15,0.21,0,4.86,0.07,0,0,0.33,0.21,88.8,0.78,0,0.23,0.18,1.29,0,0,0.21,2.83,0,1.00E-05,0.644819,15.875,0,49.3014,2,0,0,0,5000,-40,60,1,1,38,8,1,,20,20,0,1.00075,1.3,0.25,1.49083,4.78954,68.3198,14.6742,841255,841254,840434,841279,,Gas
100032202921W403,Gas Meter,92.6185,101.325,15,0.22,0,5.03,0.06,0,0,0.35,0.21,88.47,0.85,0,0.27,0.17,1.23,0,0,0.21,2.93,0,0.010268,0.644819,12.7,0,52.5526,2,0,0,0,25020.7,-40,100,1,1,70,8,1,,20,20,0,1.0012,1.3,0.2,0.632132,2.13477,76.6756,6.91489,841528,841527,840434,841552,,Gas
100032202921W402,Gas Meter,92.6185,101.325,15,0.17,0,3.82,0.07,0.01,0,0.43,0.2,89.77,0.31,0,0.36,0.16,3.15,0,0,0.13,1.42,0,1.00E-05,0.644819,6.3499,0,77.9272,2,0,0,0,5500,-40,60,1,1,38,8,1,,20,20,0,1.00381,1.3,0.25,0,-0.0104712,303.03,11.4741,841801,841800,840434,841825,,Gas
100033402921W403,Gas Meter,92.6185,101.325,15,0.19,0,5.08,0.07,0,0,0.83,0.19,87.89,0.36,0,0.2,0.14,1.9,0,0,0.2,2.95,0,1.00E-05,0.644819,9.525,0,49.2506,2,0,0,0,5516,-40,60,1,1,38,8,1,,20,20,0,1.00029,1.3,0.25,0.494464,5.15344,57.388,29.1054,842074,842073,840434,842098,,Gas
100130602727W400,Sales Gas Meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.138,21.4623,4649.09,41.0342,918092,896268,896268,918127,,Gas
100062002827W400,Calpine Fuel Gas Meter,93.1,101.325,15,0,0,5.55,0.039984,0,0,0.27,0.08,88.55,0.44,0,0,0.03,3.12,0,0,0.06,1.86,0,0.010268,0.554,19.05,0,49.276,2,0,75,0,10342,-40,200,1,1,86,8,4,86,20,15,0,1.05962,1.3,0.01,15.2584,8.7937,3940.39,8.96133,915211,908475,896268,917589,,Gas
100121902927W402,Ember Gas Meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63778,2.29653,61.9235,6.36119,908556,896268,896268,908557,,Gas
100121902927W400,Sales Gas,93.1,101.325,15,0.14,0,0.67,0.01,0,0,0.04,0.01,97.68,0.01,0,0,0,1.33,0,0,0,0.11,0,0.010268,0,50.8,0,97.1804,2,0,75,0,10000,-40,100,1,0,-8874,8,4,-8874,20,20,0,1.0421,1.3,0.5,81.9995,3.84577,4753.51,24.9252,908556,908510,896268,908629,,Gas
100121902927W400,Fuel Gas Meter,93.1,101.325,15,0.16,0,0.67,0.01,0,0,0.04,0.01,97.91,0.01,0,0,0,1.08,0,0,0,0.11,0,0.010268,0,25.4,0,49.2506,2,0,75,0,10000,-40,100,1,0,-8619,8,4,-8619,20,20,0,1.00572,1.3,0.5,4.98606,1.76628,547.079,13.4905,908556,908510,896268,908884,,Gas
100141002927W400,Gas Meter,93.1,101.325,15,0.18,0,0.65,0.01,0,0,0.04,0.02,96.56,0.01,0,0.09,0.02,2.3,0,0,0.02,0.1,0,0.010268,0,57.15,0,154.02,2,0,75,0,10000,-40,100,1,0,-7472,8,4,-7472,20,20,0,1.00078,1.3,0.125,16.7055,3.24681,74.6149,8.82216,910007,910006,896268,910031,,Gas
100141002927W401,Gas Meter,90.9157,101.325,15,0,0,3,0,0,0,0,0,96,0,0,0,0,1,0,0,0,0,0,0.010268,0.573524,76.2,0,146.405,2,0,0,0,5520.28,-40,240,1,1,68,8,1,,20,20,0,1.00011,1.3,0.25,0,0.0502792,0.929497,2.67398,909732,909731,896268,909756,,Gas
100050402928W403,Gas Meter,92,101.325,15,4.54,0,0.35,0.04,0.01,11.27,0.01,0.01,78.62,0.04,0,0.32,0.02,4.69,0,0,0.02,0.06,0,0.010268,0,38.1,0,146.279,2,0,50,0,5000,-40,60,1,0,-7130,8,4,-7130,20,20,0,1.01423,1.3,0.25,22.7691,6.10349,988.867,8.8274,910349,910348,896268,910373,,Gas
100081702921W400,Gas Meter,92.6185,101.325,15,0.25,0,4.95,0.07,0,0,0.31,0.19,88.19,0.75,0,0.2,0.15,2.01,0,0,0.19,2.74,0,1.00E-05,0.644819,15.875,0,48.9966,2,0,0,0,5500,-40,60,1,1,38,8,1,,20,20,0,1.00161,1.3,0.2,0.72429,0.977402,119.31,10.1912,845896,845895,840434,845920,,Gas
100090102921W402,Gas Meter,92.6185,101.325,15,0.14,0,1.72,0.08,0,0,0.11,0.06,92,0.24,0,0.14,0.06,4.52,0,0,0.06,0.87,0,1.00E-05,0.644819,19.05,0,52.6034,2,0,0,0,5500,-40,60,1,1,38,8,1,,20,20,0,1.00028,1.3,0.2,0.950231,1.17763,50.5134,25.0969,846169,846168,840434,846193,,Gas
