Area,SurfaceLSD,DownholeLSD,UWI,CostCenter,CurrentGasFlowRate,CurrentTubingPress,CurrentCasingPress,CurrentTubingTemp,Run,WellStatusDesc,WellStatusColor,WellDisplayId,AverageGasVolume,AreaGroupID,WellGroupId,PDayGasVol,District,WellAlarmState,WellAlarmStateDesc,SiteType,WellActiveAlarms,WellAckdAlarms,WellAlarmColor,SiteGroupId,PDayCondyVol,PDayWaterVol,CurrentGasDP,CurrentGasSP,CurrentGasTemp,PDayGasTOP,CommsGroupId
Crossfield,16-31-30-27 W4M,16-31-30-27 W4M,100163103027W402,130018,0,1945.51,,,LPC,Off,,910941,1.39201,896268,910780,1.28191,South,0,Normal,Gas Well,0,0,15790320,910779,0.16,0,0.0808478,1904.31,7.94081,3.20822,
Crossfield,U2 Well - Battery,11-14-27-01 W5M,100111402701W500,120028,6.3633,,,,D1,Flowing,,913324,6.38962,896268,913242,6.39397,South,2,Acknowledged Uncleared,Gas Well,0,1,52428,907756,2.28,,11.5496,135.061,12.3373,24,
Crossfield,Plant,ESDV System,,,,,,,Control Room,,,919727,,896268,919710,,South,0,Normal,Facility,0,0,15790320,919670,,,,,,,
Crossfield,Unit 3,11-23-28-29 W4M,100112302829W400,130002,30.0025,,,,D1,Flowing,,908352,29.6067,896268,908215,27.9603,South,0,Normal,Gas Well,0,0,15790320,908214,,,7.45181,388.934,57.8329,24,
Crossfield,Unit 28,07-35-29-01 W5M,100073502901W500,130002,0,,,,D1,Off,,904121,4.17838,896268,903984,4.53414,South,0,Normal,Gas Well,0,0,15790320,903983,,,0.134857,496.953,12.33,10.4925,
Crossfield,Center Site,Block Valve,,,,,,,D1,,,915480,,896268,915457,,South,3,Unacknowledged Cleared,Facility,0,1,52224,905129,,,,,,,
Crossfield,Unit 10,07-22-28-29 W4M,100072202829W400,130002,25.6034,,,,D1,Flowing,,903242,25.1266,896268,903105,24.2793,South,3,Unacknowledged Cleared,Gas Well,0,0,52224,903104,,,10.5907,317.089,26.5981,24,
Crossfield,Unit 32,10-11-29-01 W5M,100101102901W500,130002,16.687,,,,D1,Flowing,,906283,10.2896,896268,906146,16.0721,South,0,Normal,Gas Well,0,0,15790320,906145,,,20.3426,452.737,15.1909,22.0006,
Crossfield,Unit 31,07-14-29-01 W5M,100071402901W500,130002,0,,,,D1,Off,,902784,12.486,896268,902647,12.399,South,2,Acknowledged Uncleared,Gas Well,0,1,52428,902646,,,0.0893166,457.143,17.1883,20.0134,
Crossfield,Unit 30,06-23-29-01 W5M,100062302901W500,130002,20.2534,,,,D1,Flowing,,912518,18.8412,896268,912436,19.3832,South,0,Normal,Gas Well,0,0,15790320,912401,,,24.9521,465.821,40.6275,24,
Crossfield,Unit 37,10-02-28-01 W5M,100100202801W500,130002,0,,,,D1,Off,,905855,6.79921,896268,905718,6.2489,South,0,Normal,Gas Well,0,0,15790320,905717,,,-1.78265,281.201,14.0642,15.7347,
Crossfield,Unit 53,08-10-29-29 W4M,100081002929W400,130002,14.7385,,,,D1,Flowing,,904377,10.6757,896268,904216,11.4695,South,0,Normal,Gas Well,0,0,15790320,904215,,,17.831,477.35,-2.995,19.2061,
Crossfield,Unit 40,07-15-29-01 W5M,100071502901W500,130002,16.551,,,,D1,Flowing,,903016,13.4878,896268,902879,14.8563,South,4,Unacknowledged Uncleared,Gas Well,1,0,204,902878,,,7.9547,477.837,38.3097,23.163,
Crossfield,Unit 51,14-26-28-29 W4M,100142602829W400,130002,0,,,,D1,Off,,914015,22.2107,896268,913933,20.2729,South,0,Normal,Gas Well,0,0,15790320,910255,,,-0.0216563,316.155,20.6862,22.1776,
Crossfield,Unit 48,07-34-28-29 W4M,100073402829W400,130002,16.5317,,,,D1,Flowing,,903882,10.9383,896268,903745,10.0326,South,4,Unacknowledged Uncleared,Gas Well,1,0,204,903744,,,18.6335,418.692,11.7459,16.0077,
Crossfield,Unit 54,09-15-29-29 W4M,100091502929W400,130002,22.6678,,,,D1,Flowing,,905499,12.2983,896268,905362,12.1447,South,0,Normal,Gas Well,0,0,15790320,905361,,,17.6564,617.127,22.898,18.0076,
Crossfield,Unit 55,07-11-29-29 W4M,100071102929W400,130002,0,,,,D1,Off,,902552,10.9814,896268,902415,11.0567,South,2,Acknowledged Uncleared,Gas Well,0,2,52428,902414,,,0.120523,427.236,10.5875,12.0089,
Crossfield,Unit 65,07-34-27-29 W4M,100073402729W400,130002,29.5134,,,,D1,Flowing,,903640,34.9949,896268,903503,33.0326,South,0,Normal,Gas Well,0,0,15790320,903502,,,14.6108,411.82,46.6229,24,
East Carbon,01-02-029-21 W4M,01-02-029-21 W4M,100010202921W402,1109772,1.41774,129.139,,,Southside Pink,Flowing,,840628,1.07961,840434,840436,1.30479,South,0,Normal,Gas Well,0,0,15790320,840435,,,1.59272,126.93,7.48521,24,
East Carbon,01-22-029-21 W4M,01-22-029-21 W4M,100012202921W402,1109546,0.594856,,,,Northside Red,Flowing,,840901,0.712058,840434,840709,0.709704,South,0,Normal,Gas Well,0,0,15790320,840708,,,1.78514,91.1322,10.9637,24,
East Carbon,02-10-029-21 W4M,02-10-029-21 W4M,100021002921W402,1109655,1.37282,,,,Southside Green,Flowing,,841174,0.727608,840434,840982,0.58701,South,0,Normal,Gas Well,0,0,15790320,840981,,,35.3315,91.2199,11.4466,24,
East Carbon,02-28-029-21 W4M,02-28-029-21 W4M,100022802921W400,1109566,1.49083,,,,Northside Blue,Flowing,,841447,0.889468,840434,841255,0.888562,South,0,Normal,Gas Well,0,0,15790320,841254,,,4.78954,68.3198,14.6742,24,
East Carbon,03-22-029-21 W4M Casing,03-22-029-21 W4M Casing,100032202921W403,1109549,0.632132,,,,Northside Red,Flowing,,841720,0.696987,840434,841528,0.699533,South,2,Acknowledged Uncleared,Gas Well,0,1,52428,841527,,,2.13477,76.6756,6.91489,24,
East Carbon,03-22-029-21 W4M Tubing,03-22-029-21 W4M Tubing,100032202921W402,1109548,0,,,,Northside Red,Off,,841993,0,840434,841801,0,South,0,Normal,Gas Well,0,0,15790320,841800,,,-0.0104712,303.03,11.4741,0,
East Carbon,03-34-029-21 W4M,03-34-029-21 W4M,100033402921W403,1109577,0.494464,,,,Northside Blue,Flowing,,842266,0.503125,840434,842074,0.504344,South,0,Normal,Gas Well,0,0,15790320,842073,,,5.15344,57.388,29.1054,24,
Crossfield,13-06-27-27 W4M,Harvest Facility,,,170.138,,,,Control Room,,,918109,,896268,918092,,South,4,Unacknowledged Uncleared,Facility,1,0,204,908967,,,,,,,
Crossfield,12-14-28-29 W4M,Block Valve 6,,,,,,,Control Room,,,915234,,896268,915211,,South,4,Unacknowledged Uncleared,Facility,1,0,204,908475,,,,,,,
Crossfield,12-19-29-27 W4M,Facility,,,,,,,CBM,,,908868,,896268,908556,,South,2,Acknowledged Uncleared,Facility,0,8,52428,908510,,,,,,,
Crossfield,13-19-29-27 W4M,Facility,,,,,,,Irricana,,,916625,,896268,916608,,South,0,Normal,Facility,0,0,15790320,916573,,,,,,,
Crossfield,13-26-28-29 W4M,Block Valve LP Line Heater,,,,,,,D1,,,915111,,896268,915088,,South,3,Unacknowledged Cleared,Facility,0,0,52224,909696,,,,,,,
Crossfield,13-13-28-29 W4M,Block Valve,,,,,,,Irricana,,,914503,,896268,914480,,South,0,Normal,Facility,0,0,15790320,909192,,,,,,,
Crossfield,13-17-28-28 W4M,Block Valve,,,,,,,Control Room,,,914340,,896268,914311,,South,2,Acknowledged Uncleared,Facility,0,2,52428,909227,,,,,,,
Crossfield,14-10-29-27 W4M,14-10-29-27 W4M,100141002927W400,,16.7055,,,,CBM,Flowing,,910144,16.7483,896268,910007,16.7239,South,4,Unacknowledged Uncleared,Gas Well,1,0,204,910006,,,3.24681,74.6149,8.82216,24,
Crossfield,14-10-29-27 W4M Ember,14-10-29-27 W4M,100141002927W401,,0,,,,CBM,Off,,909924,0,896268,909732,0,South,3,Unacknowledged Cleared,Gas Well,0,0,52224,909731,,,0.0502792,0.929497,2.67398,0,
Crossfield,14-16-28-28 W4M_Harvest,Block Valve,,,,,,,zTest,,,918799,,896268,918782,,South,4,Unacknowledged Uncleared,Facility,2,1,204,918749,,,,,,,
Crossfield,14-16-28-28 W4M_TAQA,Block Valve,,,,,,,Irricana,,,914287,,896268,914255,,South,3,Unacknowledged Cleared,Facility,0,4,52224,910220,,,,,,,
Crossfield,14-26-28-29 W4M_BV,Block Valve 4,,,,,,,Control Room,,,914947,,896268,914924,,South,0,Normal,Facility,0,0,15790320,915568,,,,,,,
Crossfield,16-13-28-29 W4M,Block Valve,,,,,,,Irricana,,,914462,,896268,914430,,South,0,Normal,Facility,0,0,15790320,910674,,,,,,,
Crossfield,15-33-29-28 W4M,Block Valve 1C,,,,,,,LPC,,,914650,,896268,914627,,South,3,Unacknowledged Cleared,Facility,0,0,52224,910639,,,,,,,
Crossfield,14-33-28-28 W4M,05-04-29-28 W4M,100050402928W403,130163,22.7691,,,,Irricana,Flowing,,910486,13.2144,896268,910349,14.0562,South,3,Unacknowledged Cleared,Gas Well,0,3,52224,910348,,,6.10349,988.867,8.8274,13.1254,
Crossfield,16-16-28-28 W4M,Block Valve,,,,,,,Irricana,,,914237,,896268,914205,,South,0,Normal,Facility,0,0,15790320,910709,,,,,,,
Crossfield,15-20-29-28 W4M,Block Valve 2A,,,,,,,LPC,,,914732,,896268,914709,,South,3,Unacknowledged Cleared,Facility,0,0,52224,910604,,,,,,,
Crossfield,16-18-28-28 W4M,Block Valve,,,,,,,Irricana,,,914404,,896268,914369,,South,0,Normal,Facility,0,0,15790320,910744,,,,,,,
Crossfield,15-10-30-28 W4M,Block Valve 1A,,,,,,,LPC,,,914568,,896268,914545,,South,3,Unacknowledged Cleared,Facility,0,0,52224,910569,,,,,,,
East Carbon,08-17-029-21 W4M,08-17-029-21 W4M,100081702921W400,1109771,0.72429,,,,Northside Dark Green,Flowing,,846088,0.660049,840434,845896,0.672112,South,0,Normal,Gas Well,0,0,15790320,845895,,,0.977402,119.31,10.1912,24,
East Carbon,09-01-029-21 W4M,09-01-029-21 W4M,100090102921W402,1109503,0.950231,,,,Southside Purple,Flowing,,846361,0.788383,840434,846169,0.802314,South,0,Normal,Gas Well,0,0,15790320,846168,,,1.17763,50.5134,25.0969,24,
East Carbon,09-23-029-21 W4M_Casing,09-23-029-21 W4M_Casing,100092302921W402,,1.85477,,,,Northside White,Flowing,,926400,1.74878,840434,926321,1.74285,South,0,Normal,Gas Well,0,0,15790320,926320,,,1.76724,241.381,4.58875,24,
