"Year","GHGRP ID","NPRI ID","Company & facility name","NAICS","City","Province / territory","CO2","CH4","N2O","HFCs","PFCs","SF6","Total"
"2016","G10152","6556","INEOS Canada Partnership - Joffre LAO Plant","325110","Joffre","Alberta","165697.8603","113.0625","1245.1632","0","0","0","167056.086"
"2016","G10220","223","Daishowa-Marubeni International Ltd-Peace River Pulp - Peace River Pulp Division","322112","MD of Northern Lights","Alberta","114256.89","3353.525","11270.3302","0","0","0","128880.7452"
"2016","G10563","6504","Tolko Industries Ltd. - Tolko High Level Lumber Division","321111","High Level","Alberta","40318.3768","12599.7525","602.3176","0","0","0","53520.4469"
"2016","G10132","1039","Milner Power Limited Partnership by its GP Milner Power Inc. - H.R.Milner Generating Station","221112","Grande Cache","Alberta","393247.7356","529.73","1701.1032","0","0","0","395478.5688"
"2016","G10106","23956","ConocoPhillips Canada (BRC) Partnership - Elmworth Gas Plant","211113","Elmworth","Alberta","235491.676","17935.125","1391.362","0","0","0","254818.163"
"2016","G10446","null","ConocoPhillips Canada (BRC) Partnership - Berland Sweet Gas Plant","211113","n/a","Alberta","69081.735","19799.3","530.142","0","0","0","89411.177"
"2016","G10361","19995","Air Products Canada Ltd. - Edmonton Hydrogen Facility","325120","Edmonton","Alberta","1166846.9218","1038.4625","267.604","0","0","0","1168152.9883"
"2016","G10897","null","Air Products Canada Ltd. - Scotford Hydrogen Facility","325120","Fort Saskatchewan","Alberta","362386.8586","343.3875","22.1414","0","0","0","362752.3875"
"2016","G10611","23560","Grande Cache Coal Corporation - Grande Cache Coal Corporation","212114","MD of Greenview","Alberta","4152.9495","2.29","46.8754","0","0","0","4202.1149"
"2016","G10491","947","Lantic Inc. Taber Factory - Lantic Inc. Taber Beet Sugar Factory","311310","Taber","Alberta","64227.9713","10627.72","267.0676","0","0","0","75122.7589"
"2016","G10316","280","Dow Chemical Canada ULC - Western Canada Operations","325110","Fort Saskatchewan","Alberta","1026360.3654","2638.865","3436.089","0","0","0","1032435.3194"
"2016","G10375","2316","Dow Chemical Canada ULC - Prentiss Manufacturing Facility","325110","Lacombe County","Alberta","38717.6056","448.085","30.992","0","0","0","39196.6826"
"2016","G10045","5357","Cancarb Ltd. - Cancarb Ltd.","325189","Medicine Hat","Alberta","150467.9258","344.9325","323.8068","0","0","2.28","151138.9451"
"2016","G10267","2120","Shell Canada Limited - Caroline Complex","211113","Caroline","Alberta","464069.8672","1486.5875","3369.5754","0","0","0","468926.0301"
"2016","G10268","2119","Shell Canada Limited - Jumping Pound Complex","211113","Calgary","Alberta","215077.409","2822.155","1480.613","0","0","0","219380.177"
"2016","G10727","23257","University of Calgary - Central Heating and Cooling Plant","611310","Calgary","Alberta","71527","118.75","530.44","0","0","0","72176.19"
"2016","G10144","2991","West Fraser Mills Ltd. - Hinton Pulp","322112","Hinton","Alberta","169800.1236","37719.18","8936.6624","0","0","0","216455.966"
"2016","G10577","18225","Whitecourt Power Limited Partnership - Whitecourt Electric Power Generating Facility","221119","Whitecourt","Alberta","550.9771","416.2275","3309.3794","0","0","0","4276.584"
"2016","G10098","3903","Suncor Energy Products Partnership - Edmonton Refinery","324110",", Sherwood Park","Alberta","1311150.4515","3051.2","2227.9374","0","0","0","1316429.5889"
"2016","G10392","3775","General Scrap Partnership - Navajo Metals","339990","Calgary","Alberta","1858.8","2.85","63.176","0","0","0","1924.826"
"2016","G10382","5367","General Scrap Partnership - GenAlta Recycling Inc.","339990","Edmonton","Alberta","527.14","34.25","1495.96","0","0","0","2057.35"
"2016","G10402","6895","Teck Coal Limited - Cardinal River Operations","212114","Hinton","Alberta","77013.2095","32175.9325","6609.7294","0","0","0","115798.8714"
"2016","G10774","24125","Birchcliff Energy Ltd. - Birchcliff Pouce Coupe 03-22-078-12 W6M Gas Plant","211113","Pouce Coupe","Alberta","72119.6135","21040.0975","531.7512","0","0","0","93691.4622"
"2016","G10119","2132","Sherritt International Corporation - Fort Saskatchewan","331410","Fort Saskatchewan","Alberta","309198.1419","14988.7775","3339.4774","0","0","0","327526.3968"
"2016","G10889","null","Border Paving Ltd. - Red Deer Truck Shop","484110","Red Deer","Alberta","8019.25","10","357.6","0","0","0","8386.85"
"2016","G10888","21078","Border Paving Ltd. - Portable Plant 020011","237310","Caroline52.1114","Alberta","5532.82","2","32.78","0","0","0","5567.6"
"2016","G10887","null","Border Paving Ltd. - Red Deer Main Office","551114","Red Deer","Alberta","1114.41","3","44.7","0","0","0","1162.11"
"2016","G10886","21075","Border Paving Ltd. - Portable Plant 020002","237310","bamber Pit","Alberta","623.83","0.25","5.96","0","0","0","630.04"
"2016","G10885","6852","Border Paving Ltd. - Stony Plain Batch Plant","237310","Stony Plain","Alberta","3517.71","3.5","89.4","0","0","0","3610.61"
"2016","G10884","21077","Border Paving Ltd. - Portable Plant 020009","237310","Sheerness","Alberta","6198.51","2.25","53.64","0","0","0","6254.4"
"2016","G10883","24232","Border Paving Ltd. - Portable Plant 020010","237310","Blackfalds","Alberta","906.48","0.5","8.94","0","0","0","915.92"
"2016","G10882","6849","Border Paving Ltd. - Hinton Batch Plant","237310","Hinton","Alberta","839.81","0.25","5.96","0","0","0","846.02"
"2016","G10456","4823","Encana Corporation - Sexsmith Sour Gas Plant","211113","n/a","Alberta","68064.5","2243","229.46","0","0","0","70536.96"
"2016","G10143","21885","TransAlta Generation Partnership - Highvale Coal Mine","212115","Seba Beach","Alberta","105712.0707","84996.94","1196.8872","0","0","0","191905.8979"
"2016","G10281","2284","TransAlta Generation Partnership - Sundance Thermal Electric Power Generating Plant","221112","Duffield","Alberta","13486121.4281","3914.32","92010.7184","0","0","0","13582046.4665"
"2016","G10162","2286","TransAlta Generation Partnership - Keephills Thermal Electric Power Generating Plant","221112","Duffield","Alberta","9027735.3827","2562.0025","60569.1556","0","0","0","9090866.5408"
"2016","G10313","2108","Shell Canada Limited - Waterton Complex","211113","Pincher Creek","Alberta","303673.6321","4794.385","2798.1008","0","0","0","311266.1179"
"2016","G10461","5390","EPCOR Water Services Inc. - Gold Bar Wastewater Treatment Plant","221320","Edmonton","Alberta","23092","1053.75","15671.82","0","0","0","39817.57"
"2016","G10055","2857","Orica Canada Inc. - Carseland Works","325313","Carseland","Alberta","371.476","8.3875","143469.9544","0","0","0","143849.8179"
"2016","G10879","6850","Border Paving Ltd. - Camrose Batch Plant","237310","Camrose","Alberta","2369.21","3","53.64","0","0","0","2425.85"
"2016","G10878","6851","Border Paving Ltd. - Red Deer Batch Plant","237310","Red Deer","Alberta","3376.72","2.5","26.82","0","0","0","3406.04"
"2016","G10651","2762","Weyerhaeuser Company Limited - Edson O.S.B.","321217","Edson","Alberta","14956.39","182.55","1521.886","0","0","0","16660.826"
"2016","G10211","1779","NOVA Chemicals Corporation - NOVA Chemicals Corporation (Joffre)","325110","Red Deer","Alberta","3064835.5508","8086.3825","14317.7974","0","0","31.92","3087271.6507"
"2016","G10009","1","Alberta-Pacific Forest Industries Inc. - Alberta-Pacific Forest Industries Inc.","322112","County of Athabasca","Alberta","87622","2294.99","18881.9654","0","0","0","108798.9554"
"2016","G10813","6647","Shell Canada Energy - Shell Canada Energy Muskeg River Mine and Jackpine Mine","211114","Fort McMurray","Alberta","1278153.6013","128227.9075","7658.6596","1384.955","0","88.92","1415514.0434"
"2016","G10390","22378","Nexen Energy ULC. - Long Lake Project","211114","Fort McMurray","Alberta","1562054.1","9756.5","9998.198","0","0","0","1581808.798"
"2016","G10356","6560","Nexen Energy ULC. - Balzac Power Station","221112","Rocky View County","Alberta","96938.26","366.575","739.04","0","0","0","98043.875"
"2016","G10007","3974","Keyera Corp - Alberta Envirofuels","325190","Edmonton","Alberta","280526.4956","619.525","460.3504","0","0","0","281606.371"
"2016","G10412","22493","Osum Production Corp. - Orion Facilities","211114","Cold Lake","Alberta","227959.958","716.55","340.018","0","0","0","229016.526"
"2016","G10044","3821","Canadian Fertilizers Limited - Canadian Fertilizers Limited","325313","Medicine Hat","Alberta","1576429.3058","1836.255","5027.409","0","0","0","1583292.9698"
"2016","G10137","3941","AltaGas Ltd. - Harmattan Gas Processing Plant","211113","Didsbury","Alberta","359461.229","19645.45","3317.634","0","0","0","382424.313"
"2016","G10417","6619","AECO Gas Storage Partnership - Suffield Gas Storage Facility","211113","Medicine Hat","Alberta","21482.459","8581.225","154.364","0","0","0","30218.048"
"2016","G10661","23281","Advantage Oil & Gas Ltd. - Glacier Sour Gas Plant 05-02","211113","n/a","Alberta","101072.319","31785.55","763.476","0","0","0","133621.345"
"2016","G10261","6219","Air Liquide Canada Inc. - Scotford Complex","221112","Fort Saskatchewan","Alberta","441596.9736","205.25","2182.3136","0","0","0","443984.5372"
"2016","G10180","17630","Suncor Energy Oil Sands Limited Partnership  - MacKay River, In-Situ Oil Sands Plant","211114","Fort McMurray","Alberta","292920.4686","536.0725","1636.1392","0","0","0","295092.6803"
"2016","G10558","2230","Suncor Energy Oil Sands Limited Partnership  - Suncor Energy Inc. Oil Sands","211114","Fort McMurray","Alberta","6945069.8017","144341.0775","42113.211","794.508","69.466","884.64","7133272.7042"
"2016","G10557","19181","Suncor Energy Oil Sands Limited Partnership  - Firebag","211114","Ft. McMurray","Alberta","4772363.0878","6776.885","30199.618","0","0","510.72","4809850.3108"
"2016","G10802","27021","AltaGas Ltd. - Gordondale Sour Gas Plant 16-31","211113","n/a","Alberta","79733.564","21354.55","605.238","0","0","0","101693.352"
"2016","G10069","23368","Capital Power (Alberta) Limited Partnership - Clover Bar Energy Centre","221112","Edmonton","Alberta","164372.2188","1011.7075","1205.9464","0","0","0","166589.8727"
"2016","G10196","null","ATCO Power Canada Ltd. - Muskeg River Cogeneration Plant","221112","Fort McMurray","Alberta","1284970.662","1832.5675","7414.836","0","0","0","1294218.0655"
"2016","G10241","6609","ATCO Power Canada Ltd. - Rainbow Lake Cogeneration Power Plant (Units 4-5)","221112","Rainbow Lake","Alberta","172174.7366","348.2775","1457.22","0","0","0","173980.2341"
"2016","G10265","1036","ATCO Power - Sheerness Generating Station","221112","Hanna","Alberta","4999716.616","1617.2","22609.0514","0","0","0","5023942.8674"
"2016","G10018","1033","ATCO Power - Battle River Generating Station","221112","Forestburg","Alberta","2145988.4737","580.1975","9423.4156","0","0","0","2155992.0868"
"2016","G10870","28182","Encana Corporation - Kaybob Gas Plant 15-31","211113","Calgary","Alberta","41720.302","9919.85","780.76","0","0","0","52420.912"
"2016","G10869","null","Encana Corporation - Kaybob Gas Plant 10-29-063","211113","Calgary","Alberta","44067.909","9355.225","947.044","0","0","0","54370.178"
"2016","G10260","2963","Shell Chemicals Canada Limited. - Scotford Chemical Plant","325110","Fort Saskatchewan,Strathcona County","Alberta","290137.9759","440.235","1562.7716","2.391","0","0","292143.3735"
"2016","G10269","2960","Shell Canada Products  - Shell Scotford Refinery","324110","Fort Saskatchewan","Alberta","832724.5898","8636.1375","2417.6144","0","0","0","843778.3417"
"2016","G10475","403","Husky Oil Operations Limited - Lloydminster Refinery","324110","Lloydminster","Alberta","93547.948","264","406.77","0","0","0","94218.718"
"2016","G10465","6627","Cenovus FCCL Ltd., as operator for FCCL Partnership - Foster Creek SAGD Bitumen Battery (with Cogen)","211114","Bonnyville","Alberta","3079892.3714","4774.955","9467.7878","0","0","0","3094135.1142"
"2016","G10065","6625","Cenovus FCCL Ltd., as operator for FCCL Partnership - Christina Lake SAGD Bitumen Battery","211114","Lac La Biche","Alberta","2317351.7247","17579.7675","3958.8108","0","0","0","2338890.303"
"2016","G10586","4591","ADM Agri-Industies Company - ADM AGRI-INDUSTRIES - ADM Lloydminster","311224","Lloydminster","Alberta","55763.9275","28.0775","323.6876","26.8165","0","0","56142.5091"
"2016","G10053","3269","Agrium Inc. - Carseland Nitrogen Operations","325313","Carseland","Alberta","560600.9705","5100.2","2286.1964","0","0","0","567987.3669"
"2016","G10121","4874","Agrium Inc. - Fort Saskatchewan Nitrogen Operations","325313","Fort Saskatchewan","Alberta","583139.8401","8502.165","1775.3648","0","0","0","593417.3699"
