LMS - INT03,"February 03, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,40313
Liability Run Date:,"February 03, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.68"
Number of Licensees at or over Industry Threshold:,"428"
Number of Licensees below Industry Threshold:,"329"
Total Number of Licensees Evaluated:,"757"
Total Number of Licences/Approvals Evaluated:,"348,076"
Total Deemed Assets:,"$142,378,277,116.18"
Total Deemed Liabilities:,"$30,429,943,105.44"
Total Estimated Liabilities:,"$31,160,149,440.44"
Total LMR Security Held:,"$183,164,233.85"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"226","1,351","$0.00","$82,200,166.52","0.00"
0.01 - 0.49,"40","3,233","$28,238,817.17","$278,994,793.00","0.10"
0.50 - 0.99,"63","3,843","$256,262,907.11","$342,876,657.13","0.75"
1.00 - 1.49,"140","47,141","$4,806,515,740.62","$3,701,889,899.34","1.30"
1.50 - 1.99,"50","50,358","$6,887,922,626.70","$3,784,931,353.31","1.82"
2.00 - 2.99,"73","85,498","$15,983,569,295.31","$6,974,016,690.60","2.29"
3.00 - 3.99,"31","86,805","$22,047,185,643.28","$7,108,087,240.19","3.10"
4.00 - 4.99,"30","22,522","$10,929,653,353.90","$2,460,323,768.11","4.44"
5.00 - 5.99,"20","6,040","$2,890,158,202.59","$531,048,158.04","5.44"
6.00 - 6.99,"16","3,135","$3,550,532,013.21","$541,571,873.95","6.56"
7.00 - 7.99,"13","3,342","$3,667,732,022.73","$508,428,563.12","7.21"
8.00 - 8.99,"9","2,995","$2,535,199,240.62","$303,541,074.75","8.35"
9.00 - 9.99,"3","7,525","$7,063,630,034.65","$731,964,100.00","9.65"
10.00 or >  ,"43","24,288","$61,731,677,218.29","$3,080,068,767.38","20.04"
Liability Management Rating (LMR) Results 
Licensee Name,Security On Hand,Security Adjusted LMR
"1170778 Alberta Ltd.  (A1ET)",*,"0.55"
"1195714 Alberta Ltd.  (A1R7)",,"18.34"
"1288131 Alberta Ltd.  (A57K)",,"3.36"
"1316751 Alberta Ltd.  (A2Y3)",,"0.00"
"1343358 Alberta Ltd.  (A2TB)",,"1.00"
"1367290 Alberta Ltd.  (A5F8)",,"1.00"
"1435008 Alberta Ltd.  (A7G3)",*,"1.00"
"1506928 Alberta Ltd.  (A5WK)",,"3.37"
"1509178 Alberta Ltd.  (A5XP)",*,"1.28"
"1822916 Alberta Ltd.  (A6X3)",,"0.88"
"1852797 Alberta ULC  (A73D)",*,"1.01"
"1885712 Alberta Ltd.  (A76B)",*,"1.00"
"1977715 Alberta Ltd.  (A7EF)",*,"1.00"
"258912 Alberta Ltd.  (0DG1)",*,"1.30"
"391138 Alberta Ltd.  (0PE6)",,"2.49"
"410577 Alberta Limited  (0NB3)",*,"1.00"
"439 Oil Corp.  (A098)",*,"1.00"
"538080 Alberta Corporation  (A07P)",*,"1.51"
"545279 Alberta Limited  (0PT6)",*,"1.10"
"611890 Alberta Inc.  (A5EF)",,"6.98"
"840586 Alberta Ltd.  (0D6B)",,"1.43"
"935821 Alberta Ltd.  (A2YM)",*,"0.94"
"97837 Resources Ltd.  (0W01)",*,"0.90"
"979968 Alberta Ltd.  (A6N9)",*,"2.08"
"Accel Canada Holdings Limited  (A7ND)",,"1.34"
"ACCEL Energy Canada Limited  (A7GH)",,"1.33"
"Accurate Energy Solutions Ltd.  (A6NC)",*,"0.65"
"Adanac Oil & Gas Limited  (0FC1)",*,"1.27"
"ADM Agri-Industries Company  (A06P)",*,"1.00"
"Advance Drilling Ltd.  (0XG3)",,"1.00"
"Advantage Oil & Gas Ltd.  (0TD9)",,"26.45"
"Aeneid Exploration Inc.  (A79H)",,"4.09"
"Aeraden Energy Corp.  (A79A)",,"1.23"
"Agrium Inc.  (0GX2)",,"0.00"
"Alberta Petroleum Energy Limited  (0WZ4)",,"0.76"
"Alexander Oilfield Services Ltd.  (0MK6)",*,"1.22"
"Allstar Energy Limited  (0B1F)",*,"1.00"
"AltaGas Ltd.  (A0TK)",*,"2.74"
"AltaGas Utilities Inc.  (0190)",*,"1.00"
"Altima Resources Ltd.  (A669)",,"4.55"
"Altura Energy Inc.  (A54P)",,"7.98"
"Amethyst Petroleums Ltd.  (0HF7)",*,"1.32"
"Andora Energy Corporation  (A14L)",*,"1.00"
"Andrich Resources Ltd.  (0P92)",,"2.58"
"Anegada Oil Corp.  (A789)",*,"4.30"
