LMS - INT03,"March 03, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,40410
Liability Run Date:,"March 03, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.72"
Number of Licensees at or over Industry Threshold:,"433"
Number of Licensees below Industry Threshold:,"328"
Total Number of Licensees Evaluated:,"761"
Total Number of Licences/Approvals Evaluated:,"348,185"
Total Deemed Assets:,"$143,025,364,579.30"
Total Deemed Liabilities:,"$30,277,315,073.05"
Total Estimated Liabilities:,"$31,003,997,941.05"
Total LMR Security Held:,"$196,083,150.91"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"228","1,319","$0.00","$76,778,117.52","0.00"
0.01 - 0.49,"41","3,308","$27,939,702.37","$288,986,818.76","0.10"
0.50 - 0.99,"59","3,909","$246,044,860.47","$331,612,210.04","0.74"
1.00 - 1.49,"144","58,415","$5,004,636,310.08","$3,902,481,335.24","1.28"
1.50 - 1.99,"56","51,624","$7,375,181,991.23","$4,184,563,246.92","1.76"
2.00 - 2.99,"65","64,998","$12,723,741,075.93","$5,385,471,978.13","2.36"
3.00 - 3.99,"35","94,674","$24,520,262,124.81","$7,946,981,128.66","3.09"
4.00 - 4.99,"24","21,887","$10,866,576,285.77","$2,423,850,477.11","4.48"
5.00 - 5.99,"24","6,626","$3,082,542,253.71","$560,612,399.04","5.50"
6.00 - 6.99,"13","2,951","$3,493,152,964.10","$531,300,833.95","6.57"
7.00 - 7.99,"13","3,182","$3,568,373,081.05","$496,000,893.12","7.19"
8.00 - 8.99,"10","3,366","$2,750,046,712.55","$329,954,605.75","8.33"
9.00 - 9.99,"4","7,381","$6,965,495,412.25","$721,275,260.00","9.66"
10.00 or >  ,"45","24,545","$62,401,371,804.98","$3,097,445,768.81","20.15"
Liability Management Rating (LMR) Results 
Licensee Name,Security On Hand,Security Adjusted LMR
"1170778 Alberta Ltd.  (A1ET)",*,"0.58"
"1195714 Alberta Ltd.  (A1R7)",,"18.33"
"1288131 Alberta Ltd.  (A57K)",,"3.25"
"1316751 Alberta Ltd.  (A2Y3)",,"0.00"
"1343358 Alberta Ltd.  (A2TB)",,"1.00"
"1367290 Alberta Ltd.  (A5F8)",,"1.00"
"1435008 Alberta Ltd.  (A7G3)",*,"1.00"
"1506928 Alberta Ltd.  (A5WK)",,"3.04"
"1509178 Alberta Ltd.  (A5XP)",*,"1.28"
"1822916 Alberta Ltd.  (A6X3)",,"0.78"
"1852797 Alberta ULC  (A73D)",*,"2.19"
"1885712 Alberta Ltd.  (A76B)",*,"1.00"
"1977715 Alberta Ltd.  (A7EF)",*,"1.00"
"258912 Alberta Ltd.  (0DG1)",*,"1.30"
"391138 Alberta Ltd.  (0PE6)",,"2.45"
"410577 Alberta Limited  (0NB3)",*,"1.00"
"439 Oil Corp.  (A098)",*,"1.00"
"538080 Alberta Corporation  (A07P)",*,"1.51"
"545279 Alberta Limited  (0PT6)",*,"0.99"
"611890 Alberta Inc.  (A5EF)",,"7.53"
"840586 Alberta Ltd.  (0D6B)",,"1.18"
"935821 Alberta Ltd.  (A2YM)",*,"0.94"
"97837 Resources Ltd.  (0W01)",*,"0.98"
"979968 Alberta Ltd.  (A6N9)",*,"2.05"
"Accel Canada Holdings Limited  (A7ND)",,"1.32"
"ACCEL Energy Canada Limited  (A7GH)",,"1.30"
"Accurate Energy Solutions Ltd.  (A6NC)",*,"0.65"
"Adanac Oil & Gas Limited  (0FC1)",*,"1.23"
"ADM Agri-Industries Company  (A06P)",*,"1.00"
"Advance Drilling Ltd.  (0XG3)",,"1.00"
"Advantage Oil & Gas Ltd.  (0TD9)",,"26.31"
"Aeneid Exploration Inc.  (A79H)",,"3.94"
"Aeraden Energy Corp.  (A79A)",,"1.17"
"Agrium Inc.  (0GX2)",,"0.00"
"Alberta Petroleum Energy Limited  (0WZ4)",*,"0.86"
"Alexander Oilfield Services Ltd.  (0MK6)",*,"1.23"
"Allstar Energy Limited  (0B1F)",*,"1.00"
"AltaGas Ltd.  (A0TK)",*,"2.77"
"AltaGas Utilities Inc.  (0190)",*,"1.00"
"Altima Resources Ltd.  (A669)",,"4.50"
"Altura Energy Inc.  (A54P)",,"8.10"
"Amethyst Petroleums Ltd.  (0HF7)",*,"1.32"
"Andora Energy Corporation  (A14L)",*,"1.00"
"Andrich Resources Ltd.  (0P92)",,"2.59"
"Anegada Oil Corp.  (A789)",*,"5.36"
"Anhydride Oil Corporation  (0PY5)",*,"0.53"
"Annex Petroleum Inc.  (A1EJ)",,"0.00"
"Anterra Energy Inc.  (A2LN)",*,"0.09"
"AOC (ELE) Corp.  (A5PJ)",,"1.00"
"APL Oil & Gas (1998) Ltd.  (0XN6)",,"1.53"
"Aqua Terra Water Management Inc.  (0M7P)",,"1.03"
"ARC Resources Ltd.  (0G30)",,"2.05"
"Area 2 Energy Ltd.  (A79G)",,"0.99"
"Arrandale Resources Ltd.  (0JC7)",*,"1.00"
"Arrow Point Oil & Gas Ltd.  (A5BL)",,"0.71"
"Artis Exploration Ltd.  (A77W)",,"14.05"
"Ascensun Oil And Gas Ltd.  (A6MY)",*,"1.00"
"Ashanti Gold Corp.  (A0WE)",*,"0.80"
"Aspenleaf Energy Limited  (A74X)",,"7.05"
"ATCO Energy Solutions Ltd.  (0Z2W)",*,"1.96"
"ATCO Gas And Pipelines Ltd.  (0144)",*,"1.76"
"Athabasca Oil Corporation  (A28L)",,"17.64"
"Avalon Energy Ltd.  (0KX6)",,"1.30"
"Axiom Oil and Gas Inc.  (A71K)",,"1.23"
"Baccalieu Energy Inc.  (A73C)",,"6.60"
"Baker Hughes Canada Company  (A5MN)",*,"1.00"
"Band Energy Resources Ltd.  (A07M)",,"3.15"
"Barcomp Petroleum Ltd.  (0LM7)",,"1.96"
"Barnwell of Canada, Limited  (0J66)",,"1.11"
"Bashaw Oil Corp.  (A6Y8)",,"2.13"
"Bay Trail Resources Ltd.  (A5NZ)",,"5.46"
"Baytex Energy Ltd.  (0RL9)",,"3.38"
"BDJ Energy Inc.  (A611)",,"22.65"
"Bear Hills Industries Ltd.  (0MM5)",,"1.42"
"Bearspaw Petroleum Ltd.  (0NL1)",,"1.44"
"Beatton Energy Inc.  (A4XG)",*,"1.67"
"Beaver Lake Resources Corporation  (0RW4)",*,"1.14"
"Bek Holdings Ltd.  (A52W)",,"1.00"
"Bellatrix Exploration Ltd.  (A5E0)",,"11.03"
"Benjaka Exploration Inc.  (A1C3)",*,"0.68"
"Bering Exploration Company, ULC  (A2XA)",,"6.69"
"Bernum Petroleum Ltd.  (A5D6)",,"1.92"
"Berry Creek Resources Inc.  (0PH1)",*,"1.01"
"Big Lake Energy Ltd.  (A67Z)",*,"1.10"
"Birchcliff Energy Ltd.  (A12R)",,"18.42"
"Birchill Canada Corp.  (A6WF)",,"3.20"
"Birchwood Resources Inc.  (A5YL)",*,"1.00"
"Black Bear Management Corp.  (0LJ6)",,"1.00"
"Black Crane Energy Corp.  (A7HL)",,"2.54"
"Black Diamond Energy Corporation  (A0NE)",*,"1.00"
"Black Seal Resources Corp.  (A31H)",,"1.00"
"Blackbird Energy Inc.  (A698)",,"11.38"
"Blackhawk Resource Operating Corp.  (A5CT)",*,"1.20"
"Blackpearl Resources Inc.  (A5GE)",,"4.04"
"Blackshale Resources Inc.  (A6FP)",*,"1.00"
"Blackspur Oil Corp.  (A6F7)",,"5.70"
"Blaze Energy Ltd.  (0TX1)",*,"1.03"
"Blendforce Energy Services Inc.  (A2KX)",*,"1.07"
"Blue Springs Energy Ltd.  (0NT2)",,"1.56"
"Blue Star Energy Inc.  (A774)",*,"2.44"
"Bluestone Resources Inc.  (0WC3)",,"0.00"
"BLZ Energy Ltd.  (A30X)",,"0.00"
"Bonavista Energy Corporation  (A5RX)",,"4.23"
"Bonterra Energy Corp.  (0XZ4)",,"2.06"
"Border Petroleum Limited  (A562)",*,"0.57"
"Boulder Energy Ltd.  (A73X)",,"4.37"
"Bounty Developments Ltd.  (0HP8)",*,"1.38"
"Bow River Energy Ltd.  (A6N8)",,"1.27"
"BP Canada Energy Group ULC  (A62D)",*,"2.00"
"Brahma Resources Ltd.  (A31A)",,"0.92"
"Brand S Resources Ltd.  (0PM4)",*,"1.00"
"Bridgeoil Corporation  (A6AW)",*,"1.00"
"Broadview Energy Ltd.  (A5TA)",,"7.02"
"Bruce Developments Limited  (0EM5)",,"0.00"
"Bruderheim Energy Terminal Ltd.  (A76J)",*,"1.00"
"BRW Petroleum Corp.  (A6E9)",*,"2.75"
"Butte Energy Inc.  (A61Z)",*,"1.00"
"C Group Energy Inc.  (A6YN)",,"2.05"
"Cabot Energy Inc.  (A5HR)",,"1.43"
"Cadotte Disposal Services Ltd.  (A7K9)",*,"1.80"
