LMS - INT03,"September 01, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,41057
Liability Run Date:,"September 01, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.85"
Number of Licensees at or over Industry Threshold:,"416"
Number of Licensees below Industry Threshold:,"326"
Total Number of Licensees Evaluated:,"742"
Total Number of Licences/Approvals Evaluated:,"347,591"
Total Deemed Assets:,"$146,858,075,626.57"
Total Deemed Liabilities:,"$30,267,349,926.92"
Total Estimated Liabilities:,"$30,964,314,289.92"
Total LMR Security Held:,"$187,397,039.76"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"225","3,177","$11,368.22","$230,234,039.46","0.00"
0.01 - 0.49,"39","1,164","$23,543,796.19","$111,853,912.33","0.21"
0.50 - 0.99,"62","12,748","$679,999,881.94","$841,291,123.04","0.81"
1.00 - 1.49,"128","51,906","$4,857,838,923.27","$3,781,131,905.77","1.28"
1.50 - 1.99,"61","65,806","$8,461,194,596.74","$4,637,584,660.58","1.82"
2.00 - 2.99,"64","120,182","$27,659,416,899.21","$10,141,030,771.43","2.73"
3.00 - 3.99,"24","14,092","$4,648,813,519.16","$1,381,335,590.09","3.37"
4.00 - 4.99,"24","18,942","$9,863,537,570.01","$2,139,449,901.42","4.61"
5.00 - 5.99,"20","7,007","$3,454,565,903.87","$635,540,732.78","5.44"
6.00 - 6.99,"10","3,694","$3,216,178,656.81","$490,345,544.09","6.56"
7.00 - 7.99,"13","4,085","$4,120,720,922.29","$539,621,144.00","7.64"
8.00 - 8.99,"13","10,903","$10,278,361,108.50","$1,239,532,775.81","8.29"
9.00 - 9.99,"6","775","$543,418,417.88","$59,341,034.15","9.16"
10.00 or >  ,"53","33,110","$69,050,474,062.48","$4,039,056,791.97","17.10"
Liability Management Rating (LMR) Results 
Licensee Name,Security On Hand,Security Adjusted LMR
"1170778 Alberta Ltd.  (A1ET)",*,"0.57"
"1195714 Alberta Ltd.  (A1R7)",,"16.74"
"1288131 Alberta Ltd.  (A57K)",,"3.02"
"1316751 Alberta Ltd.  (A2Y3)",,"0.00"
"1343358 Alberta Ltd.  (A2TB)",,"1.00"
"1367290 Alberta Ltd.  (A5F8)",,"1.00"
"1435008 Alberta Ltd.  (A7G3)",*,"1.00"
"1506928 Alberta Ltd.  (A5WK)",,"2.16"
"1509178 Alberta Ltd.  (A5XP)",*,"1.28"
"1822916 Alberta Ltd.  (A6X3)",,"0.96"
"1852797 Alberta ULC  (A73D)",*,"6.22"
"1885712 Alberta Ltd.  (A76B)",*,"1.00"
"1977715 Alberta Ltd.  (A7EF)",*,"1.00"
"258912 Alberta Ltd.  (0DG1)",*,"1.30"
"410577 Alberta Limited  (0NB3)",*,"1.00"
"439 Oil Corp.  (A098)",*,"1.00"
"538080 Alberta Corporation  (A07P)",*,"1.51"
"545279 Alberta Limited  (0PT6)",*,"1.01"
"611890 Alberta Inc.  (A5EF)",,"9.92"
"840586 Alberta Ltd.  (0D6B)",*,"0.87"
"935821 Alberta Ltd.  (A2YM)",*,"0.97"
"97837 Resources Ltd.  (0W01)",*,"1.32"
"979968 Alberta Ltd.  (A6N9)",*,"1.48"
"ACCEL Canada Holdings Limited  (A7ND)",,"1.19"
"ACCEL Energy Canada Limited  (A7GH)",,"1.21"
"Accurate Energy Solutions Ltd.  (A6NC)",*,"0.65"
"Acquisition Oil Corp.  (A7N3)",,"1.19"
"Adanac Oil & Gas Limited  (0FC1)",*,"1.16"
"ADM Agri-Industries Company  (A06P)",*,"1.00"
"Advance Drilling Ltd.  (0XG3)",,"32.91"
"Advantage Oil & Gas Ltd.  (0TD9)",,"25.92"
"Aeneid Exploration Inc.  (A79H)",,"3.29"
"Aeraden Energy Corp.  (A79A)",,"1.00"
"Alberta Petroleum Energy Limited  (0WZ4)",*,"1.91"
"Alexander Oilfield Services Ltd.  (0MK6)",*,"1.23"
"Alphabow Energy Ltd.  (A7H2)",,"1.26"
"AltaGas Ltd.  (A0TK)",*,"2.67"
"AltaGas Utilities Inc.  (0190)",*,"1.00"
"Altima Resources Ltd.  (A669)",,"4.40"
"Altura Energy Inc.  (A54P)",,"9.43"
"Amethyst Petroleums Ltd.  (0HF7)",*,"1.32"
"Andora Energy Corporation  (A14L)",*,"1.00"
"Andrich Resources Ltd.  (0P92)",,"2.61"
"Anegada Oil Corp.  (A789)",,"10.01
"
"Anhydride Oil Corporation  (0PY5)",*,"0.53"
