LMS - INT03,"August 04, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,40982
Liability Run Date:,"August 04, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.84"
Number of Licensees at or over Industry Threshold:,"418"
Number of Licensees below Industry Threshold:,"326"
Total Number of Licensees Evaluated:,"744"
Total Number of Licences/Approvals Evaluated:,"347,274"
Total Deemed Assets:,"$146,266,586,316.70"
Total Deemed Liabilities:,"$30,236,755,795.21"
Total Estimated Liabilities:,"$30,925,826,209.21"
Total LMR Security Held:,"$178,973,469.24"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"224","3,170","$13,184.42","$231,411,833.46","0.00"
0.01 - 0.49,"35","1,057","$19,572,441.53","$103,232,997.33","0.19"
0.50 - 0.99,"67","12,710","$706,389,422.46","$841,780,439.06","0.84"
1.00 - 1.49,"131","52,232","$4,926,536,318.64","$3,793,597,747.49","1.30"
1.50 - 1.99,"61","65,609","$8,448,756,851.67","$4,641,242,804.04","1.82"
2.00 - 2.99,"61","120,063","$27,857,725,870.57","$10,151,496,780.23","2.74"
3.00 - 3.99,"27","22,255","$7,297,399,831.91","$2,237,729,267.11","3.26"
4.00 - 4.99,"23","19,750","$10,132,984,494.77","$2,198,990,455.42","4.61"
5.00 - 5.99,"18","5,471","$2,687,413,597.44","$491,919,787.19","5.46"
6.00 - 6.99,"15","3,973","$3,596,204,683.70","$546,009,761.42","6.59"
7.00 - 7.99,"14","4,587","$4,477,734,446.90","$588,733,442.15","7.61"
8.00 - 8.99,"11","10,812","$10,164,938,824.20","$1,223,932,908.81","8.31"
9.00 - 9.99,"6","353","$239,300,802.11","$25,359,089.00","9.44"
10.00 or >  ,"51","25,232","$65,711,615,546.38","$3,161,318,482.50","20.79"
Liability Management Rating (LMR) Results 
Licensee Name,Security On Hand,Security Adjusted LMR
"1170778 Alberta Ltd.  (A1ET)",*,"0.62"
"1195714 Alberta Ltd.  (A1R7)",,"16.87"
"1288131 Alberta Ltd.  (A57K)",,"2.98"
"1316751 Alberta Ltd.  (A2Y3)",,"0.00"
"1343358 Alberta Ltd.  (A2TB)",,"1.00"
"1367290 Alberta Ltd.  (A5F8)",,"1.00"
"1435008 Alberta Ltd.  (A7G3)",*,"1.00"
"1506928 Alberta Ltd.  (A5WK)",,"1.85"
"1509178 Alberta Ltd.  (A5XP)",*,"1.28"
"1822916 Alberta Ltd.  (A6X3)",,"0.96"
"1852797 Alberta ULC  (A73D)",*,"6.22"
"1885712 Alberta Ltd.  (A76B)",*,"1.00"
"1977715 Alberta Ltd.  (A7EF)",*,"1.00"
"258912 Alberta Ltd.  (0DG1)",*,"1.30"
"410577 Alberta Limited  (0NB3)",*,"1.00"
"439 Oil Corp.  (A098)",*,"1.00"
"538080 Alberta Corporation  (A07P)",*,"1.51"
"545279 Alberta Limited  (0PT6)",*,"1.01"
"611890 Alberta Inc.  (A5EF)",,"9.58"
"840586 Alberta Ltd.  (0D6B)",*,"1.09"
"935821 Alberta Ltd.  (A2YM)",*,"0.95"
"97837 Resources Ltd.  (0W01)",*,"1.37"
"979968 Alberta Ltd.  (A6N9)",*,"1.58"
"ACCEL Canada Holdings Limited  (A7ND)",,"1.21"
"ACCEL Energy Canada Limited  (A7GH)",,"1.22"
"Accurate Energy Solutions Ltd.  (A6NC)",*,"0.65"
"Acquisition Oil Corp.  (A7N3)",,"1.12"
"Adanac Oil & Gas Limited  (0FC1)",*,"1.17"
"ADM Agri-Industries Company  (A06P)",*,"1.00"
"Advance Drilling Ltd.  (0XG3)",,"30.17"
"Advantage Oil & Gas Ltd.  (0TD9)",,"25.36"
"Aeneid Exploration Inc.  (A79H)",,"3.36"
"Aeraden Energy Corp.  (A79A)",,"1.04"
"Alberta Petroleum Energy Limited  (0WZ4)",*,"1.49"
"Alexander Oilfield Services Ltd.  (0MK6)",*,"1.24"
"Alphabow Energy Ltd.  (A7H2)",,"1.28"
"AltaGas Ltd.  (A0TK)",*,"2.74"
"AltaGas Utilities Inc.  (0190)",*,"0.61"
"Altima Resources Ltd.  (A669)",,"4.39"
"Altura Energy Inc.  (A54P)",,"6.56"
"Amethyst Petroleums Ltd.  (0HF7)",*,"1.32"
"Andora Energy Corporation  (A14L)",*,"1.00"
"Andrich Resources Ltd.  (0P92)",,"2.59"
"Anegada Oil Corp.  (A789)",,"10.57"
"Anhydride Oil Corporation  (0PY5)",*,"0.53"
"Annex Petroleum Inc.  (A1EJ)",,"0.00"
"AOC (ELE) Corp.  (A5PJ)",,"1.00"
"APL Oil & Gas (1998) Ltd.  (0XN6)",,"1.50"
"Aqua Terra Water Management Inc.  (0M7P)",,"1.08"
"ARC Resources Ltd.  (0G30)",,"2.12"
"Area 2 Energy Ltd.  (A79G)",,"0.84"
"Arrandale Resources Ltd.  (0JC7)",*,"1.00"
"Arrow Point Oil & Gas Ltd.  (A5BL)",,"0.64"
"Artis Exploration Ltd.  (A77W)",,"21.31"
"Ascensun Oil and Gas Ltd.  (A6MY)",*,"1.02"
"Ashanti Gold Corp.  (A0WE)",*,"0.80"
"Aspenleaf Energy Limited  (A74X)",,"7.19"
"ATCO Energy Solutions Ltd.  (0Z2W)",*,"1.99"
"ATCO Gas And Pipelines Ltd.  (0144)",*,"1.76"
"Athabasca Oil Corporation  (A28L)",,"18.19"
"Avalon Energy Ltd.  (0KX6)",,"1.16"
"Avila Exploration & Development Canada Ltd.  (A7NE)",,"0.65"
"Axiom Oil and Gas Inc.  (A71K)",,"1.17"
"Baccalieu Energy Inc.  (A73C)",,"6.70"
"Baker Hughes Canada Company  (A5MN)",*,"1.00"
"Band Energy Resources Ltd.  (A07M)",,"3.17"
"Barcomp Petroleum Ltd.  (0LM7)",,"1.97"
"Barnwell of Canada, Limited  (0J66)",,"1.25"
"Bashaw Oil Corp.  (A6Y8)",,"1.86"
"Bay Trail Resources Ltd.  (A5NZ)",,"4.10"
"Baytex Energy Ltd.  (0RL9)",,"3.37"
"BDJ Energy Inc.  (A611)",,"21.50"
"Bear Hills Industries Ltd.  (0MM5)",,"1.38"
"Bearspaw Petroleum Ltd.  (0NL1)",,"1.27"
"Beatton Energy Inc.  (A4XG)",*,"1.82"
"Beaver Lake Resources Corporation  (0RW4)",*,"1.23"
"Bek Holdings Ltd.  (A52W)",,"1.00"
"Bellatrix Exploration Ltd.  (A5E0)",,"10.66"
"Benjaka Exploration Inc.  (A1C3)",*,"0.28"
"Bering Exploration Company, ULC  (A2XA)",,"6.13"
"Bernum Petroleum Ltd.  (A5D6)",,"1.76"
"Berry Creek Resources Inc.  (0PH1)",*,"1.01"
"Birchcliff Energy Ltd.  (A12R)",,"19.46"
"Birchill Canada Corp.  (A6WF)",,"7.41"
"Birchwood Resources Inc.  (A5YL)",*,"1.00"
"Black Bear Management Corp.  (0LJ6)",,"1.00"
"Black Crane Energy Corp.  (A7HL)",*,"2.34"
"Black Diamond Energy Corporation  (A0NE)",*,"1.00"
"Black Seal Resources Corp.  (A31H)",,"1.00"
"Blackbird Energy Inc.  (A698)",,"16.00"
"Blackhawk Resource Operating Corp.  (A5CT)",*,"1.20"
"Blackpearl Resources Inc.  (A5GE)",,"3.77"
"Blackshale Resources Inc.  (A6FP)",*,"1.00"
"Blackspur Oil Corp.  (A6F7)",,"6.81"
"Blaze Energy Ltd.  (0TX1)",*,"0.91"
"Blue Springs Energy Ltd.  (0NT2)",,"1.60"
"Blue Star Energy Inc.  (A774)",*,"3.34"
"Bluestone Resources Inc.  (0WC3)",,"0.00"
"BLZ Energy Ltd.  (A30X)",,"0.00"
"Bonavista Energy Corporation  (A5RX)",,"4.16"
"Bonterra Energy Corp.  (0XZ4)",,"2.09"
"Border Petroleum Limited  (A562)",*,"0.56"
"Boulder Energy Ltd.  (A73X)",,"4.99"
"Bounty Developments Ltd.  (0HP8)",*,"1.38"
"Bow River Energy Ltd.  (A6N8)",,"1.32"
"BP Canada Energy Group ULC  (A62D)",*,"2.00"
"Brahma Resources Ltd.  (A31A)",,"0.88"
"Brand S Resources Ltd.  (0PM4)",*,"1.00"
"Bridgeoil Corporation  (A6AW)",*,"1.00"
"Broadview Energy Ltd.  (A5TA)",,"7.84"
"Bruderheim Energy Terminal Ltd.  (A76J)",*,"1.00"
"BRW Petroleum Corp.  (A6E9)",*,"1.00"
"Butte Energy Inc.  (A61Z)",*,"1.00"
"C Group Energy Inc.  (A6YN)",,"1.98"
"Cabot Energy Inc.  (A5HR)",,"1.99"
"Cadotte Disposal Services Ltd.  (A7K9)",*,"1.06"
"Caiterra International Energy Corporation  (A6AX)",*,"1.00"
"Cal-Ranch Resources Inc.  (0XG6)",*,"1.00"
"Caledonian Royalty Corporation  (A684)",*,"0.97"
"Calgary Crude Oil Limited  (0J61)",*,"4.83"
"Caltex Resources Ltd.  (A60R)",,"7.01"
"Canada Northwest Energy Limited  (0L99)",*,"0.73"
