Year of last filed report / Année de déclaration la plus récente,NPRI ID / ID INRP,Company Name / Raison Sociale,Facility Name / Nom de l'installation,Address line 1 / Première ligne d’adresse,Address line 2 / Deuxième ligne d’adresse,City / Ville,Province / Province,Postal Code / Code postal,Physical Land Survey Description / Description de l'arpentage,National Topographical Description / Description topographique nationale,Latitude / Latitude,Longitude / Longitude,Datum / Datum,NAICS / Code SCIAN,Key Industrial Sector Code / Code des Secteurs industriels clés,Key Industrial Sector (English) / Secteurs industriels clés (Anglais),Key Industrial Sector (French) / Secteurs industriels clés (Français),Census Division (CD) Unique ID / No unique de la Division de recensement (DR),Census Division (CD) Name / Nom de la Division de recensement (DR),Census Sub Division (CSD) Unique ID / No unique de la Subdivision de recensement (SDR),Census Sub Division (CSD) Name / Nom de la Subdivision de recensement (SDR),Census Metropolitan Area (CMA) Unique ID / No unique de la Région métropolitaine de recensement (RMR),Census Metropolitan Area (CMA) Name / Nom de la Région métropolitaine de recensement (RMR),Economic Region (ER) Unique ID / No unique de la Région économique (RE),Economic Region (ER) Name / Nom de la Région économique (RE),Forward Sortation Area (FSA) / Région de tri d'acheminement (RTA),Ecozone Unique ID / No unique de l’écozone,English Ecozone Name / Nom anglais de l’écozone,French Ecozone Name / Nom français de l’écozone,Unique ID of the Major Drainage Area from the Water Survey of Canada (WSC) / No unique de l’aire de drainage principale des Relevés hydrologiques du Canada (RHC),Major Drainage Area English Name / Nom anglais de l’aire de drainage principale ,Major Drainage Area French Name / Nom français de l’aire de drainage principale ,Sulphur Oxide Management Area (SOMA) / Zone de gestion des oxydes de soufre (ZGOS),Ontario Pollution Emission Management Area (PEMA) / Zone de gestion des émission de polluants (ZGEP) de l'Ontario,Quebec Pollution Emission Management Area (PEMA) / Zone de gestion des émission de polluants (ZGEP) du Québec,Quebec City-Windsor Corridor / Corridor Québec-Windsor
2016,1,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,,,County of Athabasca,AB,T0A0M0,SW-32-068-19-W4,,54.92,-112.86,1983,322112,14,Pulp and Paper,Pâte à papier et papier,4813,Division No. 13,4813044,Athabasca County,,,4870,Athabasca--Grande Prairie--Peace River,T0A,9,Boreal PLain,Plaines boréales,7,Great Slave Lake Drainage Area,Aire de drainage du Grand lac des Esclaves,0,0,0,0
2016,11,Hexion Canada Inc.,Hexion Canada Inc. - Edmonton Facility,12621 156th Street,,Edmonton,AB,T5V1E1,,,53.58,-113.58,1983,325210,3,Chemicals,Produits chimiques,4811,Division No. 11,4811061,Edmonton,835,Edmonton,4860,Edmonton,T5V,10,Prairie,Prairies,5,Nelson River Drainage Area,Aire de drainage du fleuve Nelson,0,0,0,0
2016,79,GE Water & Process Technologies Canada,GE Water & Process Technologies Canada - EDMONTON,13030 148th Street,,Edmonton,AB,T5L2H8,,,53.58,-113.57,1983,325999,3,Chemicals,Produits chimiques,4811,Division No. 11,4811061,Edmonton,835,Edmonton,4860,Edmonton,T5V,10,Prairie,Prairies,5,Nelson River Drainage Area,Aire de drainage du fleuve Nelson,0,0,0,0
2016,106,Canadian Natural Resources Limited,Dunvegan Sour Gas Plant,,,Fairview,AB,,15-03-081-04-W6,,55.99,-118.53,1983,211113,16,Conventional Oil and Gas Extraction,Extraction de pétrole et de gaz par des méthodes classiques,4819,Division No. 19,4819066,Fairview No. 136,,,4870,Athabasca--Grande Prairie--Peace River,T0H,9,Boreal PLain,Plaines boréales,7,Great Slave Lake Drainage Area,Aire de drainage du Grand lac des Esclaves,0,0,0,0
2016,126,Celanese EVA Performance Polymers Inc.,Edmonton Site,4405 101st Avenue,,Edmonton,AB,T6A 0L2,,,53.53,-113.4,1983,325210,3,Chemicals,Produits chimiques,4811,Division No. 11,4811061,Edmonton,835,Edmonton,4860,Edmonton,T6B,10,Prairie,Prairies,5,Nelson River Drainage Area,Aire de drainage du fleuve Nelson,0,0,0,0
2016,152,Carpenter Canada Co - Calgary,Calgary Division,5800 36th Street,,Calgary,AB,T2C2A9,,,51,-113.98,1983,326150,13,Plastics and Rubber,Plastiques et caoutchouc,4806,Division No.  6,4806016,Calgary,825,Calgary,4830,Calgary,T2C,10,Prairie,Prairies,5,Nelson River Drainage Area,Aire de drainage du fleuve Nelson,0,0,0,0
2016,169,Bunge Canada,BUNGE CANADA - WAINWRIGHT PLANT,1101 4th Avenue,,Wainwright,AB,T9W1S8,,,52.82,-110.85,1983,311990,6,Other Manufacturing,Autres fabrication,4807,Division No.  7,4807054,Wainwright,,,4820,Camrose--Drumheller,T9W,10,Prairie,Prairies,5,Nelson River Drainage Area,Aire de drainage du fleuve Nelson,0,0,0,0
2016,223,Daishowa-Marubeni International Ltd-Peace River Pulp,Peace River Pulp Division,11/13/24-085-21-W5,,MD of Northern Lights,AB,T8S1V7,11/13/24-085-21-W5,,56.37,-117.17,1983,322112,14,Pulp and Paper,Pâte à papier et papier,4817,Division No. 17,4817076,Northern Lights County,,,4870,Athabasca--Grande Prairie--Peace River,T8S,9,Boreal PLain,Plaines boréales,7,Great Slave Lake Drainage Area,Aire de drainage du Grand lac des Esclaves,0,0,0,0
2016,250,Evonik Canada Inc.,Gibbons Site,Highway 643 East,,Gibbons,AB,T0A1N0,,,53.83,-113.1,1983,325189,3,Chemicals,Produits chimiques,4811,Division No. 11,4811059,Sturgeon County,835,Edmonton,4860,Edmonton,T0A,10,Prairie,Prairies,5,Nelson River Drainage Area,Aire de drainage du fleuve Nelson,0,0,0,0
2016,267,Capital Power Generation Services Inc.,Genesee Thermal Generating Station,0 - 50444 Highway 770,,Warburg,AB,T0C2T0,,,53.34,-114.3,1983,221112,4,Electricity,Électricité,4811,Division No. 11,4811012,Leduc County,835,Edmonton,4860,Edmonton,T0C,9,Boreal PLain,Plaines boréales,5,Nelson River Drainage Area,Aire de drainage du fleuve Nelson,0,0,0,0
