2011 Census Profile - Data quality flags and descriptions - Federal Electoral Districts (FED) (2013 representation order)
"Geo_Code","Geo_Name","DQ_Flag (5-digit code)*"
"10001","Avalon","00000"
"10002","Bonavista--Burin--Trinity","00000"
"10003","Coast of Bays--Central--Notre Dame","00000"
"10004","Labrador","00000"
"10005","Long Range Mountains","00000"
"10006","St. John's East","00000"
"10007","St. John's South--Mount Pearl","00000"
"11001","Cardigan","00000"
"11002","Charlottetown","00000"
"11003","Egmont","00000"
"11004","Malpeque","00000"
"12001","Cape Breton--Canso","00000"
"12002","Central Nova","00000"
"12003","Cumberland--Colchester","00000"
"12004","Dartmouth--Cole Harbour","00000"
"12005","Halifax","00000"
"12006","Halifax West","00000"
"12007","Kings--Hants","00000"
"12008","Sackville--Preston--Chezzetcook","00000"
"12009","South Shore--St. Margarets","00000"
"12010","Sydney--Victoria","00000"
"12011","West Nova","00000"
"13001","Acadie--Bathurst","00000"
"13002","Beauséjour","00000"
"13003","Fredericton","00000"
"13004","Fundy Royal","00000"
"13005","Madawaska--Restigouche","01000"
"13006","Miramichi--Grand Lake","00000"
"13007","Moncton--Riverview--Dieppe","00000"
"13008","New Brunswick Southwest","00000"
"13009","Saint John--Rothesay","00000"
"13010","Tobique--Mactaquac","00000"
"24001","Abitibi--Baie-James--Nunavik--Eeyou","01000"
"24002","Abitibi--Témiscamingue","00000"
"24003","Ahuntsic-Cartierville","00000"
"24004","Alfred-Pellan","00000"
"24005","Argenteuil--La Petite-Nation","00000"
"24006","Avignon--La Mitis--Matane--Matapédia","01000"
"24007","Beauce","00000"
"24008","Beauport--Limoilou","00000"
"24009","Bécancour--Nicolet--Saurel","00000"
"24010","Bellechasse--Les Etchemins--Lévis","00000"
"24011","Beloeil--Chambly","00000"
"24012","Berthier--Maskinongé","00000"
"24013","Thérèse-De Blainville","00000"
"24014","Pierre-Boucher--Les Patriotes--Verchères","00000"
"24015","Bourassa","00000"
"24016","Brome--Missisquoi","00000"
"24017","Brossard--Saint-Lambert","00000"
"24018","Rimouski-Neigette--Témiscouata--Les Basques","00000"
"24019","Charlesbourg--Haute-Saint-Charles","00000"
"24020","Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix","00000"
"24021","Châteauguay--Lacolle","00000"
"24022","Chicoutimi--Le Fjord","00000"
"24023","Compton--Stanstead","00000"
"24024","Dorval--Lachine--LaSalle","00000"
"24025","Drummond","00000"
"24026","Gaspésie--Les Îles-de-la-Madeleine","01000"
"24027","Gatineau","00000"
"24028","Hochelaga","00000"
"24029","Honoré-Mercier","00000"
"24030","Hull--Aylmer","00000"
"24031","Joliette","00000"
"24032","Jonquière","00000"
"24033","La Pointe-de-l'Île","00000"
"24034","La Prairie","20000"
"24035","Lac-Saint-Jean","00000"
"24036","Lac-Saint-Louis","00000"
"24037","LaSalle--Émard--Verdun","00000"
"24038","Laurentides--Labelle","21000"
"24039","Laurier--Sainte-Marie","00000"
"24040","Laval--Les Îles","00000"
"24041","Longueuil--Charles-LeMoyne","00000"
"24042","Lévis--Lotbinière","00000"
"24043","Longueuil--Saint-Hubert","00000"
"24044","Louis-Hébert","00000"
"24045","Louis-Saint-Laurent","20000"
"24046","Manicouagan","01000"
"24047","Mégantic--L'Érable","00000"
"24048","Mirabel","20000"
"24049","Montarville","00000"
"24050","Montcalm","00000"
"24051","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","00000"
"24052","Mount Royal","00000"
"24053","Notre-Dame-de-Grâce--Westmount","00000"
"24054","Outremont","00000"
"24055","Papineau","00000"
"24056","Pierrefonds--Dollard","00000"
"24057","Pontiac","20000"
"24058","Portneuf--Jacques-Cartier","00000"
"24059","Québec","01000"
"24060","Repentigny","00000"
"24061","Richmond--Arthabaska","00000"
"24062","Rivière-des-Mille-Îles","00000"
"24063","Rivière-du-Nord","00000"
"24064","Rosemont--La Petite-Patrie","00000"
"24065","Marc-Aurèle-Fortin","00000"
"24066","Saint-Hyacinthe--Bagot","00000"
"24067","Saint-Jean","00000"
"24068","Saint-Laurent","00000"
"24069","Saint-Léonard--Saint-Michel","00000"
"24070","Saint-Maurice--Champlain","00000"
"24071","Salaberry--Suroît","20000"
"24072","Shefford","00000"
"24073","Sherbrooke","00000"
"24074","Vaudreuil--Soulanges","00000"
"24075","Terrebonne","00000"
"24076","Trois-Rivières","00000"
"24077","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","00000"
"24078","Vimy","00000"
"35001","Ajax","00000"
"35002","Algoma--Manitoulin--Kapuskasing","00000"
"35003","Aurora--Oak Ridges--Richmond Hill","00000"
"35004","Barrie--Innisfil","00000"
"35005","Barrie--Springwater--Oro-Medonte","00000"
"35006","Bay of Quinte","00000"
"35007","Beaches--East York","00000"
"35008","Brampton Centre","00000"
"35009","Brampton East","00000"
"35010","Brampton North","00000"
"35011","Brampton South","00000"
"35012","Brampton West","00000"
"35013","Brantford--Brant","01000"
"35014","Bruce--Grey--Owen Sound","00000"
"35015","Burlington","00000"
"35016","Cambridge","00000"
"35017","Chatham-Kent--Leamington","00000"
"35018","Davenport","00000"
"35019","Don Valley East","00000"
"35020","Don Valley North","00000"
"35021","Don Valley West","00000"
"35022","Dufferin--Caledon","00000"
"35023","Durham","00000"
"35024","Eglinton--Lawrence","00000"
"35025","Elgin--Middlesex--London","00000"
"35026","Essex","00000"
"35027","Etobicoke Centre","00000"
"35028","Etobicoke--Lakeshore","00000"
"35029","Etobicoke North","00000"
"35030","Flamborough--Glanbrook","00000"
"35031","Glengarry--Prescott--Russell","00000"
"35032","Guelph","00000"
"35033","Haldimand--Norfolk","00000"
"35034","Haliburton--Kawartha Lakes--Brock","00000"
"35035","Hamilton Centre","01000"
"35036","Hamilton East--Stoney Creek","00000"
"35037","Hamilton Mountain","00000"
"35038","Hamilton West--Ancaster--Dundas","00000"
"35039","Hastings--Lennox and Addington","01000"
"35040","Huron--Bruce","00000"
"35041","Kanata--Carleton","00000"
"35042","Kenora","21000"
"35043","King--Vaughan","00000"
"35044","Kingston and the Islands","00000"
"35045","Kitchener Centre","00000"
"35046","Kitchener--Conestoga","00000"
"35047","Kitchener South--Hespeler","00000"
"35048","Lambton--Kent--Middlesex","20000"
"35049","Lanark--Frontenac--Kingston","00000"
"35050","Leeds--Grenville--Thousand Islands and Rideau Lakes","00000"
"35051","London--Fanshawe","00000"
"35052","London North Centre","00000"
"35053","London West","00000"
"35054","Markham--Stouffville","00000"
"35055","Markham--Thornhill","00000"
"35056","Markham--Unionville","00000"
"35057","Milton","00000"
"35058","Mississauga Centre","00000"
"35059","Mississauga East--Cooksville","00000"
"35060","Mississauga--Erin Mills","00000"
"35061","Mississauga--Lakeshore","00000"
"35062","Mississauga--Malton","00000"
"35063","Mississauga--Streetsville","00000"
"35064","Nepean","00000"
"35065","Newmarket--Aurora","00000"
"35066","Niagara Centre","00000"
"35067","Niagara Falls","00000"
"35068","Niagara West","00000"
"35069","Nickel Belt","00000"
"35070","Nipissing--Timiskaming","20000"
"35071","Northumberland--Peterborough South","00000"
"35072","Oakville","00000"
"35073","Oakville North--Burlington","00000"
"35074","Oshawa","00000"
"35075","Ottawa Centre","00000"
"35076","Orléans","00000"
"35077","Ottawa South","00000"
"35078","Ottawa--Vanier","00000"
"35079","Ottawa West--Nepean","00000"
"35080","Oxford","00000"
"35081","Parkdale--High Park","00000"
"35082","Parry Sound--Muskoka","20000"
"35083","Perth--Wellington","00000"
"35084","Peterborough--Kawartha","00000"
"35085","Pickering--Uxbridge","00000"
"35086","Renfrew--Nipissing--Pembroke","00000"
"35087","Richmond Hill","00000"
"35088","Carleton","00000"
"35089","St. Catharines","00000"
"35090","Toronto--St. Paul's","00000"
"35091","Sarnia--Lambton","00000"
"35092","Sault Ste. Marie","20000"
"35093","Scarborough--Agincourt","00000"
"35094","Scarborough Centre","00000"
"35095","Scarborough--Guildwood","00000"
"35096","Scarborough North","00000"
"35097","Scarborough--Rouge Park","00000"
"35098","Scarborough Southwest","00000"
"35099","Simcoe--Grey","00000"
"35100","Simcoe North","00000"
"35101","Spadina--Fort York","01000"
"35102","Stormont--Dundas--South Glengarry","20000"
"35103","Sudbury","00000"
"35104","Thornhill","00000"
"35105","Thunder Bay--Rainy River","00000"
"35106","Thunder Bay--Superior North","00000"
"35107","Timmins--James Bay","20000"
"35108","Toronto Centre","01000"
"35109","Toronto--Danforth","00000"
"35110","University--Rosedale","01000"
"35111","Vaughan--Woodbridge","00000"
"35112","Waterloo","00000"
"35113","Wellington--Halton Hills","00000"
"35114","Whitby","00000"
"35115","Willowdale","00000"
"35116","Windsor--Tecumseh","00000"
"35117","Windsor West","00000"
"35118","York Centre","00000"
"35119","York--Simcoe","00000"
"35120","York South--Weston","00000"
"35121","Humber River--Black Creek","00000"
"46001","Brandon--Souris","00000"
"46002","Charleswood--St. James--Assiniboia--Headingley","00000"
"46003","Churchill--Keewatinook Aski","21000"
"46004","Dauphin--Swan River--Neepawa","01000"
"46005","Elmwood--Transcona","00000"
"46006","Kildonan--St. Paul","00000"
"46007","Portage--Lisgar","00000"
"46008","Provencher","00000"
"46009","Saint Boniface--Saint Vital","00000"
"46010","Selkirk--Interlake--Eastman","21000"
"46011","Winnipeg Centre","00000"
"46012","Winnipeg North","00000"
"46013","Winnipeg South","00000"
"46014","Winnipeg South Centre","00000"
"47001","Battlefords--Lloydminster","01000"
"47002","Cypress Hills--Grasslands","01000"
