user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x783689124565901312,x1039332723909951488,2018-09-11T02:00:05Z,AgShaleLaw,"#ShaleLaw HotLink: ""Trump admin plans fast timeline for fresh pipeline review"" @EENewsUpdates https://t.co/2p0bMPmQLm #pipeline #KeystoneXL #energy #oilandgas",Buffer,158,NA,NA,NA,FALSE,FALSE,0,0,ShaleLaw pipeline KeystoneXL energy oilandgas,NA,buff.ly/2McWaQh,https://t.co/2p0bMPmQLm,https://buff.ly/2McWaQh,NA,NA,NA,NA,NA,NA,NA,NA,x90614279,EENewsUpdates,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/AgShaleLaw/status/1039332723909951488,PSU Ag & Shale Law,"State College, PA",Penn State Center for Agricultural and Shale Law - conducting research and education programs on two of the biggest issues in #rural America - #aglaw #shalelaw,https://t.co/xkN4h3mYg9,FALSE,1211,1508,24,4952,1281,2016-10-05T15:23:42Z,FALSE,https://t.co/xkN4h3mYg9,http://www.pennstatelaw.psu.edu/casl,en,https://pbs.twimg.com/profile_banners/783689124565901312/1475682651,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/898636148691660807/QecVgbns_normal.jpg
x962550409964396544,x1039270341057507328,2018-09-10T21:52:12Z,YellaFulla,"Native American tribes sue over #KeystoneXL pipeline @AmericanIndian8 
https://t.co/jOHFFxZUAH",Twitter Web Client,94,NA,NA,NA,FALSE,FALSE,1,0,KeystoneXL,NA,thehill.com/policy/energy-…,https://t.co/jOHFFxZUAH,http://thehill.com/policy/energy-environment/405936-native-american-tribes-sue-over-keystone-xl-pipeline,NA,NA,NA,NA,NA,NA,NA,NA,x2286189025,AmericanIndian8,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/YellaFulla/status/1039270341057507328,Ads,NA,LGBTIQ Aboriginal & TSI Health  Enviro & Social Justice Advocate | Counselor |  Artist l Indigenous Advisor: Uranium Twisting the Dragons Tail,NA,FALSE,200,742,2,867,1530,2018-02-11T04:54:35Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/962550409964396544/1518325630,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1036497535290884096/I2ymk1Uq_normal.jpg
x1010908498723344390,x1039263594158800896,2018-09-10T21:25:24Z,FaiMujer,"Today the Rosebud Sioux Tribe (Sicangu Lakota Oyate) and the Fort Belknap Indian Community (Assiniboine (Nakoda) and Gros Ventre (Aaniiih) Tribes) in coordination with their counsel, the Native American Rights Fund filed suit against #KeystoneXL. https://t.co/nNsDL7FWTu #NoDAPL",Twitter Web Client,278,x1015232814042628097,x1010908498723344390,FaiMujer,FALSE,FALSE,0,2,KeystoneXL NoDAPL,NA,narf.org/keystone-xl/,https://t.co/nNsDL7FWTu,https://www.narf.org/keystone-xl/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/FaiMujer/status/1039263594158800896,Indigenous Anarchist Federation 🏴🚩,"This collective of Indigenous anarchists includes one Indigenous Marxist & strives for anticolonialism, anti-imperialism and anti-fascism.",The Indigenous Anarchist Federation (Federación Anarquista Indígena) is a collective of Indigenous women with focus on a revolutionary anticolonial perspective.,NA,FALSE,631,38,6,244,185,2018-06-24T15:32:22Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/1010908498723344390/1529855102,NA,http://pbs.twimg.com/profile_images/1010910403604332544/ek-smzmG_normal.jpg
x113364160,x1039262736067248129,2018-09-10T21:21:59Z,JordanChariton,#BREAKING: Two Native American Tribes—The Fort Belknap and Rosebud Sioux —sue over Trump approving #KeystoneXL https://t.co/ATI24Xq2xa,Twitter Web Client,134,NA,NA,NA,FALSE,FALSE,52,32,BREAKING KeystoneXL,NA,thehill.com/policy/energy-…,https://t.co/ATI24Xq2xa,http://thehill.com/policy/energy-environment/405936-native-american-tribes-sue-over-keystone-xl-pipeline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/JordanChariton/status/1039262736067248129,Jordan,"New York, NY",Progressive Journalist |SPONSOR MY REPORTING: https://t.co/2XcZHuysOL | FOLLOW my new media outlet @StatusCoup | Subscribe via https://t.co/twloJ0JKZB,https://t.co/7fQj8XGRVg,FALSE,80318,566,1172,26205,899,2010-02-11T14:36:02Z,TRUE,https://t.co/7fQj8XGRVg,https://youtube.com/JordanCharitonReports,en,https://pbs.twimg.com/profile_banners/113364160/1523455486,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1027564349458718721/UQZXLVW0_normal.jpg
x249744932,x1039242319134904321,2018-09-10T20:00:51Z,SUindependent,"At Standing Rock, we heard accounts of tear gas, rubber bullets, concussion grenades, mace, and water cannons on peaceful protesters near the Oceti Sakowin Camp. We’d like to know if the same is planned for Keystone XL.
#KeystoneXL
https://t.co/hJHv5i71sN https://t.co/9lFDXMiz6a",Hootsuite Inc.,255,NA,NA,NA,FALSE,FALSE,0,0,KeystoneXL,NA,ow.ly/9Q8W30lKjPu,https://t.co/hJHv5i71sN,http://ow.ly/9Q8W30lKjPu,http://pbs.twimg.com/media/DmwhYZvV4AA19nl.jpg,https://t.co/9lFDXMiz6a,https://twitter.com/SUindependent/status/1039242319134904321/photo/1,photo,http://pbs.twimg.com/media/DmwhYZvV4AA19nl.jpg,https://t.co/9lFDXMiz6a,https://twitter.com/SUindependent/status/1039242319134904321/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/SUindependent/status/1039242319134904321,The Independent,"St. George, Utah","St. George & Southern Utah News, Culture, Opinions, Politics, & Coupons. Published in print the 1st Friday & online daily at https://t.co/7g67l2nZov FOLLOW!",https://t.co/7g67l2nZov,FALSE,1534,1981,130,11232,152,2011-02-09T17:54:01Z,FALSE,https://t.co/7g67l2nZov,http://SUindependent.com,en,https://pbs.twimg.com/profile_banners/249744932/1536591911,http://abs.twimg.com/images/themes/theme14/bg.gif,http://pbs.twimg.com/profile_images/459736655084015616/SowcvA_G_normal.png
x151291412,x1039237088573640704,2018-09-10T19:40:04Z,BoldNebraska,. @Channel8ABC: Tailgate aims to prevent #KeystoneXL pipeline: https://t.co/C4dya4DwCw #NoKXL #FlipThePSC #VoteYoakum #huskers @janekleeb https://t.co/l1Y7YebWLB,Hootsuite Inc.,137,NA,NA,NA,FALSE,FALSE,4,2,KeystoneXL NoKXL FlipThePSC VoteYoakum huskers,NA,klkntv.com/story/39053496…,https://t.co/C4dya4DwCw,http://klkntv.com/story/39053496/tailgate-aims-to-prevent-keystone-xl-pipeline,http://pbs.twimg.com/media/Dmwcn3KW4AEx3eF.jpg,https://t.co/l1Y7YebWLB,https://twitter.com/BoldNebraska/status/1039237088573640704/photo/1,photo,http://pbs.twimg.com/media/Dmwcn3KW4AEx3eF.jpg http://pbs.twimg.com/media/Dmwcn4kW4AEqtYS.jpg,https://t.co/l1Y7YebWLB https://t.co/l1Y7YebWLB,https://twitter.com/BoldNebraska/status/1039237088573640704/photo/1 https://twitter.com/BoldNebraska/status/1039237088573640704/photo/1,NA,x34664420 x14275426,Channel8ABC janekleeb,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/BoldNebraska/status/1039237088573640704,Bold Nebraska,The Great State of Nebraska,"We are progressive, independent, moderate, populist & everything in between. We are Bold Nebraska--people creating change online & on the ground. #NoKXL",http://t.co/1YQQQzkfRa,FALSE,8649,2303,304,10074,845,2010-06-03T02:18:30Z,TRUE,http://t.co/1YQQQzkfRa,http://www.boldnebraska.org,en,https://pbs.twimg.com/profile_banners/151291412/1515077767,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/783021680453046272/1fnZZYrH_normal.jpg
x151291412,x1038468818346160129,2018-09-08T16:47:14Z,BoldNebraska,Use the force... of your vote to stop #KeystoneXL on Election Day! #VoteYoakum for Public Service Commissioner: https://t.co/ieE4qCqWQD #FlipThePSC #nokxl #huskers #gbr #starwars #lnk https://t.co/it6fphRqvB,Hootsuite Inc.,183,NA,NA,NA,FALSE,FALSE,6,6,KeystoneXL VoteYoakum FlipThePSC nokxl huskers gbr starwars lnk,NA,boldnebraska.org/flipthepsc-one…,https://t.co/ieE4qCqWQD,http://boldnebraska.org/flipthepsc-one-election-can-stop-the-keystone-xl-pipeline/,http://pbs.twimg.com/media/Dmlh4tkX4AUEr3U.jpg,https://t.co/it6fphRqvB,https://twitter.com/BoldNebraska/status/1038468818346160129/photo/1,photo,http://pbs.twimg.com/media/Dmlh4tkX4AUEr3U.jpg,https://t.co/it6fphRqvB,https://twitter.com/BoldNebraska/status/1038468818346160129/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/BoldNebraska/status/1038468818346160129,Bold Nebraska,The Great State of Nebraska,"We are progressive, independent, moderate, populist & everything in between. We are Bold Nebraska--people creating change online & on the ground. #NoKXL",http://t.co/1YQQQzkfRa,FALSE,8649,2303,304,10074,845,2010-06-03T02:18:30Z,TRUE,http://t.co/1YQQQzkfRa,http://www.boldnebraska.org,en,https://pbs.twimg.com/profile_banners/151291412/1515077767,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/783021680453046272/1fnZZYrH_normal.jpg
x151291412,x1038072809984016384,2018-09-07T14:33:39Z,BoldNebraska,SATURDAY: Join us at the #Huskers game to let Lincoln-area voters know they can stop #KeystoneXL and #FlipThePSC on Election Day: https://t.co/JxdgdxV3uG #NoKXL #neleg #FlipThePSC #ActOnClimate @janekleeb https://t.co/e6ApDMbNr0,Hootsuite Inc.,204,NA,NA,NA,FALSE,FALSE,8,7,Huskers KeystoneXL FlipThePSC NoKXL neleg FlipThePSC ActOnClimate,NA,actionnetwork.org/events/nokxl-f…,https://t.co/JxdgdxV3uG,http://actionnetwork.org/events/nokxl-flipthepsc-at-the-huskers-game,http://pbs.twimg.com/media/Dmf5uBlW0AUgonX.jpg,https://t.co/e6ApDMbNr0,https://twitter.com/BoldNebraska/status/1038072809984016384/photo/1,photo,http://pbs.twimg.com/media/Dmf5uBlW0AUgonX.jpg,https://t.co/e6ApDMbNr0,https://twitter.com/BoldNebraska/status/1038072809984016384/photo/1,NA,x14275426,janekleeb,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/BoldNebraska/status/1038072809984016384,Bold Nebraska,The Great State of Nebraska,"We are progressive, independent, moderate, populist & everything in between. We are Bold Nebraska--people creating change online & on the ground. #NoKXL",http://t.co/1YQQQzkfRa,FALSE,8649,2303,304,10074,845,2010-06-03T02:18:30Z,TRUE,http://t.co/1YQQQzkfRa,http://www.boldnebraska.org,en,https://pbs.twimg.com/profile_banners/151291412/1515077767,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/783021680453046272/1fnZZYrH_normal.jpg
x151291412,x1038434187034992640,2018-09-08T14:29:38Z,BoldNebraska,"We’re at Brewsky’s in Haymarket! Come get a #GoBigRed + #NoKXL finger! Tag your pics #huskers and #nokxl!

We can #FlipThePSC and stop #KeystoneXL on Election Day by electing Christa Yoakum for Public Service Commission!
#gbr #ActOnClimate @janekleeb https://t.co/ag6fALnqxi",Hootsuite Inc.,250,NA,NA,NA,FALSE,FALSE,17,5,GoBigRed NoKXL huskers nokxl FlipThePSC KeystoneXL gbr ActOnClimate,NA,NA,NA,NA,http://pbs.twimg.com/media/DmlCY3CX4AAydGC.jpg,https://t.co/ag6fALnqxi,https://twitter.com/BoldNebraska/status/1038434187034992640/photo/1,photo,http://pbs.twimg.com/media/DmlCY3CX4AAydGC.jpg,https://t.co/ag6fALnqxi,https://twitter.com/BoldNebraska/status/1038434187034992640/photo/1,NA,x14275426,janekleeb,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/BoldNebraska/status/1038434187034992640,Bold Nebraska,The Great State of Nebraska,"We are progressive, independent, moderate, populist & everything in between. We are Bold Nebraska--people creating change online & on the ground. #NoKXL",http://t.co/1YQQQzkfRa,FALSE,8649,2303,304,10074,845,2010-06-03T02:18:30Z,TRUE,http://t.co/1YQQQzkfRa,http://www.boldnebraska.org,en,https://pbs.twimg.com/profile_banners/151291412/1515077767,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/783021680453046272/1fnZZYrH_normal.jpg
x151291412,x1037030663948525568,2018-09-04T17:32:32Z,BoldNebraska,"FRIDAY OCT. 12 @indigobridge in Lincoln: https://t.co/27DyEhybwC Come hear @BoldNebraska's @janekleeb talk politics + #KeystoneXL pipeline at book party for release of @ddguttenplan's ""The Next Republic."" #NoKXL #UNL #LNK @thenation https://t.co/haSQbSVDQm",Hootsuite Inc.,232,NA,NA,NA,FALSE,FALSE,12,9,KeystoneXL NoKXL UNL LNK,NA,facebook.com/events/1070728…,https://t.co/27DyEhybwC,http://facebook.com/events/1070728333091818,http://pbs.twimg.com/media/DmRF5JUUYAA5u2Q.jpg,https://t.co/haSQbSVDQm,https://twitter.com/BoldNebraska/status/1037030663948525568/photo/1,photo,http://pbs.twimg.com/media/DmRF5JUUYAA5u2Q.jpg,https://t.co/haSQbSVDQm,https://twitter.com/BoldNebraska/status/1037030663948525568/photo/1,NA,x54241405 x151291412 x14275426 x138466252 x1947301,indigobridge BoldNebraska janekleeb ddguttenplan thenation,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/BoldNebraska/status/1037030663948525568,Bold Nebraska,The Great State of Nebraska,"We are progressive, independent, moderate, populist & everything in between. We are Bold Nebraska--people creating change online & on the ground. #NoKXL",http://t.co/1YQQQzkfRa,FALSE,8649,2303,304,10074,845,2010-06-03T02:18:30Z,TRUE,http://t.co/1YQQQzkfRa,http://www.boldnebraska.org,en,https://pbs.twimg.com/profile_banners/151291412/1515077767,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/783021680453046272/1fnZZYrH_normal.jpg
