LMS - INT03,"April 07, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,40526
Liability Run Date:,"April 07, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.74"
Number of Licensees at or over Industry Threshold:,"427"
Number of Licensees below Industry Threshold:,"326"
Total Number of Licensees Evaluated:,"753"
Total Number of Licences/Approvals Evaluated:,"347,768"
Total Deemed Assets:,"$143,586,869,594.62"
Total Deemed Liabilities:,"$30,306,279,216.93"
Total Estimated Liabilities:,"$31,022,112,869.93"
Total LMR Security Held:,"$195,445,781.94"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"228","2,919","$196,690.00","$207,421,419.52","0.00"
0.01 - 0.49,"40","1,349","$25,016,040.48","$134,067,619.09","0.19"
0.50 - 0.99,"58","6,175","$394,476,162.42","$476,996,736.30","0.83"
1.00 - 1.49,"140","56,152","$4,833,049,876.35","$3,754,419,884.18","1.29"
1.50 - 1.99,"55","51,556","$7,312,979,794.98","$4,161,937,925.83","1.76"
2.00 - 2.99,"65","64,860","$12,690,063,325.54","$5,384,269,710.09","2.36"
3.00 - 3.99,"32","94,643","$24,453,789,995.59","$7,960,485,409.83","3.07"
4.00 - 4.99,"22","21,273","$10,630,876,526.16","$2,361,991,427.96","4.50"
5.00 - 5.99,"25","6,205","$3,107,240,944.58","$561,978,077.34","5.53"
6.00 - 6.99,"16","4,517","$4,369,371,649.01","$660,573,146.90","6.61"
7.00 - 7.99,"14","3,398","$3,809,628,370.85","$518,168,463.33","7.35"
8.00 - 8.99,"7","2,644","$2,090,755,387.86","$248,511,782.00","8.41"
9.00 - 9.99,"3","7,318","$6,959,275,349.11","$751,826,481.75","9.26"
10.00 or >  ,"48","24,759","$62,910,149,481.69","$3,123,631,132.81","20.14"
Liability Management Rating (LMR) Results 
Licensee Name,Security On Hand,Security Adjusted LMR
"1170778 Alberta Ltd.  (A1ET)",*,"0.60"
"1195714 Alberta Ltd.  (A1R7)",,"18.34"
"1288131 Alberta Ltd.  (A57K)",,"3.16"
"1316751 Alberta Ltd.  (A2Y3)",,"0.00"
"1343358 Alberta Ltd.  (A2TB)",,"1.00"
"1367290 Alberta Ltd.  (A5F8)",,"1.00"
"1435008 Alberta Ltd.  (A7G3)",*,"1.00"
"1506928 Alberta Ltd.  (A5WK)",,"2.79"
"1509178 Alberta Ltd.  (A5XP)",*,"1.28"
"1822916 Alberta Ltd.  (A6X3)",,"0.74"
"1852797 Alberta ULC  (A73D)",*,"9.57"
"1885712 Alberta Ltd.  (A76B)",*,"1.00"
"1977715 Alberta Ltd.  (A7EF)",*,"1.00"
"258912 Alberta Ltd.  (0DG1)",*,"1.30"
"410577 Alberta Limited  (0NB3)",*,"1.00"
"439 Oil Corp.  (A098)",*,"1.00"
"538080 Alberta Corporation  (A07P)",*,"1.51"
"545279 Alberta Limited  (0PT6)",*,"1.00"
"611890 Alberta Inc.  (A5EF)",,"7.87"
"840586 Alberta Ltd.  (0D6B)",,"0.98"
"935821 Alberta Ltd.  (A2YM)",*,"0.92"
"97837 Resources Ltd.  (0W01)",*,"1.03"
"979968 Alberta Ltd.  (A6N9)",*,"2.07"
"Accel Canada Holdings Limited  (A7ND)",,"1.31"
"ACCEL Energy Canada Limited  (A7GH)",,"1.28"
"Accurate Energy Solutions Ltd.  (A6NC)",*,"0.65"
"Acquisition Oil Corp.  (A7N3)",,"1.01"
"Adanac Oil & Gas Limited  (0FC1)",*,"1.23"
"ADM Agri-Industries Company  (A06P)",*,"1.00"
"Advance Drilling Ltd.  (0XG3)",,"38.52"
"Advantage Oil & Gas Ltd.  (0TD9)",,"26.20"
"Aeneid Exploration Inc.  (A79H)",,"3.76"
"Aeraden Energy Corp.  (A79A)",,"1.12"
"Agrium Inc.  (0GX2)",,"0.00"
"Alberta Petroleum Energy Limited  (0WZ4)",*,"1.00"
"Alexander Oilfield Services Ltd.  (0MK6)",*,"1.23"
"AltaGas Ltd.  (A0TK)",*,"2.76"
"AltaGas Utilities Inc.  (0190)",*,"1.00"
"Altima Resources Ltd.  (A669)",,"4.47"
"Altura Energy Inc.  (A54P)",,"8.15"
"Amethyst Petroleums Ltd.  (0HF7)",*,"1.32"
"Andora Energy Corporation  (A14L)",*,"1.00"
"Andrich Resources Ltd.  (0P92)",,"2.60"
"Anegada Oil Corp.  (A789)",*,"6.84"
"Anhydride Oil Corporation  (0PY5)",*,"0.53"
