LMS - INT03,"December 02, 2017"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,39468
Liability Run Date:,"December 02, 2017"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.63"
Number of Licensees at or over Industry Threshold:,"430"
Number of Licensees below Industry Threshold:,"324"
Total Number of Licensees Evaluated:,"754"
Total Number of Licences/Approvals Evaluated:,"347,701"
Total Deemed Assets:,"$140,733,428,524.83"
Total Deemed Liabilities:,"$30,365,079,464.73"
Total Estimated Liabilities:,"$31,073,652,404.73"
Total LMR Security Held:,"$238,569,511.52"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"227","1,368","$0.00","$82,585,600.52","0.00"
0.01 - 0.49,"38","3,090","$32,585,702.62","$263,248,590.50","0.12"
0.50 - 0.99,"59","3,878","$259,658,325.61","$352,194,631.72","0.74"
1.00 - 1.49,"136","33,515","$3,041,566,601.41","$2,469,019,094.68","1.23"
1.50 - 1.99,"49","67,789","$9,370,975,485.57","$5,049,350,955.76","1.86"
2.00 - 2.99,"81","72,582","$13,980,260,935.83","$6,109,350,459.64","2.29"
3.00 - 3.99,"41","109,787","$30,203,658,681.68","$9,196,164,701.62","3.28"
4.00 - 4.99,"28","12,456","$6,732,012,416.87","$1,571,124,293.39","4.28"
5.00 - 5.99,"17","5,267","$2,397,199,792.69","$440,339,217.76","5.44"
6.00 - 6.99,"20","3,607","$5,113,494,207.35","$776,403,016.89","6.59"
7.00 - 7.99,"8","2,375","$1,658,546,442.18","$221,239,074.87","7.50"
8.00 - 8.99,"6","366","$428,673,051.33","$50,855,611.00","8.43"
9.00 - 9.99,"5","7,698","$8,823,256,426.04","$918,859,216.23","9.60"
10.00 or >  ,"39","23,923","$58,691,540,455.65","$2,864,345,000.15","20.49"
Liability Management Rating (LMR) Results 
Licensee Name,Security On Hand,Security Adjusted LMR
"1170778 Alberta Ltd.  (A1ET)",*,"0.52"
"1195714 Alberta Ltd.  (A1R7)",,"18.23"
"1288131 Alberta Ltd.  (A57K)",,"3.50"
"1316751 Alberta Ltd.  (A2Y3)",,"0.00"
"1343358 Alberta Ltd.  (A2TB)",,"1.00"
"1367290 Alberta Ltd.  (A5F8)",,"1.00"
"1435008 Alberta Ltd.  (A7G3)",*,"1.00"
"1506928 Alberta Ltd.  (A5WK)",,"3.76"
"1509178 Alberta Ltd.  (A5XP)",*,"1.14"
"1822916 Alberta Ltd.  (A6X3)",,"1.27"
"1852797 Alberta ULC  (A73D)",*,"1.00"
"1885712 Alberta Ltd.  (A76B)",*,"1.00"
"1977715 Alberta Ltd.  (A7EF)",*,"1.00"
"258912 Alberta Ltd.  (0DG1)",*,"1.30"
"391138 Alberta Ltd.  (0PE6)",,"2.48"
"410577 Alberta Limited  (0NB3)",*,"1.00"
"439 Oil Corp.  (A098)",*,"1.00"
"538080 Alberta Corporation  (A07P)",*,"1.51"
"545279 Alberta Limited  (0PT6)",*,"1.00"
"611890 Alberta Inc.  (A5EF)",,"5.77"
"840586 Alberta Ltd.  (0D6B)",,"1.74"
"935821 Alberta Ltd.  (A2YM)",*,"1.01"
"97837 Resources Ltd.  (0W01)",*,"0.89"
"979968 Alberta Ltd.  (A6N9)",*,"2.07"
"ACCEL Energy Canada Limited  (A7GH)",,"2.53"
"Accurate Energy Solutions Ltd.  (A6NC)",*,"0.65"
"Adanac Oil & Gas Limited  (0FC1)",*,"1.31"
"ADM Agri-Industries Company  (A06P)",*,"1.00"
"Advance Drilling Ltd.  (0XG3)",,"1.00"
"Advantage Oil & Gas Ltd.  (0TD9)",,"26.16"
"Aeneid Exploration Inc.  (A79H)",,"4.37"
"Aeraden Energy Corp.  (A79A)",,"1.23"
"Agrium Inc.  (0GX2)",,"0.00"
"Alberta Petroleum Energy Limited  (0WZ4)",,"1.61"
"Alexander Oilfield Services Ltd.  (0MK6)",*,"1.12"
"Allstar Energy Limited  (0B1F)",*,"1.00"
"AltaGas Ltd.  (A0TK)",*,"3.94"
"AltaGas Utilities Inc.  (0190)",*,"1.00"
"Altima Resources Ltd.  (A669)",,"4.69"
"Altura Energy Inc.  (A54P)",,"8.06"
"Amethyst Petroleums Ltd.  (0HF7)",*,"1.32"
"Andora Energy Corporation  (A14L)",*,"1.00"
"Andrich Resources Ltd.  (0P92)",,"2.68"
"Anegada Oil Corp.  (A789)",*,"3.53"
"Anhydride Oil Corporation  (0PY5)",*,"0.53"
"Annex Petroleum Inc.  (A1EJ)",,"0.00"
"Anterra Energy Inc.  (A2LN)",*,"0.55"
"AOC (ELE) Corp.  (A5PJ)",,"1.00"
"APL Oil & Gas (1998) Ltd.  (0XN6)",,"1.41"
"Aqua Terra Water Management Inc.  (0M7P)",*,"1.19"
"ARC Resources Ltd.  (0G30)",,"2.04"
"Area 2 Energy Ltd.  (A79G)",,"1.00"
"Arrandale Resources Ltd.  (0JC7)",*,"1.00"
"Arrow Point Oil & Gas Ltd.  (A5BL)",,"0.72"
"Artis Exploration Ltd.  (A77W)",,"12.67"
"Ascensun Oil And Gas Ltd.  (A6MY)",*,"0.99"
"Ashanti Gold Corp.  (A0WE)",*,"0.80"
"Aspenleaf Energy Limited  (A74X)",,"7.12"
"ATCO Energy Solutions Ltd.  (0Z2W)",*,"1.47"
"ATCO Gas And Pipelines Ltd.  (0144)",*,"1.81"
"Athabasca Oil Corporation  (A28L)",,"16.72"
"Avalon Energy Ltd.  (0KX6)",,"1.31"
"Axiom Oil and Gas Inc.  (A71K)",,"1.31"
"Baccalieu Energy Inc.  (A73C)",,"6.65"
"Baker Hughes Canada Company  (A5MN)",*,"1.00"
"Band Energy Resources Ltd.  (A07M)",,"3.14"
"Barcomp Petroleum Ltd.  (0LM7)",,"1.96"
"Barnwell of Canada, Limited  (0J66)",,"1.15"
"Bashaw Oil Corp.  (A6Y8)",*,"0.99"
"Bay Trail Resources Ltd.  (A5NZ)",,"5.37"
"Baytex Energy Ltd.  (0RL9)",,"3.48"
"BDJ Energy Inc.  (A611)",,"23.00"
"Bear Hills Industries Ltd.  (0MM5)",,"1.70"
"Bearspaw Petroleum Ltd.  (0NL1)",,"1.48"
"Beatton Energy Inc.  (A4XG)",*,"1.29"
"Beaver Lake Resources Corporation  (0RW4)",*,"1.15"
"Bek Holdings Ltd.  (A52W)",,"1.00"
"Bellatrix Exploration Ltd.  (A5E0)",,"10.73"
"Benjaka Exploration Inc.  (A1C3)",*,"0.91"
"Bering Exploration Company, ULC  (A2XA)",,"6.87"
"Bernum Petroleum Ltd.  (A5D6)",,"2.05"
"Berry Creek Resources Inc.  (0PH1)",*,"1.01"
"Big Lake Energy Ltd.  (A67Z)",*,"1.00"
"Birchcliff Energy Ltd.  (A12R)",,"16.48"
"Birchill Canada Corp.  (A6WF)",,"3.81"
"Birchwood Resources Inc.  (A5YL)",*,"1.00"
"Black Bear Management Corp.  (0LJ6)",,"1.00"
"Black Crane Energy Corp.  (A7HL)",,"1.00"
"Black Diamond Energy Corporation  (A0NE)",*,"1.00"
"Black Seal Resources Corp.  (A31H)",,"1.00"
"Blackbird Energy Inc.  (A698)",,"6.48"
"Blackhawk Resource Operating Corp.  (A5CT)",*,"1.20"
"Blackpearl Resources Inc.  (A5GE)",,"3.98"
"Blackshale Resources Inc.  (A6FP)",*,"1.00"
"Blackspur Oil Corp.  (A6F7)",,"4.40"
"Blaze Energy Ltd.  (0TX1)",*,"1.04"
"Blendforce Energy Services Inc.  (A2KX)",*,"1.07"
"Blue Springs Energy Ltd.  (0NT2)",,"1.55"
"Blue Star Energy Inc.  (A774)",*,"2.68"
"Bluestone Resources Inc.  (0WC3)",,"0.00"
"BLZ Energy Ltd.  (A30X)",,"0.04"
"Bonavista Energy Corporation  (A5RX)",,"4.10"
"Bonterra Energy Corp.  (0XZ4)",,"2.04"
"Border Petroleum Limited  (A562)",*,"0.59"
"Boulder Energy Ltd.  (A73X)",,"4.14"
"Bounty Developments Ltd.  (0HP8)",*,"1.38"
"Bow River Energy Ltd.  (A6N8)",,"1.26"
"BP Canada Energy Group ULC  (A62D)",*,"2.00"
"Brahma Resources Ltd.  (A31A)",,"1.01"
"Brand S Resources Ltd.  (0PM4)",*,"1.00"
"Bridgeoil Corporation  (A6AW)",*,"0.85"
"Broadview Energy Ltd.  (A5TA)",,"6.97"
"Bruce Developments Limited  (0EM5)",,"0.00"
"Bruderheim Energy Terminal Ltd.  (A76J)",*,"1.00"
"BRW Petroleum Corp.  (A6E9)",*,"2.75"
"Butte Energy Inc.  (A61Z)",,"1.55"
"C Group Energy Inc.  (A6YN)",,"2.09"
"Cabot Energy Inc.  (A5HR)",,"1.07"
"Cadotte Disposal Services Ltd.  (A7K9)",*,"1.80"
"Caiterra International Energy Corporation  (A6AX)",*,"0.94"
"Cal-Ranch Resources Inc.  (0XG6)",*,"1.00"
"Caledonian Royalty Corporation  (A684)",,"1.34"
"Calgary Crude Oil Limited  (0J61)",*,"4.83"
"Calmark Resources Ltd.  (0NR4)",*,"1.06"
"Caltex Resources Ltd.  (A60R)",,"5.18"
"Canada Northwest Energy Limited  (0L99)",*,"1.20"
"Canadian Coastal Resources Ltd.  (0PD1)",,"1.00"
"Canadian Energy Services & Technology Corp.  (A7C1)",,"5.75"
