LMS - INT03,"January 06, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,40036
Liability Run Date:,"January 06, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.64"
Number of Licensees at or over Industry Threshold:,"432"
Number of Licensees below Industry Threshold:,"323"
Total Number of Licensees Evaluated:,"755"
Total Number of Licences/Approvals Evaluated:,"348,047"
Total Deemed Assets:,"$141,381,918,777.40"
Total Deemed Liabilities:,"$30,503,041,321.25"
Total Estimated Liabilities:,"$31,237,474,662.25"
Total LMR Security Held:,"$226,869,889.03"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"226","1,352","$0.00","$81,819,603.52","0.00"
0.01 - 0.49,"37","3,277","$31,309,832.85","$281,897,668.00","0.11"
0.50 - 0.99,"60","7,291","$478,100,603.07","$566,341,013.22","0.84"
1.00 - 1.49,"142","36,639","$3,905,542,686.67","$3,016,769,639.75","1.29"
1.50 - 1.99,"51","75,314","$10,987,129,261.04","$5,921,436,005.96","1.86"
2.00 - 2.99,"73","62,865","$11,181,622,297.83","$4,839,384,163.62","2.31"
3.00 - 3.99,"37","92,046","$25,583,513,034.81","$7,995,370,182.42","3.20"
4.00 - 4.99,"29","24,989","$10,891,932,116.47","$2,428,636,279.61","4.48"
5.00 - 5.99,"18","5,144","$2,324,638,459.19","$429,211,489.95","5.42"
6.00 - 6.99,"14","3,760","$5,154,128,792.22","$778,324,320.95","6.62"
7.00 - 7.99,"18","2,906","$2,098,295,281.82","$285,156,545.87","7.36"
8.00 - 8.99,"4","273","$372,159,278.57","$44,272,865.00","8.41"
9.00 - 9.99,"4","7,982","$9,092,587,237.48","$942,194,013.23","9.65"
10.00 or >  ,"42","24,209","$59,280,959,895.38","$2,892,227,530.15","20.50"
Liability Management Rating (LMR) Results 
Licensee Name,Security On Hand,Security Adjusted LMR
"1170778 Alberta Ltd.  (A1ET)",*,"0.55"
"1195714 Alberta Ltd.  (A1R7)",,"18.28"
"1288131 Alberta Ltd.  (A57K)",,"3.46"
"1316751 Alberta Ltd.  (A2Y3)",,"0.00"
"1343358 Alberta Ltd.  (A2TB)",,"1.00"
"1367290 Alberta Ltd.  (A5F8)",,"1.00"
"1435008 Alberta Ltd.  (A7G3)",*,"1.00"
"1506928 Alberta Ltd.  (A5WK)",,"3.35"
"1509178 Alberta Ltd.  (A5XP)",*,"2.28"
"1822916 Alberta Ltd.  (A6X3)",,"1.03"
"1852797 Alberta ULC  (A73D)",*,"2.08"
"1885712 Alberta Ltd.  (A76B)",*,"1.00"
"1977715 Alberta Ltd.  (A7EF)",*,"1.00"
"258912 Alberta Ltd.  (0DG1)",*,"1.30"
"391138 Alberta Ltd.  (0PE6)",,"2.50"
"410577 Alberta Limited  (0NB3)",*,"1.50"
"439 Oil Corp.  (A098)",*,"1.00"
"538080 Alberta Corporation  (A07P)",*,"1.51"
"545279 Alberta Limited  (0PT6)",*,"1.02"
"611890 Alberta Inc.  (A5EF)",,"6.26"
"840586 Alberta Ltd.  (0D6B)",,"1.74"
"935821 Alberta Ltd.  (A2YM)",*,"0.98"
"97837 Resources Ltd.  (0W01)",*,"0.84"
"979968 Alberta Ltd.  (A6N9)",*,"2.09"
"ACCEL Energy Canada Limited  (A7GH)",,"1.34"
"Accurate Energy Solutions Ltd.  (A6NC)",*,"0.65"
"Adanac Oil & Gas Limited  (0FC1)",*,"1.30"
"ADM Agri-Industries Company  (A06P)",*,"1.00"
"Advance Drilling Ltd.  (0XG3)",,"1.00"
"Advantage Oil & Gas Ltd.  (0TD9)",,"26.23"
"Aeneid Exploration Inc.  (A79H)",,"4.20"
"Aeraden Energy Corp.  (A79A)",,"1.12"
"Agrium Inc.  (0GX2)",,"0.00"
"Alberta Petroleum Energy Limited  (0WZ4)",,"1.19"
"Alexander Oilfield Services Ltd.  (0MK6)",*,"1.12"
"Allstar Energy Limited  (0B1F)",*,"1.00"
"AltaGas Ltd.  (A0TK)",*,"3.95"
"AltaGas Utilities Inc.  (0190)",*,"1.00"
"Altima Resources Ltd.  (A669)",,"4.60"
"Altura Energy Inc.  (A54P)",,"7.82"
"Amethyst Petroleums Ltd.  (0HF7)",*,"1.32"
"Andora Energy Corporation  (A14L)",*,"1.00"
"Andrich Resources Ltd.  (0P92)",,"2.63"
"Anegada Oil Corp.  (A789)",*,"3.87"
"Anhydride Oil Corporation  (0PY5)",*,"0.53"
"Annex Petroleum Inc.  (A1EJ)",,"0.00"
"Anterra Energy Inc.  (A2LN)",*,"0.11"
"AOC (ELE) Corp.  (A5PJ)",,"1.00"
"APL Oil & Gas (1998) Ltd.  (0XN6)",,"1.40"
"Aqua Terra Water Management Inc.  (0M7P)",*,"1.19"
"ARC Resources Ltd.  (0G30)",,"2.05"
"Area 2 Energy Ltd.  (A79G)",,"0.98"
"Arrandale Resources Ltd.  (0JC7)",*,"1.00"
"Arrow Point Oil & Gas Ltd.  (A5BL)",,"0.72"
"Artis Exploration Ltd.  (A77W)",,"11.56"
"Ascensun Oil And Gas Ltd.  (A6MY)",*,"1.00"
"Ashanti Gold Corp.  (A0WE)",*,"0.80"
"Aspenleaf Energy Limited  (A74X)",,"7.14"
"ATCO Energy Solutions Ltd.  (0Z2W)",*,"1.47"
"ATCO Gas And Pipelines Ltd.  (0144)",*,"1.81"
"Athabasca Oil Corporation  (A28L)",,"17.00"
"Avalon Energy Ltd.  (0KX6)",,"1.29"
"Axiom Oil and Gas Inc.  (A71K)",,"1.28"
"Baccalieu Energy Inc.  (A73C)",,"6.62"
"Baker Hughes Canada Company  (A5MN)",*,"1.00"
"Band Energy Resources Ltd.  (A07M)",,"3.19"
"Barcomp Petroleum Ltd.  (0LM7)",,"1.95"
"Barnwell of Canada, Limited  (0J66)",,"1.15"
"Bashaw Oil Corp.  (A6Y8)",*,"0.98"
"Bay Trail Resources Ltd.  (A5NZ)",,"5.45"
"Baytex Energy Ltd.  (0RL9)",,"3.47"
"BDJ Energy Inc.  (A611)",,"22.85"
"Bear Hills Industries Ltd.  (0MM5)",,"1.58"
"Bearspaw Petroleum Ltd.  (0NL1)",,"1.48"
"Beatton Energy Inc.  (A4XG)",*,"1.67"
"Beaver Lake Resources Corporation  (0RW4)",*,"1.10"
"Bek Holdings Ltd.  (A52W)",,"1.00"
"Bellatrix Exploration Ltd.  (A5E0)",,"10.86"
"Benjaka Exploration Inc.  (A1C3)",*,"0.82"
"Bering Exploration Company, ULC  (A2XA)",,"6.99"
"Bernum Petroleum Ltd.  (A5D6)",,"2.04"
"Berry Creek Resources Inc.  (0PH1)",*,"1.01"
"Big Lake Energy Ltd.  (A67Z)",*,"1.11"
"Birchcliff Energy Ltd.  (A12R)",,"17.07"
"Birchill Canada Corp.  (A6WF)",,"3.79"
"Birchwood Resources Inc.  (A5YL)",*,"1.00"
"Black Bear Management Corp.  (0LJ6)",,"1.00"
"Black Crane Energy Corp.  (A7HL)",,"2.45"
"Black Diamond Energy Corporation  (A0NE)",*,"1.00"
"Black Seal Resources Corp.  (A31H)",,"1.00"
"Blackbird Energy Inc.  (A698)",,"7.56"
"Blackhawk Resource Operating Corp.  (A5CT)",*,"1.20"
"Blackpearl Resources Inc.  (A5GE)",,"3.99"
"Blackshale Resources Inc.  (A6FP)",*,"1.00"
"Blackspur Oil Corp.  (A6F7)",,"4.83"
"Blaze Energy Ltd.  (0TX1)",*,"1.04"
"Blendforce Energy Services Inc.  (A2KX)",*,"1.07"
"Blue Springs Energy Ltd.  (0NT2)",,"1.57"
"Blue Star Energy Inc.  (A774)",*,"2.62"
"Bluestone Resources Inc.  (0WC3)",,"0.00"
"BLZ Energy Ltd.  (A30X)",,"0.00"
"Bonavista Energy Corporation  (A5RX)",,"4.13"
"Bonterra Energy Corp.  (0XZ4)",,"2.05"
"Border Petroleum Limited  (A562)",*,"0.59"
"Boulder Energy Ltd.  (A73X)",,"4.24"
"Bounty Developments Ltd.  (0HP8)",*,"1.38"
"Bow River Energy Ltd.  (A6N8)",,"1.26"
"BP Canada Energy Group ULC  (A62D)",*,"2.00"
"Brahma Resources Ltd.  (A31A)",,"1.04"
"Brand S Resources Ltd.  (0PM4)",*,"1.00"
"Bridgeoil Corporation  (A6AW)",*,"1.00"
"Broadview Energy Ltd.  (A5TA)",,"7.05"
"Bruce Developments Limited  (0EM5)",,"0.00"
"Bruderheim Energy Terminal Ltd.  (A76J)",*,"1.00"
"BRW Petroleum Corp.  (A6E9)",*,"2.75"
"Butte Energy Inc.  (A61Z)",,"1.55"
"C Group Energy Inc.  (A6YN)",,"2.06"
"Cabot Energy Inc.  (A5HR)",,"1.17"
"Cadotte Disposal Services Ltd.  (A7K9)",*,"1.80"
"Caiterra International Energy Corporation  (A6AX)",*,"0.94"
"Cal-Ranch Resources Inc.  (0XG6)",*,"1.00"
"Caledonian Royalty Corporation  (A684)",,"1.27"
"Calgary Crude Oil Limited  (0J61)",*,"4.83"
"Calmark Resources Ltd.  (0NR4)",*,"1.03"
"Caltex Resources Ltd.  (A60R)",,"5.33"
"Canada Northwest Energy Limited  (0L99)",*,"1.20"
