LMS - INT03,"July 07, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,40868
Liability Run Date:,"July 07, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.81"
Number of Licensees at or over Industry Threshold:,"419"
Number of Licensees below Industry Threshold:,"327"
Total Number of Licensees Evaluated:,"746"
Total Number of Licences/Approvals Evaluated:,"346,958"
Total Deemed Assets:,"$145,808,645,841.85"
Total Deemed Liabilities:,"$30,287,272,768.67"
Total Estimated Liabilities:,"$30,966,747,653.67"
Total LMR Security Held:,"$199,221,561.23"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"222","2,948","$14,961.97","$214,166,360.27","0.00"
0.01 - 0.49,"39","1,098","$19,085,696.10","$105,593,577.33","0.18"
0.50 - 0.99,"66","12,785","$739,561,397.99","$847,492,745.82","0.87"
1.00 - 1.49,"133","50,230","$4,830,001,842.58","$3,688,348,836.00","1.31"
1.50 - 1.99,"57","61,968","$7,822,945,098.16","$4,359,749,673.34","1.79"
2.00 - 2.99,"61","51,820","$11,235,323,635.88","$4,722,979,178.82","2.38"
3.00 - 3.99,"27","95,335","$24,466,067,696.36","$8,015,694,596.83","3.05"
4.00 - 4.99,"25","20,611","$10,589,894,884.19","$2,327,798,991.42","4.55"
5.00 - 5.99,"20","5,671","$2,781,547,520.86","$508,104,269.94","5.47"
6.00 - 6.99,"15","4,023","$3,344,648,571.11","$504,022,729.09","6.64"
7.00 - 7.99,"16","4,403","$5,508,702,826.21","$729,196,391.29","7.55"
8.00 - 8.99,"11","10,812","$9,443,635,096.82","$1,093,831,463.00","8.63"
9.00 - 9.99,"5","136","$116,679,356.10","$11,875,942.75","9.82"
10.00 or >  ,"49","25,118","$64,910,537,257.52","$3,158,418,012.77","20.55"
Liability Management Rating (LMR) Results 
Licensee Name,Security On Hand,Security Adjusted LMR
"1170778 Alberta Ltd.  (A1ET)",*,"0.55"
"1195714 Alberta Ltd.  (A1R7)",,"18.26"
"1288131 Alberta Ltd.  (A57K)",,"2.95"
"1316751 Alberta Ltd.  (A2Y3)",,"0.00"
"1343358 Alberta Ltd.  (A2TB)",,"1.00"
"1367290 Alberta Ltd.  (A5F8)",,"1.00"
"1435008 Alberta Ltd.  (A7G3)",*,"1.00"
"1506928 Alberta Ltd.  (A5WK)",,"1.93"
"1509178 Alberta Ltd.  (A5XP)",*,"1.28"
"1822916 Alberta Ltd.  (A6X3)",,"0.96"
"1852797 Alberta ULC  (A73D)",*,"6.39"
"1885712 Alberta Ltd.  (A76B)",*,"1.00"
"1977715 Alberta Ltd.  (A7EF)",*,"1.00"
"258912 Alberta Ltd.  (0DG1)",*,"1.30"
"410577 Alberta Limited  (0NB3)",*,"1.00"
"439 Oil Corp.  (A098)",*,"1.00"
"538080 Alberta Corporation  (A07P)",*,"1.51"
"545279 Alberta Limited  (0PT6)",*,"1.00"
"611890 Alberta Inc.  (A5EF)",,"9.21"
"840586 Alberta Ltd.  (0D6B)",,"0.44"
"97837 Resources Ltd.  (0W01)",*,"1.24"
"979968 Alberta Ltd.  (A6N9)",*,"1.70"
"ACCEL Canada Holdings Limited  (A7ND)",,"1.23"
"ACCEL Energy Canada Limited  (A7GH)",,"1.23"
"Accurate Energy Solutions Ltd.  (A6NC)",*,"0.65"
"Acquisition Oil Corp.  (A7N3)",,"1.07"
"Adanac Oil & Gas Limited  (0FC1)",*,"1.19"
"ADM Agri-Industries Company  (A06P)",*,"1.00"
"Advance Drilling Ltd.  (0XG3)",,"28.07"
"Advantage Oil & Gas Ltd.  (0TD9)",,"24.97"
"Aeneid Exploration Inc.  (A79H)",,"3.46"
"Aeraden Energy Corp.  (A79A)",,"0.99"
"Agrium Inc.  (0GX2)",,"0.00"
"Alberta Petroleum Energy Limited  (0WZ4)",*,"1.11"
"Alexander Oilfield Services Ltd.  (0MK6)",*,"1.24"
"Alphabow Energy Ltd.  (A7H2)",,"1.30"
"AltaGas Ltd.  (A0TK)",*,"2.70"
"AltaGas Utilities Inc.  (0190)",*,"0.61"
"Altima Resources Ltd.  (A669)",,"4.78"
"Altura Energy Inc.  (A54P)",,"6.90"
"Amethyst Petroleums Ltd.  (0HF7)",*,"1.32"
"Andora Energy Corporation  (A14L)",*,"1.00"
"Andrich Resources Ltd.  (0P92)",,"2.59"
"Anegada Oil Corp.  (A789)",*,"9.95"
"Anhydride Oil Corporation  (0PY5)",*,"0.53"
"Annex Petroleum Inc.  (A1EJ)",,"0.00"
"AOC (ELE) Corp.  (A5PJ)",,"1.00"
"APL Oil & Gas (1998) Ltd.  (0XN6)",,"1.46"
"Aqua Terra Water Management Inc.  (0M7P)",,"1.06"
"ARC Resources Ltd.  (0G30)",,"2.11"
"Area 2 Energy Ltd.  (A79G)",,"0.87"
"Arrandale Resources Ltd.  (0JC7)",*,"1.00"
"Arrow Point Oil & Gas Ltd.  (A5BL)",,"0.66"
"Artis Exploration Ltd.  (A77W)",,"20.60"
"Ascensun Oil and Gas Ltd.  (A6MY)",*,"1.02"
"Ashanti Gold Corp.  (A0WE)",*,"0.80"
"Aspenleaf Energy Limited  (A74X)",,"7.08"
"ATCO Energy Solutions Ltd.  (0Z2W)",*,"2.01"
"ATCO Gas And Pipelines Ltd.  (0144)",*,"1.76"
"Athabasca Oil Corporation  (A28L)",,"17.96"
"Avalon Energy Ltd.  (0KX6)",,"1.19"
"Avila Exploration & Development Canada Ltd.  (A7NE)",,"0.50"
"Axiom Oil and Gas Inc.  (A71K)",,"1.18"
"Baccalieu Energy Inc.  (A73C)",,"6.68"
"Baker Hughes Canada Company  (A5MN)",*,"1.00"
"Band Energy Resources Ltd.  (A07M)",,"3.17"
"Barcomp Petroleum Ltd.  (0LM7)",,"1.98"
"Barnwell of Canada, Limited  (0J66)",,"1.26"
"Bashaw Oil Corp.  (A6Y8)",,"1.93"
"Bay Trail Resources Ltd.  (A5NZ)",,"4.57"
"Baytex Energy Ltd.  (0RL9)",,"3.36"
"BDJ Energy Inc.  (A611)",,"21.89"
"Bear Hills Industries Ltd.  (0MM5)",,"1.35"
"Bearspaw Petroleum Ltd.  (0NL1)",,"1.34"
"Beatton Energy Inc.  (A4XG)",*,"1.82"
