LMS - INT03,"June 02, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,40696
Liability Run Date:,"June 02, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.78"
Number of Licensees at or over Industry Threshold:,"423"
Number of Licensees below Industry Threshold:,"324"
Total Number of Licensees Evaluated:,"747"
Total Number of Licences/Approvals Evaluated:,"347,958"
Total Deemed Assets:,"$144,810,961,456.75"
Total Deemed Liabilities:,"$30,323,978,878.07"
Total Estimated Liabilities:,"$30,987,772,737.07"
Total LMR Security Held:,"$197,389,795.04"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"223","3,161","$17,280.52","$219,735,954.27","0.00"
0.01 - 0.49,"39","1,107","$19,673,965.30","$105,777,661.33","0.19"
0.50 - 0.99,"62","12,651","$769,434,923.44","$850,678,600.65","0.90"
1.00 - 1.49,"139","51,047","$4,627,448,990.25","$3,526,148,899.68","1.31"
1.50 - 1.99,"54","49,830","$6,993,419,247.31","$3,960,714,028.84","1.77"
2.00 - 2.99,"61","137,463","$30,135,262,373.98","$11,213,986,337.35","2.69"
3.00 - 3.99,"30","21,553","$6,808,956,710.47","$2,124,248,040.61","3.21"
4.00 - 4.99,"23","21,076","$10,718,173,120.75","$2,356,871,379.96","4.55"
5.00 - 5.99,"20","4,784","$2,431,396,839.01","$444,098,648.19","5.47"
6.00 - 6.99,"16","4,858","$3,747,011,082.72","$570,142,721.24","6.57"
7.00 - 7.99,"16","3,653","$4,994,695,034.55","$670,823,856.14","7.45"
8.00 - 8.99,"11","10,764","$9,507,341,394.90","$1,090,375,976.00","8.72"
9.00 - 9.99,"3","120","$103,366,742.59","$11,000,338.75","9.40"
10.00 or >  ,"50","25,891","$63,954,763,750.96","$3,179,376,435.06","20.12"
Liability Management Rating (LMR) Results 
Licensee Name,Security On Hand,Security Adjusted LMR
"1170778 Alberta Ltd.  (A1ET)",*,"0.58"
"1195714 Alberta Ltd.  (A1R7)",,"18.31"
"1288131 Alberta Ltd.  (A57K)",,"2.92"
"1316751 Alberta Ltd.  (A2Y3)",,"0.00"
"1343358 Alberta Ltd.  (A2TB)",,"1.00"
"1367290 Alberta Ltd.  (A5F8)",,"1.00"
"1435008 Alberta Ltd.  (A7G3)",*,"1.00"
"1506928 Alberta Ltd.  (A5WK)",,"2.36"
"1509178 Alberta Ltd.  (A5XP)",*,"1.28"
"1822916 Alberta Ltd.  (A6X3)",,"0.96"
"1852797 Alberta ULC  (A73D)",*,"6.36"
"1885712 Alberta Ltd.  (A76B)",*,"1.00"
"1977715 Alberta Ltd.  (A7EF)",*,"1.00"
"258912 Alberta Ltd.  (0DG1)",*,"1.30"
"410577 Alberta Limited  (0NB3)",*,"1.00"
"439 Oil Corp.  (A098)",*,"1.00"
"538080 Alberta Corporation  (A07P)",*,"1.51"
"545279 Alberta Limited  (0PT6)",*,"0.97"
"611890 Alberta Inc.  (A5EF)",,"8.63"
"840586 Alberta Ltd.  (0D6B)",,"0.68"
"97837 Resources Ltd.  (0W01)",*,"1.14"
"979968 Alberta Ltd.  (A6N9)",*,"1.74"
"ACCEL Canada Holdings Limited  (A7ND)",,"1.25"
"ACCEL Energy Canada Limited  (A7GH)",,"1.25"
"Accurate Energy Solutions Ltd.  (A6NC)",*,"0.65"
"Acquisition Oil Corp.  (A7N3)",,"0.99"
"Adanac Oil & Gas Limited  (0FC1)",*,"1.20"
"ADM Agri-Industries Company  (A06P)",*,"1.00"
"Advance Drilling Ltd.  (0XG3)",,"25.61"
"Advantage Oil & Gas Ltd.  (0TD9)",,"24.77"
"Aeneid Exploration Inc.  (A79H)",,"3.55"
"Aeraden Energy Corp.  (A79A)",,"1.03"
"Agrium Inc.  (0GX2)",,"0.00"
"Alberta Petroleum Energy Limited  (0WZ4)",*,"0.77"
"Alexander Oilfield Services Ltd.  (0MK6)",*,"1.25"
"AltaGas Ltd.  (A0TK)",*,"2.79"
"AltaGas Utilities Inc.  (0190)",*,"0.61"
"Altima Resources Ltd.  (A669)",,"4.50"
"Altura Energy Inc.  (A54P)",,"7.12"
"Amethyst Petroleums Ltd.  (0HF7)",*,"1.32"
"Andora Energy Corporation  (A14L)",*,"1.00"
"Andrich Resources Ltd.  (0P92)",,"2.58"
"Anegada Oil Corp.  (A789)",*,"9.28"
"Anhydride Oil Corporation  (0PY5)",*,"0.53"
"Annex Petroleum Inc.  (A1EJ)",,"0.00"
"AOC (ELE) Corp.  (A5PJ)",,"1.00"
"APL Oil & Gas (1998) Ltd.  (0XN6)",,"1.46"
"Aqua Terra Water Management Inc.  (0M7P)",,"1.04"
"ARC Resources Ltd.  (0G30)",,"2.11"
"Area 2 Energy Ltd.  (A79G)",,"0.89"
"Arrandale Resources Ltd.  (0JC7)",*,"1.00"
"Arrow Point Oil & Gas Ltd.  (A5BL)",,"0.68"
"Artis Exploration Ltd.  (A77W)",,"20.11"
"Ascensun Oil and Gas Ltd.  (A6MY)",*,"1.00"
"Ashanti Gold Corp.  (A0WE)",*,"0.80"
"Aspenleaf Energy Limited  (A74X)",,"6.88"
"ATCO Energy Solutions Ltd.  (0Z2W)",*,"1.98"
"ATCO Gas And Pipelines Ltd.  (0144)",*,"1.76"
"Athabasca Oil Corporation  (A28L)",,"18.17"
"Avalon Energy Ltd.  (0KX6)",,"1.23"
"Avila Exploration & Development Canada Ltd.  (A7NE)",,"0.68"
"Axiom Oil and Gas Inc.  (A71K)",,"1.20"
"Baccalieu Energy Inc.  (A73C)",,"6.66"
"Baker Hughes Canada Company  (A5MN)",*,"1.00"
"Band Energy Resources Ltd.  (A07M)",,"3.15"
"Barcomp Petroleum Ltd.  (0LM7)",,"1.95"
"Barnwell of Canada, Limited  (0J66)",,"1.29"
"Bashaw Oil Corp.  (A6Y8)",,"2.01"
"Bay Trail Resources Ltd.  (A5NZ)",,"5.14"
"Baytex Energy Ltd.  (0RL9)",,"3.35"
"BDJ Energy Inc.  (A611)",,"21.99"
"Bear Hills Industries Ltd.  (0MM5)",,"1.45"
"Bearspaw Petroleum Ltd.  (0NL1)",,"1.39"
"Beatton Energy Inc.  (A4XG)",*,"1.82"
"Beaver Lake Resources Corporation  (0RW4)",*,"1.19"
"Bek Holdings Ltd.  (A52W)",,"1.00"
"Bellatrix Exploration Ltd.  (A5E0)",,"10.75"
"Benjaka Exploration Inc.  (A1C3)",*,"0.45"
"Bering Exploration Company, ULC  (A2XA)",,"6.48"
"Bernum Petroleum Ltd.  (A5D6)",,"1.80"
"Berry Creek Resources Inc.  (0PH1)",*,"1.01"
"Birchcliff Energy Ltd.  (A12R)",,"18.95"
"Birchill Canada Corp.  (A6WF)",,"2.97"
"Birchwood Resources Inc.  (A5YL)",*,"1.00"
"Black Bear Management Corp.  (0LJ6)",,"1.00"
"Black Crane Energy Corp.  (A7HL)",,"2.13"
"Black Diamond Energy Corporation  (A0NE)",*,"1.00"
"Black Seal Resources Corp.  (A31H)",,"1.00"
"Blackbird Energy Inc.  (A698)",,"15.38"
"Blackhawk Resource Operating Corp.  (A5CT)",*,"1.20"
"Blackpearl Resources Inc.  (A5GE)",,"3.82"
"Blackshale Resources Inc.  (A6FP)",*,"1.00"
"Blackspur Oil Corp.  (A6F7)",,"6.51"
"Blaze Energy Ltd.  (0TX1)",*,"0.98"
"Blendforce Energy Services Inc.  (A2KX)",*,"1.07"
"Blue Springs Energy Ltd.  (0NT2)",,"1.56"
"Blue Star Energy Inc.  (A774)",*,"3.06"
"Bluestone Resources Inc.  (0WC3)",,"0.00"
"BLZ Energy Ltd.  (A30X)",,"0.00"
"Bonavista Energy Corporation  (A5RX)",,"4.20"
"Bonterra Energy Corp.  (0XZ4)",,"2.09"
"Border Petroleum Limited  (A562)",*,"0.54"
"Boulder Energy Ltd.  (A73X)",,"4.81"
"Bounty Developments Ltd.  (0HP8)",*,"1.38"
"Bow River Energy Ltd.  (A6N8)",,"1.31"
"BP Canada Energy Group ULC  (A62D)",*,"2.00"
"Brahma Resources Ltd.  (A31A)",,"0.85"
"Brand S Resources Ltd.  (0PM4)",*,"1.00"
"Bridgeoil Corporation  (A6AW)",*,"1.00"
"Broadview Energy Ltd.  (A5TA)",,"7.24"
"Bruce Developments Limited  (0EM5)",,"0.00"
"Bruderheim Energy Terminal Ltd.  (A76J)",*,"1.00"
"BRW Petroleum Corp.  (A6E9)",*,"1.00"
"Burlington Resources Canada (Hunter) Ltd.  (0N80)",,"0.00"
"Butte Energy Inc.  (A61Z)",*,"1.00"
"C Group Energy Inc.  (A6YN)",,"1.99"
"Cabot Energy Inc.  (A5HR)",,"1.77"
"Cadotte Disposal Services Ltd.  (A7K9)",*,"1.06"
"Caiterra International Energy Corporation  (A6AX)",*,"1.00"
"Cal-Ranch Resources Inc.  (0XG6)",*,"1.00"
"Caledonian Royalty Corporation  (A684)",,"0.99"
"Calgary Crude Oil Limited  (0J61)",*,"4.83"
"Calmark Resources Ltd.  (0NR4)",*,"0.96"
"Caltex Resources Ltd.  (A60R)",,"6.45"
"Canada Northwest Energy Limited  (0L99)",*,"1.20"
"Canadian Coastal Resources Ltd.  (0PD1)",,"1.00"
"Canadian Energy Services & Technology Corp.  (A7C1)",,"5.75"
"Canadian Imperial Venture Corp.  (A73J)",*,"1.00"
"Canadian Natural Resources Limited  (0HE9)",,"2.99"
"Canadian Natural Upgrading Limited  (A7K5)",,"4.06"
"Canadian-Montana Pipe Line Corporation  (0958)",*,"1.00"
"Canamax Energy Ltd.  (A6LB)",,"5.58"
"Cancen Oil Processors Inc.  (A214)",*,"1.43"
"Canden Resources Ltd.  (0MH8)",*,"1.00"
"Cangild Resources Ltd.  (0P42)",*,"1.00"
"Canlin Energy Corporation  (A7M1)",,"2.45"
"Cansearch Resources Ltd.  (0PW8)",,"1.81"
"Canstone Energy Ltd.  (A69G)",,"1.46"
"Canuck North Resources Ltd.  (A60G)",,"4.42"
"Canyon Oil & Gas Corporation  (0L3H)",,"1.32"
"Cardinal Energy Ltd.  (A6A7)",,"2.01"
"Carrick Petroleum Inc.  (A6AM)",,"7.17"
"Castlegate Energy Ltd.  (A7F3)",,"1.00"
"Catapult Environmental Inc.  (A73Y)",*,"117.12"
"Cec North Star Energy Ltd.  (A6FB)",*,"1.61"
"Cedar Creek Energy Ltd.  (A7E1)",*,"1.27"
"Cenovus Energy Inc.  (A5D4)",,"3.05"
"Cenovus FCCL Ltd.  (A2EZ)",,"32.45"
"Cenovus TL ULC  (A629)",*,"1.00"
"Centennial Petroleum Company Ltd.  (0DL9)",,"1.94"
"Cequence Energy Ltd.  (A1ME)",,"5.36"
"Cerno Resources Ltd.  (A7LC)",,"1.06"
"Certus Oil And Gas Inc.  (A7J4)",,"1.41"
"Challenger Development Corp.  (0CX7)",,"1.70"
"Changhua Energy Canada Ltd.  (A63L)",,"2.98"
"Check Energy Ltd.  (A6M0)",*,"8.75"
"Chemnor Industries Ltd  (0BR8)",*,"0.89"
"Chevron Canada Limited  (0045)",*,"15.30"
"Chinook Energy Inc.  (A5LF)",*,"1.13"
"Chronos Resources Ltd.  (A7LT)",,"1.00"
"Cinabar Enterprises Ltd.  (0W11)",,"0.00"
"City Of Medicine Hat  (0150)",,"0.99"
"Clampett Energy Ltd.  (A5J8)",*,"0.90"
"Clean Harbors Exploration Services, ULC  (0PH4)",,"0.00"
