LMS - INT03,"May 05, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,40584
Liability Run Date:,"May 05, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.76"
Number of Licensees at or over Industry Threshold:,"423"
Number of Licensees below Industry Threshold:,"319"
Total Number of Licensees Evaluated:,"742"
Total Number of Licences/Approvals Evaluated:,"346,502"
Total Deemed Assets:,"$143,891,096,652.98"
Total Deemed Liabilities:,"$30,240,328,673.07"
Total Estimated Liabilities:,"$30,924,051,030.07"
Total LMR Security Held:,"$197,059,244.57"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"222","2,949","$107,966.97","$211,985,200.52","0.00"
0.01 - 0.49,"40","1,123","$22,511,873.52","$111,580,766.09","0.20"
0.50 - 0.99,"57","8,371","$555,474,919.90","$609,538,364.78","0.91"
1.00 - 1.49,"141","55,024","$4,899,995,824.79","$3,743,324,878.29","1.31"
1.50 - 1.99,"53","49,346","$6,959,359,914.37","$3,929,903,502.34","1.77"
2.00 - 2.99,"61","64,344","$12,545,586,169.75","$5,340,890,098.13","2.35"
3.00 - 3.99,"32","95,490","$24,575,249,478.37","$8,044,305,688.83","3.05"
4.00 - 4.99,"24","20,871","$10,594,721,974.64","$2,344,159,814.96","4.52"
5.00 - 5.99,"19","4,940","$2,457,527,539.98","$449,107,284.19","5.47"
6.00 - 6.99,"18","5,046","$3,860,907,212.14","$594,777,010.99","6.49"
7.00 - 7.99,"15","3,453","$4,732,001,511.59","$648,301,375.39","7.30"
8.00 - 8.99,"8","10,521","$9,400,798,859.46","$1,071,881,023.00","8.77"
9.00 - 9.99,"1","72","$35,636,165.51","$3,661,317.00","9.73"
10.00 or >  ,"51","24,952","$63,251,217,241.99","$3,136,912,348.56","20.16"
Liability Management Rating (LMR) Results 
Licensee Name,Security On Hand,Security Adjusted LMR
"1170778 Alberta Ltd.  (A1ET)",*,"0.61"
"1195714 Alberta Ltd.  (A1R7)",,"18.33"
"1288131 Alberta Ltd.  (A57K)",,"3.01"
"1316751 Alberta Ltd.  (A2Y3)",,"0.00"
"1343358 Alberta Ltd.  (A2TB)",,"1.00"
"1367290 Alberta Ltd.  (A5F8)",,"1.00"
"1435008 Alberta Ltd.  (A7G3)",*,"1.00"
"1506928 Alberta Ltd.  (A5WK)",,"2.70"
"1509178 Alberta Ltd.  (A5XP)",*,"1.28"
"1822916 Alberta Ltd.  (A6X3)",,"0.71"
"1852797 Alberta ULC  (A73D)",*,"15.90"
"1885712 Alberta Ltd.  (A76B)",*,"1.00"
"1977715 Alberta Ltd.  (A7EF)",*,"1.00"
"258912 Alberta Ltd.  (0DG1)",*,"1.30"
"410577 Alberta Limited  (0NB3)",*,"1.00"
"439 Oil Corp.  (A098)",*,"1.00"
"538080 Alberta Corporation  (A07P)",*,"1.51"
"545279 Alberta Limited  (0PT6)",*,"0.99"
"611890 Alberta Inc.  (A5EF)",,"8.19"
"840586 Alberta Ltd.  (0D6B)",,"0.92"
"97837 Resources Ltd.  (0W01)",*,"1.14"
"979968 Alberta Ltd.  (A6N9)",*,"1.91"
"ACCEL Canada Holdings Limited  (A7ND)",,"1.28"
"ACCEL Energy Canada Limited  (A7GH)",,"1.26"
"Accurate Energy Solutions Ltd.  (A6NC)",*,"0.65"
"Acquisition Oil Corp.  (A7N3)",,"1.00"
"Adanac Oil & Gas Limited  (0FC1)",*,"1.21"
"ADM Agri-Industries Company  (A06P)",*,"1.00"
"Advance Drilling Ltd.  (0XG3)",,"22.87"
"Advantage Oil & Gas Ltd.  (0TD9)",,"25.84"
"Aeneid Exploration Inc.  (A79H)",,"3.62"
"Aeraden Energy Corp.  (A79A)",,"1.09"
"Agrium Inc.  (0GX2)",,"0.00"
"Alberta Petroleum Energy Limited  (0WZ4)",*,"0.78"
"Alexander Oilfield Services Ltd.  (0MK6)",*,"1.25"
"AltaGas Ltd.  (A0TK)",*,"2.77"
"AltaGas Utilities Inc.  (0190)",*,"1.00"
"Altima Resources Ltd.  (A669)",,"4.22"
"Altura Energy Inc.  (A54P)",,"7.16"
"Amethyst Petroleums Ltd.  (0HF7)",*,"1.32"
"Andora Energy Corporation  (A14L)",*,"1.00"
"Andrich Resources Ltd.  (0P92)",,"2.61"
"Anegada Oil Corp.  (A789)",*,"7.72"
"Anhydride Oil Corporation  (0PY5)",*,"0.53"
"Annex Petroleum Inc.  (A1EJ)",,"0.00"
"AOC (ELE) Corp.  (A5PJ)",,"1.00"
"APL Oil & Gas (1998) Ltd.  (0XN6)",,"1.49"
"Aqua Terra Water Management Inc.  (0M7P)",,"1.02"
"ARC Resources Ltd.  (0G30)",,"2.10"
"Area 2 Energy Ltd.  (A79G)",,"0.92"
"Arrandale Resources Ltd.  (0JC7)",*,"1.00"
"Arrow Point Oil & Gas Ltd.  (A5BL)",,"0.69"
"Artis Exploration Ltd.  (A77W)",,"18.38"
"Ascensun Oil and Gas Ltd.  (A6MY)",*,"1.00"
"Ashanti Gold Corp.  (A0WE)",*,"0.80"
"Aspenleaf Energy Limited  (A74X)",,"6.88"
"ATCO Energy Solutions Ltd.  (0Z2W)",*,"1.98"
"ATCO Gas And Pipelines Ltd.  (0144)",*,"1.76"
"Athabasca Oil Corporation  (A28L)",,"18.07"
"Avalon Energy Ltd.  (0KX6)",,"1.27"
"Axiom Oil and Gas Inc.  (A71K)",,"1.21"
"Baccalieu Energy Inc.  (A73C)",,"6.55"
"Baker Hughes Canada Company  (A5MN)",*,"1.00"
"Band Energy Resources Ltd.  (A07M)",,"3.16"
"Barcomp Petroleum Ltd.  (0LM7)",,"1.96"
"Barnwell of Canada, Limited  (0J66)",,"1.30"
"Bashaw Oil Corp.  (A6Y8)",,"2.05"
"Bay Trail Resources Ltd.  (A5NZ)",,"5.30"
"Baytex Energy Ltd.  (0RL9)",,"3.37"
"BDJ Energy Inc.  (A611)",,"22.00"
"Bear Hills Industries Ltd.  (0MM5)",,"1.42"
"Bearspaw Petroleum Ltd.  (0NL1)",,"1.44"
"Beatton Energy Inc.  (A4XG)",*,"1.82"
"Beaver Lake Resources Corporation  (0RW4)",*,"1.19"
"Bek Holdings Ltd.  (A52W)",,"1.00"
"Bellatrix Exploration Ltd.  (A5E0)",,"10.74"
"Benjaka Exploration Inc.  (A1C3)",*,"0.53"
"Bering Exploration Company, ULC  (A2XA)",,"6.37"
"Bernum Petroleum Ltd.  (A5D6)",,"1.82"
"Berry Creek Resources Inc.  (0PH1)",*,"1.01"
"Birchcliff Energy Ltd.  (A12R)",,"18.81"
"Birchill Canada Corp.  (A6WF)",,"2.25"
"Birchwood Resources Inc.  (A5YL)",*,"1.00"
"Black Bear Management Corp.  (0LJ6)",,"1.00"
"Black Crane Energy Corp.  (A7HL)",,"2.21"
"Black Diamond Energy Corporation  (A0NE)",*,"1.00"
"Black Seal Resources Corp.  (A31H)",,"1.00"
"Blackbird Energy Inc.  (A698)",,"13.93"
"Blackhawk Resource Operating Corp.  (A5CT)",*,"1.20"
"Blackpearl Resources Inc.  (A5GE)",,"3.94"
"Blackshale Resources Inc.  (A6FP)",*,"1.00"
"Blackspur Oil Corp.  (A6F7)",,"6.28"
"Blaze Energy Ltd.  (0TX1)",*,"0.99"
"Blendforce Energy Services Inc.  (A2KX)",*,"1.07"
"Blue Springs Energy Ltd.  (0NT2)",,"1.56"
"Blue Star Energy Inc.  (A774)",*,"2.93"
"Bluestone Resources Inc.  (0WC3)",,"0.00"
"BLZ Energy Ltd.  (A30X)",,"0.00"
"Bonavista Energy Corporation  (A5RX)",,"4.22"
"Bonterra Energy Corp.  (0XZ4)",,"2.08"
"Border Petroleum Limited  (A562)",*,"0.55"
"Boulder Energy Ltd.  (A73X)",,"4.67"
"Bounty Developments Ltd.  (0HP8)",*,"1.38"
"Bow River Energy Ltd.  (A6N8)",,"1.30"
"BP Canada Energy Group ULC  (A62D)",*,"2.00"
"Brahma Resources Ltd.  (A31A)",,"0.94"
"Brand S Resources Ltd.  (0PM4)",*,"1.00"
"Bridgeoil Corporation  (A6AW)",*,"1.00"
"Broadview Energy Ltd.  (A5TA)",,"6.78"
"Bruce Developments Limited  (0EM5)",,"0.00"
"Bruderheim Energy Terminal Ltd.  (A76J)",*,"1.00"
"BRW Petroleum Corp.  (A6E9)",*,"1.00"
"Butte Energy Inc.  (A61Z)",*,"1.00"
"C Group Energy Inc.  (A6YN)",,"2.00"
"Cabot Energy Inc.  (A5HR)",,"1.64"
"Cadotte Disposal Services Ltd.  (A7K9)",*,"1.06"
"Caiterra International Energy Corporation  (A6AX)",*,"0.94"
"Cal-Ranch Resources Inc.  (0XG6)",*,"1.00"
"Caledonian Royalty Corporation  (A684)",,"1.05"
"Calgary Crude Oil Limited  (0J61)",*,"4.83"
"Calmark Resources Ltd.  (0NR4)",*,"0.97"
"Caltex Resources Ltd.  (A60R)",,"6.24"
"Canada Northwest Energy Limited  (0L99)",*,"1.20"
"Canadian Coastal Resources Ltd.  (0PD1)",,"1.00"
"Canadian Energy Services & Technology Corp.  (A7C1)",,"5.75"
"Canadian Imperial Venture Corp.  (A73J)",*,"1.00"
"Canadian Natural Resources Limited  (0HE9)",,"3.00"
"Canadian Natural Upgrading Limited  (A7K5)",,"4.33"
"Canadian-Montana Pipe Line Corporation  (0958)",*,"1.00"
"Canamax Energy Ltd.  (A6LB)",,"5.32"
"Cancen Oil Processors Inc.  (A214)",*,"1.47"
"Canden Resources Ltd.  (0MH8)",*,"1.00"
"Cangild Resources Ltd.  (0P42)",*,"1.00"
"Canlin Energy Corporation  (A7M1)",,"2.46"
"Cansearch Resources Ltd.  (0PW8)",,"1.84"
"Canstone Energy Ltd.  (A69G)",,"1.47"
"Canuck North Resources Ltd.  (A60G)",,"3.94"
"Canyon Oil & Gas Corporation  (0L3H)",,"1.39"
"Cardinal Energy Ltd.  (A6A7)",,"2.03"
"Carrick Petroleum Inc.  (A6AM)",,"7.76"
"Catapult Environmental Inc.  (A73Y)",*,"1.00"
"Cec North Star Energy Ltd.  (A6FB)",*,"1.61"
"Cedar Creek Energy Ltd.  (A7E1)",*,"1.28"
"Cenovus Energy Inc.  (A5D4)",,"3.02"
"Cenovus FCCL Ltd.  (A2EZ)",,"32.39"
"Cenovus TL ULC  (A629)",*,"0.92"
"Centennial Petroleum Company Ltd.  (0DL9)",,"1.96"
"Cequence Energy Ltd.  (A1ME)",,"5.48"
"Cerno Resources Ltd.  (A7LC)",,"1.17"
"Certus Oil And Gas Inc.  (A7J4)",,"1.70"
"Challenger Development Corp.  (0CX7)",,"1.77"
"Changhua Energy Canada Ltd.  (A63L)",,"3.04"
"Check Energy Ltd.  (A6M0)",*,"27.44"
"Chemnor Industries Ltd  (0BR8)",*,"0.91"
"Chevron Canada Limited  (0045)",*,"16.05"
"Chinook Energy Inc.  (A5LF)",*,"1.14"
"Cinabar Enterprises Ltd.  (0W11)",,"0.00"
"City Of Medicine Hat  (0150)",,"1.00"
"Clampett Energy Ltd.  (A5J8)",*,"0.93"
"Clean Harbors Exploration Services, ULC  (0PH4)",,"0.00"
"Clean Harbors Industrial Services Canada, Inc.  (A619)",*,"1.67"
"Clearbrook Resources Inc.  (A5G9)",,"1.24"
"Clearview Resources Ltd.  (A5RA)",,"2.91"
"Cleo Energy Corp.  (A7BY)",,"1.12"
"CNOOC Canada Energy Ltd.  (A71M)",,"1.00"
"CNPC International (Canada) Ltd.  (0HZ2)",*,"1.01"
"Coalspur Mines (Operations) Ltd.  (A5M1)",,"1.00"
"Coastal Resources Limited  (0PR1)",,"1.04"
"Cold Creek Resources Ltd.  (A0AZ)",,"1.52"
"Cona Resources Ltd.  (A5K1)",*,"1.00"
"Concerto Resources Ltd.  (0LW8)",,"0.00"
"Condor Canada Petroleum Inc.  (A2E5)",*,"1.00"
"Connacher Oil And Gas Limited  (0A9H)",,"25.09"
"Connaught Oil & Gas Ltd.  (A5E2)",*,"1.00"
"ConocoPhillips Canada Operations ULC  (0XL9)",*,"1.66"
