LMS - INT03,"October 07, 2017"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,39177
Liability Run Date:,"October 07, 2017"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.58"
Number of Licensees at or over Industry Threshold:,"424"
Number of Licensees below Industry Threshold:,"334"
Total Number of Licensees Evaluated:,"758"
Total Number of Licences/Approvals Evaluated:,"347,046"
Total Deemed Assets:,"$138,740,197,514.27"
Total Deemed Liabilities:,"$30,301,930,009.60"
Total Estimated Liabilities:,"$30,986,396,295.60"
Total LMR Security Held:,"$265,726,614.66"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"235","1,465","$0.00","$91,282,886.27","0.00"
0.01 - 0.49,"34","2,717","$24,810,630.65","$239,894,139.00","0.10"
0.50 - 0.99,"65","4,925","$391,226,831.57","$514,049,425.91","0.76"
1.00 - 1.49,"125","28,548","$2,597,104,528.62","$2,079,634,182.20","1.25"
1.50 - 1.99,"55","41,505","$6,192,430,479.20","$3,552,775,908.97","1.74"
2.00 - 2.99,"80","107,418","$18,703,552,153.28","$8,077,248,441.13","2.32"
3.00 - 3.99,"46","108,760","$31,305,533,512.74","$9,560,496,464.78","3.27"
4.00 - 4.99,"27","9,701","$4,082,748,943.63","$932,800,208.12","4.38"
5.00 - 5.99,"14","4,076","$2,193,372,619.21","$410,795,541.15","5.34"
6.00 - 6.99,"19","4,306","$5,570,203,815.60","$861,364,920.19","6.47"
7.00 - 7.99,"9","1,947","$1,146,200,415.49","$151,756,750.00","7.55"
8.00 - 8.99,"3","559","$546,844,687.11","$64,103,837.00","8.53"
9.00 - 9.99,"7","7,467","$8,468,425,535.99","$902,048,669.23","9.39"
10.00 or >  ,"39","23,652","$57,517,743,361.18","$2,863,678,635.65","20.09"
Liability Management Rating (LMR) Results 
Licensee Name,Security On Hand,Security Adjusted LMR
"1170778 Alberta Ltd.  (A1ET)",*,"0.42"
"1195714 Alberta Ltd.  (A1R7)",,"18.28"
"1288131 Alberta Ltd.  (A57K)",,"3.47"
"1316751 Alberta Ltd.  (A2Y3)",,"0.00"
"1343358 Alberta Ltd.  (A2TB)",,"1.00"
"1354465 Alberta Ltd.  (A5G7)",*,"0.94"
"1367290 Alberta Ltd.  (A5F8)",,"1.00"
"1435008 Alberta Ltd.  (A7G3)",*,"1.00"
"1506928 Alberta Ltd.  (A5WK)",,"3.74"
"1509178 Alberta Ltd.  (A5XP)",*,"1.14"
"1822916 Alberta Ltd.  (A6X3)",,"2.30"
"1852797 Alberta ULC  (A73D)",*,"1.00"
"1885712 Alberta Ltd.  (A76B)",*,"1.00"
"1977715 Alberta Ltd.  (A7EF)",*,"1.00"
"258912 Alberta Ltd.  (0DG1)",*,"1.31"
"391138 Alberta Ltd.  (0PE6)",,"2.68"
"410577 Alberta Limited  (0NB3)",*,"1.00"
"439 Oil Corp.  (A098)",*,"1.00"
"538080 Alberta Corporation  (A07P)",*,"1.51"
"545279 Alberta Limited  (0PT6)",*,"1.03"
"611890 Alberta Inc.  (A5EF)",,"4.97"
"840586 Alberta Ltd.  (0D6B)",,"1.74"
"935821 Alberta Ltd.  (A2YM)",*,"1.04"
"97837 Resources Ltd.  (0W01)",*,"0.94"
"979968 Alberta Ltd.  (A6N9)",*,"2.33"
"ACCEL Energy Canada Limited  (A7GH)",,"2.57"
"Accurate Energy Solutions Ltd.  (A6NC)",*,"0.65"
"Adanac Oil & Gas Limited  (0FC1)",*,"1.24"
"ADM Agri-Industries Company  (A06P)",*,"1.00"
"Advance Drilling Ltd.  (0XG3)",,"1.00"
"Advantage Oil & Gas Ltd.  (0TD9)",,"25.95"
"Aeneid Exploration Inc.  (A79H)",,"4.75"
"Aeraden Energy Corp.  (A79A)",,"1.23"
"Agrium Inc.  (0GX2)",,"0.00"
"Alberta Petroleum Energy Limited  (0WZ4)",,"2.57"
"Alexander Oilfield Services Ltd.  (0MK6)",*,"1.12"
"Allstar Energy Limited  (0B1F)",*,"1.00"
"Altagas Holdings Inc.  (A0WA)",,"24.18"
"AltaGas Ltd.  (A0TK)",,"3.33"
"AltaGas Utilities Inc.  (0190)",*,"1.00"
"Altima Resources Ltd.  (A669)",,"4.81"
"Altura Energy Inc.  (A54P)",,"9.02"
"Amethyst Petroleums Ltd.  (0HF7)",*,"1.32"
"Andora Energy Corporation  (A14L)",*,"1.00"
"Andrich Resources Ltd.  (0P92)",,"2.68"
