2011 Census Profile - Data quality flags and descriptions - Forward Sortation Areas (FSA)
"Geo_Code","Geo_Name","DQ_Flag (5-digit code)*"
"A0A","A0A","00000"
"A0B","A0B","00000"
"A0C","A0C","00000"
"A0E","A0E","00000"
"A0G","A0G","00000"
"A0H","A0H","00000"
"A0J","A0J","00000"
"A0K","A0K","00000"
"A0L","A0L","00000"
"A0M","A0M","00000"
"A0N","A0N","00000"
"A0P","A0P","01000"
"A0R","A0R","00000"
"A1A","A1A","00000"
"A1B","A1B","00000"
"A1C","A1C","01000"
"A1E","A1E","00000"
"A1G","A1G","00000"
"A1H","A1H","00000"
"A1K","A1K","00000"
"A1L","A1L","00000"
"A1M","A1M","00000"
"A1N","A1N","00000"
"A1S","A1S","00000"
"A1V","A1V","00000"
"A1W","A1W","00000"
"A1X","A1X","00000"
"A1Y","A1Y","00000"
"A2A","A2A","00000"
"A2B","A2B","00000"
"A2H","A2H","00000"
"A2N","A2N","00000"
"A2V","A2V","00000"
"A5A","A5A","00000"
"A8A","A8A","00000"
"B0C","B0C","01000"
"B0E","B0E","00000"
"B0H","B0H","00000"
"B0J","B0J","00000"
"B0K","B0K","00000"
"B0L","B0L","01000"
"B0M","B0M","00000"
"B0N","B0N","00000"
"B0P","B0P","00000"
"B0R","B0R","00000"
"B0S","B0S","01000"
"B0T","B0T","00000"
"B0V","B0V","01000"
"B0W","B0W","00000"
"B1A","B1A","00000"
"B1B","B1B","01000"
"B1C","B1C","00000"
"B1E","B1E","00000"
"B1G","B1G","00000"
"B1H","B1H","00000"
"B1J","B1J","00000"
"B1K","B1K","00000"
"B1L","B1L","00000"
"B1M","B1M","00000"
"B1N","B1N","00000"
"B1P","B1P","00000"
"B1R","B1R","00000"
"B1S","B1S","00000"
"B1T","B1T","01000"
"B1V","B1V","00000"
"B1W","B1W","01000"
"B1X","B1X","00000"
"B1Y","B1Y","00000"
"B2A","B2A","01000"
"B2C","B2C","01000"
"B2E","B2E","00000"
"B2G","B2G","00000"
"B2H","B2H","01000"
"B2J","B2J","00000"
"B2N","B2N","01000"
"B2R","B2R","00000"
"B2S","B2S","00000"
"B2T","B2T","00000"
"B2V","B2V","00000"
"B2W","B2W","00000"
"B2X","B2X","00000"
"B2Y","B2Y","01000"
"B2Z","B2Z","00000"
"B3A","B3A","01000"
"B3B","B3B","00000"
"B3E","B3E","00000"
"B3G","B3G","00000"
"B3H","B3H","01000"
"B3J","B3J","00000"
"B3K","B3K","01000"
"B3L","B3L","00000"
"B3M","B3M","00000"
"B3N","B3N","00000"
"B3P","B3P","01000"
"B3R","B3R","00000"
"B3S","B3S","00000"
"B3T","B3T","00000"
"B3V","B3V","00000"
"B3Z","B3Z","00000"
"B4A","B4A","00000"
"B4B","B4B","00000"
"B4C","B4C","00000"
"B4E","B4E","00000"
"B4G","B4G","00000"
"B4H","B4H","00000"
"B4N","B4N","00000"
"B4P","B4P","01000"
"B4R","B4R","00000"
"B4V","B4V","00000"
"B5A","B5A","01000"
"B6L","B6L","00000"
"B9A","B9A","00000"
"C0A","C0A","00000"
"C0B","C0B","00000"
"C1A","C1A","00000"
"C1B","C1B","00000"
"C1C","C1C","00000"
"C1E","C1E","00000"
"C1N","C1N","00000"
"E1A","E1A","00000"
"E1B","E1B","00000"
"E1C","E1C","00000"
"E1E","E1E","00000"
"E1G","E1G","00000"
"E1H","E1H","00000"
"E1J","E1J","00000"
"E1N","E1N","00000"
"E1V","E1V","00000"
"E1W","E1W","00000"
"E1X","E1X","00000"
"E2A","E2A","00000"
"E2E","E2E","00000"
"E2G","E2G","00000"
"E2H","E2H","00000"
"E2J","E2J","01000"
"E2K","E2K","01000"
"E2L","E2L","01000"
"E2M","E2M","00000"
"E2N","E2N","00000"
"E2P","E2P","00000"
"E2R","E2R","00000"
"E2S","E2S","00000"
"E2V","E2V","00000"
"E3A","E3A","00000"
"E3B","E3B","00000"
"E3C","E3C","00000"
"E3E","E3E","00000"
"E3G","E3G","00000"
"E3L","E3L","00000"
"E3N","E3N","00000"
"E3V","E3V","00000"
"E3Y","E3Y","01000"
"E3Z","E3Z","00000"
"E4A","E4A","00000"
"E4B","E4B","00000"
"E4C","E4C","00000"
"E4E","E4E","00000"
"E4G","E4G","00000"
"E4H","E4H","00000"
"E4J","E4J","00000"
"E4K","E4K","00000"
"E4L","E4L","00000"
"E4M","E4M","00000"
"E4N","E4N","00000"
"E4P","E4P","00000"
"E4R","E4R","00000"
"E4S","E4S","00000"
"E4T","E4T","00000"
"E4V","E4V","00000"
"E4W","E4W","00000"
"E4X","E4X","00000"
"E4Y","E4Y","00000"
"E4Z","E4Z","00000"
"E5A","E5A","00000"
"E5B","E5B","00000"
"E5C","E5C","00000"
"E5E","E5E","00000"
"E5G","E5G","00000"
"E5H","E5H","00000"
"E5J","E5J","00000"
"E5K","E5K","00000"
"E5L","E5L","00000"
"E5M","E5M","01000"
"E5N","E5N","00000"
"E5P","E5P","00000"
"E5R","E5R","00000"
"E5S","E5S","01000"
"E5T","E5T","00000"
"E5V","E5V","00000"
"E6A","E6A","00000"
"E6B","E6B","00000"
"E6C","E6C","01000"
"E6E","E6E","00000"
"E6G","E6G","00000"
"E6H","E6H","01000"
"E6J","E6J","00000"
"E6K","E6K","00000"
"E6L","E6L","00000"
"E7A","E7A","01000"
"E7B","E7B","00000"
"E7C","E7C","01000"
"E7E","E7E","01000"
"E7G","E7G","01000"
"E7H","E7H","01000"
"E7J","E7J","00000"
"E7K","E7K","00000"
"E7L","E7L","00000"
"E7M","E7M","00000"
"E7N","E7N","00000"
"E7P","E7P","00000"
"E8A","E8A","01000"
"E8B","E8B","01000"
"E8C","E8C","01000"
"E8E","E8E","00000"
"E8G","E8G","01000"
"E8J","E8J","00000"
"E8K","E8K","00000"
"E8L","E8L","00000"
"E8M","E8M","01000"
"E8N","E8N","00000"
"E8P","E8P","01000"
"E8R","E8R","01000"
"E8S","E8S","00000"
"E8T","E8T","01000"
"E9A","E9A","00000"
"E9B","E9B","00000"
"E9C","E9C","00000"
"E9E","E9E","01000"
"E9G","E9G","01000"
"E9H","E9H","01000"
"G0A","G0A","00000"
"G0C","G0C","01000"
"G0E","G0E","01000"
"G0G","G0G","01000"
"G0H","G0H","01000"
"G0J","G0J","01000"
"G0K","G0K","00000"
"G0L","G0L","00000"
"G0M","G0M","00000"
"G0N","G0N","01000"
"G0P","G0P","01000"
"G0R","G0R","00000"
"G0S","G0S","00000"
"G0T","G0T","01000"
"G0V","G0V","00000"
"G0W","G0W","01000"
"G0X","G0X","00000"
"G0Y","G0Y","01000"
"G0Z","G0Z","00000"
"G1A","G1A","03000"
"G1B","G1B","00000"
"G1C","G1C","00000"
"G1E","G1E","00000"
"G1G","G1G","00000"
"G1H","G1H","01000"
"G1J","G1J","01000"
"G1K","G1K","01000"
"G1L","G1L","01000"
"G1M","G1M","01000"
"G1N","G1N","01000"
"G1P","G1P","00000"
"G1R","G1R","01000"
"G1S","G1S","01000"
"G1T","G1T","01000"
"G1V","G1V","01000"
"G1W","G1W","00000"
"G1X","G1X","00000"
"G1Y","G1Y","00000"
"G2A","G2A","00000"
"G2B","G2B","00000"
"G2C","G2C","00000"
"G2E","G2E","00000"
"G2G","G2G","00000"
"G2J","G2J","02000"
"G2K","G2K","00000"
"G2L","G2L","00000"
"G2M","G2M","00000"
"G2N","G2N","00000"
"G3A","G3A","00000"
"G3B","G3B","00000"
"G3C","G3C","00000"
"G3E","G3E","00000"
"G3G","G3G","00000"
"G3H","G3H","00000"
"G3J","G3J","00000"
"G3K","G3K","00000"
"G3L","G3L","01000"
"G3M","G3M","00000"
"G3N","G3N","00000"
"G3Z","G3Z","00000"
"G4A","G4A","00000"
"G4R","G4R","01000"
"G4S","G4S","00000"
"G4T","G4T","00000"
"G4V","G4V","01000"
"G4W","G4W","00000"
"G4X","G4X","00000"
"G4Z","G4Z","00000"
"G5A","G5A","00000"
"G5B","G5B","00000"
"G5C","G5C","00000"
"G5H","G5H","01000"
"G5J","G5J","01000"
"G5L","G5L","00000"
"G5M","G5M","00000"
"G5N","G5N","00000"
"G5R","G5R","00000"
"G5T","G5T","00000"
"G5V","G5V","00000"
"G5X","G5X","01000"
"G5Y","G5Y","00000"
"G5Z","G5Z","00000"
"G6A","G6A","00000"
"G6B","G6B","00000"
"G6C","G6C","00000"
"G6E","G6E","00000"
"G6G","G6G","00000"
"G6H","G6H","00000"
"G6J","G6J","00000"
"G6K","G6K","00000"
"G6L","G6L","00000"
"G6P","G6P","00000"
"G6R","G6R","00000"
"G6S","G6S","00000"
"G6T","G6T","00000"
"G6V","G6V","00000"
"G6W","G6W","00000"
"G6X","G6X","00000"
"G6Z","G6Z","00000"
"G7A","G7A","00000"
"G7B","G7B","00000"
"G7G","G7G","00000"
"G7H","G7H","00000"
"G7J","G7J","00000"
"G7K","G7K","00000"
"G7N","G7N","00000"
"G7P","G7P","00000"
"G7S","G7S","00000"
"G7T","G7T","00000"
"G7X","G7X","00000"
"G7Y","G7Y","00000"
"G7Z","G7Z","00000"
"G8A","G8A","00000"
"G8B","G8B","00000"
"G8C","G8C","00000"
"G8E","G8E","00000"
"G8G","G8G","00000"
"G8H","G8H","00000"
"G8J","G8J","00000"
"G8K","G8K","00000"
"G8L","G8L","00000"
"G8M","G8M","00000"
"G8N","G8N","00000"
"G8P","G8P","00000"
"G8T","G8T","00000"
"G8V","G8V","00000"
"G8W","G8W","00000"
"G8Y","G8Y","00000"
"G8Z","G8Z","01000"
"G9A","G9A","01000"
"G9B","G9B","00000"
"G9C","G9C","00000"
"G9H","G9H","00000"
"G9N","G9N","01000"
"G9P","G9P","00000"
"G9R","G9R","00000"
"G9T","G9T","00000"
"G9X","G9X","00000"
"H1A","H1A","00000"
"H1B","H1B","00000"
"H1C","H1C","00000"
"H1E","H1E","00000"
"H1G","H1G","00000"
"H1H","H1H","01000"
"H1J","H1J","00000"
"H1K","H1K","00000"
"H1L","H1L","00000"
"H1M","H1M","00000"
"H1N","H1N","01000"
"H1P","H1P","00000"
