Geo Code,Geo Name,Line Number
"01","Canada",2
"01A0A","A0A",2249
"01A0B","A0B",4496
"01A0C","A0C",6743
"01A0E","A0E",8990
"01A0G","A0G",11237
"01A0H","A0H",13484
"01A0J","A0J",15731
"01A0K","A0K",17978
"01A0L","A0L",20225
"01A0M","A0M",22472
"01A0N","A0N",24719
"01A0P","A0P",26966
"01A0R","A0R",29213
"01A1A","A1A",31460
"01A1B","A1B",33707
"01A1C","A1C",35954
"01A1E","A1E",38201
"01A1G","A1G",40448
"01A1H","A1H",42695
"01A1K","A1K",44942
"01A1L","A1L",47189
"01A1M","A1M",49436
"01A1N","A1N",51683
"01A1S","A1S",53930
"01A1V","A1V",56177
"01A1W","A1W",58424
"01A1X","A1X",60671
"01A1Y","A1Y",62918
"01A2A","A2A",65165
"01A2B","A2B",67412
"01A2H","A2H",69659
"01A2N","A2N",71906
"01A2V","A2V",74153
"01A5A","A5A",76400
"01A8A","A8A",78647
"01B0C","B0C",80894
"01B0E","B0E",83141
"01B0H","B0H",85388
"01B0J","B0J",87635
"01B0K","B0K",89882
"01B0L","B0L",92129
"01B0M","B0M",94376
"01B0N","B0N",96623
"01B0P","B0P",98870
"01B0R","B0R",101117
"01B0S","B0S",103364
"01B0T","B0T",105611
"01B0V","B0V",107858
"01B0W","B0W",110105
"01B1A","B1A",112352
"01B1B","B1B",114599
"01B1C","B1C",116846
"01B1E","B1E",119093
"01B1G","B1G",121340
"01B1H","B1H",123587
"01B1J","B1J",125834
"01B1K","B1K",128081
"01B1L","B1L",130328
"01B1M","B1M",132575
"01B1N","B1N",134822
"01B1P","B1P",137069
"01B1R","B1R",139316
"01B1S","B1S",141563
"01B1T","B1T",143810
"01B1V","B1V",146057
"01B1W","B1W",148304
"01B1X","B1X",150551
"01B1Y","B1Y",152798
"01B2A","B2A",155045
"01B2C","B2C",157292
"01B2E","B2E",159539
"01B2G","B2G",161786
"01B2H","B2H",164033
"01B2J","B2J",166280
"01B2N","B2N",168527
"01B2R","B2R",170774
"01B2S","B2S",173021
"01B2T","B2T",175268
"01B2V","B2V",177515
"01B2W","B2W",179762
"01B2X","B2X",182009
"01B2Y","B2Y",184256
"01B2Z","B2Z",186503
"01B3A","B3A",188750
"01B3B","B3B",190997
"01B3E","B3E",193244
"01B3G","B3G",195491
"01B3H","B3H",197738
"01B3J","B3J",199985
"01B3K","B3K",202232
"01B3L","B3L",204479
"01B3M","B3M",206726
"01B3N","B3N",208973
"01B3P","B3P",211220
"01B3R","B3R",213467
"01B3S","B3S",215714
"01B3T","B3T",217961
"01B3V","B3V",220208
"01B3Z","B3Z",222455
"01B4A","B4A",224702
"01B4B","B4B",226949
"01B4C","B4C",229196
"01B4E","B4E",231443
"01B4G","B4G",233690
"01B4H","B4H",235937
"01B4N","B4N",238184
"01B4P","B4P",240431
"01B4R","B4R",242678
"01B4V","B4V",244925
"01B5A","B5A",247172
"01B6L","B6L",249419
"01B9A","B9A",251666
"01C0A","C0A",253913
"01C0B","C0B",256160
"01C1A","C1A",258407
"01C1B","C1B",260654
"01C1C","C1C",262901
"01C1E","C1E",265148
"01C1N","C1N",267395
"01E1A","E1A",269642
"01E1B","E1B",271889
"01E1C","E1C",274136
"01E1E","E1E",276383
"01E1G","E1G",278630
"01E1H","E1H",280877
"01E1J","E1J",283124
"01E1N","E1N",285371
"01E1V","E1V",287618
"01E1W","E1W",289865
"01E1X","E1X",292112
"01E2A","E2A",294359
"01E2E","E2E",296606
"01E2G","E2G",298853
"01E2H","E2H",301100
"01E2J","E2J",303347
"01E2K","E2K",305594
"01E2L","E2L",307841
"01E2M","E2M",310088
"01E2N","E2N",312335
"01E2P","E2P",314582
"01E2R","E2R",316829
"01E2S","E2S",319076
"01E2V","E2V",321323
"01E3A","E3A",323570
"01E3B","E3B",325817
"01E3C","E3C",328064
"01E3E","E3E",330311
"01E3G","E3G",332558
"01E3L","E3L",334805
"01E3N","E3N",337052
"01E3V","E3V",339299
"01E3Y","E3Y",341546
"01E3Z","E3Z",343793
"01E4A","E4A",346040
"01E4B","E4B",348287
"01E4C","E4C",350534
"01E4E","E4E",352781
"01E4G","E4G",355028
"01E4H","E4H",357275
"01E4J","E4J",359522
"01E4K","E4K",361769
"01E4L","E4L",364016
"01E4M","E4M",366263
"01E4N","E4N",368510
"01E4P","E4P",370757
"01E4R","E4R",373004
"01E4S","E4S",375251
"01E4T","E4T",377498
"01E4V","E4V",379745
"01E4W","E4W",381992
"01E4X","E4X",384239
"01E4Y","E4Y",386486
"01E4Z","E4Z",388733
"01E5A","E5A",390980
"01E5B","E5B",393227
"01E5C","E5C",395474
"01E5E","E5E",397721
"01E5G","E5G",399968
"01E5H","E5H",402215
"01E5J","E5J",404462
"01E5K","E5K",406709
"01E5L","E5L",408956
"01E5M","E5M",411203
"01E5N","E5N",413450
"01E5P","E5P",415697
"01E5R","E5R",417944
"01E5S","E5S",420191
"01E5T","E5T",422438
"01E5V","E5V",424685
"01E6A","E6A",426932
"01E6B","E6B",429179
"01E6C","E6C",431426
"01E6E","E6E",433673
"01E6G","E6G",435920
"01E6H","E6H",438167
"01E6J","E6J",440414
"01E6K","E6K",442661
"01E6L","E6L",444908
"01E7A","E7A",447155
"01E7B","E7B",449402
"01E7C","E7C",451649
"01E7E","E7E",453896
"01E7G","E7G",456143
"01E7H","E7H",458390
"01E7J","E7J",460637
"01E7K","E7K",462884
"01E7L","E7L",465131
"01E7M","E7M",467378
"01E7N","E7N",469625
"01E7P","E7P",471872
"01E8A","E8A",474119
"01E8B","E8B",476366
"01E8C","E8C",478613
"01E8E","E8E",480860
"01E8G","E8G",483107
"01E8J","E8J",485354
