Geo Code,Geo Name,Line Number
"01","Canada",2
"10","Newfoundland and Labrador",2249
"10001","Avalon",4496
"10002","Bonavista--Burin--Trinity",6743
"10003","Coast of Bays--Central--Notre Dame",8990
"10004","Labrador",11237
"10005","Long Range Mountains",13484
"10006","St. John's East",15731
"10007","St. John's South--Mount Pearl",17978
"11","Prince Edward Island",20225
"11001","Cardigan",22472
"11002","Charlottetown",24719
"11003","Egmont",26966
"11004","Malpeque",29213
"12","Nova Scotia",31460
"12001","Cape Breton--Canso",33707
"12002","Central Nova",35954
"12003","Cumberland--Colchester",38201
"12004","Dartmouth--Cole Harbour",40448
"12005","Halifax",42695
"12006","Halifax West",44942
"12007","Kings--Hants",47189
"12008","Sackville--Preston--Chezzetcook",49436
"12009","South Shore--St. Margarets",51683
"12010","Sydney--Victoria",53930
"12011","West Nova",56177
"13","New Brunswick",58424
"13001","Acadie--Bathurst",60671
"13002","Beauséjour",62918
"13003","Fredericton",65165
"13004","Fundy Royal",67412
"13005","Madawaska--Restigouche",69659
"13006","Miramichi--Grand Lake",71906
"13007","Moncton--Riverview--Dieppe",74153
"13008","New Brunswick Southwest",76400
"13009","Saint John--Rothesay",78647
"13010","Tobique--Mactaquac",80894
"24","Quebec",83141
"24001","Abitibi--Baie-James--Nunavik--Eeyou",85388
"24002","Abitibi--Témiscamingue",87635
"24003","Ahuntsic-Cartierville",89882
"24004","Alfred-Pellan",92129
"24005","Argenteuil--La Petite-Nation",94376
"24006","Avignon--La Mitis--Matane--Matapédia",96623
"24007","Beauce",98870
"24008","Beauport--Limoilou",101117
"24009","Bécancour--Nicolet--Saurel",103364
"24010","Bellechasse--Les Etchemins--Lévis",105611
"24011","Beloeil--Chambly",107858
"24012","Berthier--Maskinongé",110105
"24013","Thérèse-De Blainville",112352
"24014","Pierre-Boucher--Les Patriotes--Verchères",114599
"24015","Bourassa",116846
"24016","Brome--Missisquoi",119093
"24017","Brossard--Saint-Lambert",121340
"24018","Rimouski-Neigette--Témiscouata--Les Basques",123587
"24019","Charlesbourg--Haute-Saint-Charles",125834
"24020","Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix",128081
"24021","Châteauguay--Lacolle",130328
"24022","Chicoutimi--Le Fjord",132575
"24023","Compton--Stanstead",134822
"24024","Dorval--Lachine--LaSalle",137069
"24025","Drummond",139316
"24026","Gaspésie--Les Îles-de-la-Madeleine",141563
"24027","Gatineau",143810
"24028","Hochelaga",146057
"24029","Honoré-Mercier",148304
"24030","Hull--Aylmer",150551
"24031","Joliette",152798
"24032","Jonquière",155045
"24033","La Pointe-de-l'Île",157292
"24034","La Prairie",159539
"24035","Lac-Saint-Jean",161786
"24036","Lac-Saint-Louis",164033
"24037","LaSalle--Émard--Verdun",166280
"24038","Laurentides--Labelle",168527
"24039","Laurier--Sainte-Marie",170774
"24040","Laval--Les Îles",173021
"24041","Longueuil--Charles-LeMoyne",175268
"24042","Lévis--Lotbinière",177515
"24043","Longueuil--Saint-Hubert",179762
"24044","Louis-Hébert",182009
"24045","Louis-Saint-Laurent",184256
"24046","Manicouagan",186503
"24047","Mégantic--L'Érable",188750
"24048","Mirabel",190997
"24049","Montarville",193244
"24050","Montcalm",195491
"24051","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup",197738
"24052","Mont-Royal",199985
"24053","Notre-Dame-de-Grâce--Westmount",202232
"24054","Outremont",204479
"24055","Papineau",206726
"24056","Pierrefonds--Dollard",208973
"24057","Pontiac",211220
"24058","Portneuf--Jacques-Cartier",213467
"24059","Québec",215714
"24060","Repentigny",217961
"24061","Richmond--Arthabaska",220208
"24062","Rivière-des-Mille-Îles",222455
"24063","Rivière-du-Nord",224702
"24064","Rosemont--La Petite-Patrie",226949
"24065","Marc-Aurèle-Fortin",229196
"24066","Saint-Hyacinthe--Bagot",231443
"24067","Saint-Jean",233690
"24068","Saint-Laurent",235937
"24069","Saint-Léonard--Saint-Michel",238184
"24070","Saint-Maurice--Champlain",240431
"24071","Salaberry--Suroît",242678
"24072","Shefford",244925
"24073","Sherbrooke",247172
"24074","Vaudreuil--Soulanges",249419
"24075","Terrebonne",251666
"24076","Trois-Rivières",253913
"24077","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",256160
"24078","Vimy",258407
"35","Ontario",260654
"35001","Ajax",262901
"35002","Algoma--Manitoulin--Kapuskasing",265148
"35003","Aurora--Oak Ridges--Richmond Hill",267395
"35004","Barrie--Innisfil",269642
"35005","Barrie--Springwater--Oro-Medonte",271889
"35006","Bay of Quinte",274136
"35007","Beaches--East York",276383
"35008","Brampton Centre",278630
"35009","Brampton East",280877
"35010","Brampton North",283124
"35011","Brampton South",285371
"35012","Brampton West",287618
"35013","Brantford--Brant",289865
"35014","Bruce--Grey--Owen Sound",292112
"35015","Burlington",294359
"35016","Cambridge",296606
"35017","Chatham-Kent--Leamington",298853
"35018","Davenport",301100
"35019","Don Valley East",303347
"35020","Don Valley North",305594
"35021","Don Valley West",307841
"35022","Dufferin--Caledon",310088
"35023","Durham",312335
"35024","Eglinton--Lawrence",314582
"35025","Elgin--Middlesex--London",316829
"35026","Essex",319076
