project,postalCodes,zipCodes
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,S4S 1K4,14888-8123
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,K1L 7R9,44138-2214
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,S4N 7L5,53127-3555
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,T0B 2E0,17114-5713
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,T2P 0X3,74177-3117
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,S7K 3G5,31951-3331
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,S4S 5W6,11111-1111
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,T2P 0X8,12551-1331
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,S4P 2Z3,03512-1424
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,T2P 3L8,71343-5152
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,T2P 4K9,42949-9293
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,S4P 2Z3,NA
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,N7A 3E1,NA
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,N7A 2R6,NA
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,T2P 0X8,NA
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,T2P 0X8,NA
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,T2P 3L8,NA
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,T2P 4K9,NA
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,R3C 0P6,NA
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,T2P 0X8,NA
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,R3C 0P6,NA
