"","Organization","Date.of.Request","Question","Information.Provided","Interview...Date","type.of.media..print..TV..etc..","Topic"
"1","cp - montreal","2006-04-18","natural gas projections","unclear request, provided some info in msg.  He did not call back","","",""
"2","rigzone.com","2006-05-17","general info on energy in Canada and oil sands","several neb-one.gc.ca web references and also Industry Canada and International Trade Canada","no interview","",""
"3","nb telegraph journal","2006-05-26","Brunswick application","various - this began at request of PWG for NEB to clarify a reporting error","2006-05-26","",""
"4","various","2006-06-01","oil sands - environmental challenges","","EVENT","",""
"5","fort mcmurray today","2006-06-01","oilsands report - call from out of town","various general","","",""
"6","vancouver sun","2006-06-02","B.C. pipelines and what do they carry","various, also maps","no interview - provided information by email after consulting with Commodities and others for directions","",""
"7","cbc radio regina","2006-06-02","oilsands in Saskatchewan","provided clips in French","2006-06-06","",""
"8","telegraph_journal","2006-06-07","Question on process to test evidence provided by applicant ","","","",""
"9","cp-calgary","2006-06-02","significant discovery licenses","provided NWT info that day (NAME REMOVED) and also arranged learning and information followup with NAME REMOVED June 6","","",""
"10","cbc radio regina","2006-06-08","general questions about oilsands, NEB, SK","as much as I could","no interview, it was info","",""
"11","oil sands review (junewarren publication)","2006-06-09","cogeneration from oilsands","copy of report","2006-06-16","",""
"12","mgp","2006-06-13","extensive MGP comments","declined after consulting PWG, Legal, NAME REMOVED - referred to intervenors list, etc.","none","",""
"13","globe and mail","2006-06-14","MGP Yellowknife hearing - economic feasibility","""business as usual and same topic in Inuvik, Dec 2006""","confirming info same day","",""
"14","oil sands review (junewarren publication)","2006-06-16","CO2 emissions and opportunities","helped him find it in the report","none","",""
"15","doigs digest","2006-06-22","fishing around about MGP and Yellowknife hearing - economic feasibility","not much - it was leading question about when we knew Imperial's suspension of efforts with Ottawa","none","",""
"16","marc decrey","2006-06-23","oilsands & environment & markets for the oil","oil sands report & media products in French, references to OGDs","2006-06-27","",""
"17","doig's digest","2006-07-25","Who are the departing Board members?","Gave him the name of the 3 who are leaving.","2006-07-25","",""
"18","norval scott","2006-06-26","oilsands - export batch to Italy","info is confidential and reporter already got that from NAME REMOVEDX, 5 July reiterated that for him and explained also that NEB staff with sectoral contacts not here right now to help by asking company for permission","no interview","",""
"19","esquimalt news","2006-06-29","SeaBreeze hearing - what happened, what next","","","",""
"20","cbc radio saint john nb","2006-07-04","# of intervenors for Brunswick","","","name removed followed up a voice mail next day (july 5) but he got what he needed from clk on july 4",""
"21","globe and mail","","NEB capacity issues","","2006-07-04","",""
"22","platt's - washington d.c.","2006-07-05","oil sands - environmental challenges","guidance on NEB vs AEUB","2006-07-06","",""
"23","cbc radio north","2006-07-06","looking for online broadcast of JRP in High Level","no prob. Guided him there on Internet","none","",""
"24","doig's digest","2006-07-11","looking for NEB ruling on MEG motion #10 (MGP)","it was released July 10 -aft. And was sent to him promptly","no interview","",""
"25","cbc radio - yellowknife nwt","2006-07-11","MGP - NEB decision on MEG motion released 10 July","as much as possible about the motion decision and how it fits into bigger NEB regulatory process for MGP decision","background","",""
"26","private documentary producer - researcher","2006-07-11","MGP - large issues, as one issue in a Canada's Arctic documentary to be pitched to RDI, TFO, APTN, and potentially others","extensive email with good references to MGP resources","no interview","",""
"27","national post","2006-07-11","MGP - NEB decision on MEG motion released 10 July","made aware of motion decision","guided as much as possible through 14 page legal decision","name removed paraphrased repeating bottom line of board decision",""
"28","energy processing canada magazine","2006-07-13","Questions about engineering profession / oil and gas sector","","","",""
"29","alberta oil magazine","2006-07-13","SEE 13 June","NEB declined substantive participation in the magazine article","I gave my name as contact and offered help on process, sorting through the public record on MGP, etc.","",""
"30","chsj news","2006-07-24","Interview on NEB hearing process. See interview summary - Brunswick PP.","","","",""
"31","globe & mail","2006-07-24","Request for clarification following JRP announcement about process delays","","","",""
"32","wall street journal","2006-07-25","Request for interview on industry prospects and capacity issues","","","",""
"33","doig's digest","2006-07-25","Who are the departing Board members?","Gave him the name of the 3 who are leaving.","2006-07-25","see also line 18 (looks identical)",""
"34","herald","2006-07-24","Request for Info on CEP motion-Keystone 74 app.","Info about processes following motion/ told her that Board was still reviewing motion","","",""
"35","various","","various","","","",""
"36","geotimes (a monthly earth sciences mag based in alexandria virginia)","2006-08-02","oilsands - several general questions","various web references (CAPP, CEPA, Ft. McMurray) emailed 2 August and more followup anticipated 3 August","no intervew just info","",""
"37","cbc-the national","2006-08-08","Pipeline safety & frequency of integrity inspections","","","",""
"38","canadian press","2006-08-08","Pipeline safety & frequency of integrity inspections","","","",""
"39","cbc - radio","2006-08-08","Pipeline safety & frequency of integrity inspections","","","",""
"40","src radio alberta (based in edmonton)","2006-08-09","Pipeline safety & frequency of integrity inspections","","","",""
"41","cbc - radio","2006-08-09","Pipeline safety & frequency of integrity inspections","","Preliminary interview","",""
"42","cbc - radio","2006-08-10","Pipeline safety & frequency of integrity inspections ","","LIVE interview","",""
"43","choteau acantha paper","2006-08-10","MATL - public comment period","","","",""
"44","financial post","2006-08-14","JRP schedule changes and is NEB doing anything","AC completed casual conversation and kept it short and away from speculation.  Noted that any significant outcomes on scheduling would be reported to important media outlets.  Reported conversation to APM Judy Bennett","","",""
"45","news north","2006-08-14","JRP schedule changes and rumour of an NEB time sharing solution","reported to APM NAME REMOVED  and consulted Legal -NAME REMOVED.  Replied via email with existing NEB lines about JRP schedule and did not react to rumours","","",""
"46","globe & mail","2006-08-15","MGP : how would hearing be affected if Imperial substantially altered its MGP application?","more of a background / learning request","NAME REMOVED got basic feedback from Andrew Hudson (Legal)","name removed delivered result of andrew hudson conversation and also noted to ebner that there'd be no vollman interview on capacity right now",""
"47","news north","2006-08-17","MGP : how much does the hearing cost the NEB?","referred to a past, approved statement made in Inuvik by NAME REMOVED for APTN news","2006-08-17","",""
"48","doigs digest","2006-08-18","info request - confirming the dates in the sequence of activities on MEG motion","easy info from reg docs","2006-08-18","",""
"49","cbc - radio","2006-08-22","Interview with Strater Crowfoot","Interview granted - see media report","","",""
"50","cbc radio north","2006-08-22","story angle was based on MGP / JRP hypotheticals and possible recommendations","NEB Act references","no interview","",""
"51","calgary herald","2006-08-23","Coal Bed Methane information ","","2006-08-25","",""
"52","fitzhugh weekly - jasper alberta","2006-08-28","Terasen Anchor Loop - wanted to find info on the recent hearing","email reference to top folder of application and hearing, specific attention to location of the transcripts; reference to colleague CLK as Comm Officer assigned to this file","not an interview","",""
"53","national post","2006-08-28","reaction to JRP scheduling challenges (strong comments made by GNWT Minister Brendan Bell)","","2006-08-28","referred to past notes and directly to panel chair k. vollman for guidance",""
"54","dob","2006-08-28","Follow-up to BP Alaska spill","NEB requires all companies to implement Integrity Management Programs","28-Aug.","",""
"55","cbc radio - yellowknife","2006-08-31","MGP - questions about 'rates of return' (responding to comment by Bob Reid, APG)","detailed information conversation with NAME REMOVED NAME REMOVED listening","2006-08-31","",""
"56","cbc radio - yellowknife","2006-09-20","indirect request via Annette (NGPS) interest in seeing various evidence on adequacy of aboriginal consultation","compile links to much of the evidence sought","no interview","",""
"57","high level echo","2006-09-26","she followed up an outreach call I placed to the High Level Echo paper to get details about the NEB hearing there on 27 Sept","provided the poster for High Level and the Procedural Update, to help her confirm details and understand NEB process","no interview","",""
"58","deh cho drum","2006-09-26","she followed up an email / reminder I sent to NWT writers&editors about change to current MGP tour schedule","sent her a requested Reg Repository document","no interview","",""
"59","oil price information service","2006-09-27","List of Intervenors for Keystone transfer application","Provided link to Keystone Application, list of Intervenors and provided Hearing Order news Release","no interview","",""
"60","financial post","2006-09-27","fact checks regarding cancellation of NEB Hearing in Trout Lake, NWT","","provided lots of public record and internet references","",""
"61","cbc radio yellowknife/nwt","2006-10-05","NEB experience in small communities / cancellations","NAME REMOVED gave interview with messages approved by PM+Legal","2006-10-05","",""
"62","caledonia courier","2006-10-05","Gateway - JRP and info on panel member selection","","2006-10-12","",""
"63","doigs digest","2006-10-10","asking about scenarios around the receipt of Imperial's updated financial evidence re: MGP","described that 'natural justice' principle would require all Parties to have 'fair shot' at the evidence and provided formal reference to NEB act after short discussion w/ NAME REMOVED (Legal)","2006-10-10","",""
"64","pbs - new york state","2006-10-23","interested in an NEB spokesperson (expressed interest in Chairman) re: export of oil to USA/partner","got advice from NAME REMOVED and then requested questions to see if relevant or better referred to NRCan/others","2006-10-26","briefing notes (commodities - oil) saved to f:",""
"65","cbc radio halifax","2006-10-30","Emera Brunswick Pipeline story - background research about high pressure pipeline and safety","handed off to CLK same day - please edit this row","","",""
"66","cbc national","2006-10-30","Info on Winter Outlook","","","",""
"67","cbc winnipeg","2006-10-30","Info on Winter Outlook","","","",""
"68","cbc toronto","2006-10-30","Info on Winter Outlook","","","",""
"69","power week canada","2006-10-30","Wanted to arrange interview with Winter Outlook Presenters","Interview arranged with NAME REMOVEDX and NAME REMOVEDX, Oct 31 11:30 am","31 October at 11:30 am MST","",""
"70","cbc halifax","2006-10-31","Information about pipe diameter and risk involved with high pressure.","","","",""
"71","edmonton sun","2006-10-31","TMX - Anchor Loop corridor along existing RoW thru parks","","","",""
"72","le devoir","2006-11-01","Yudinn process / correspondence questions","walked him through Reg Docs over the phone and sent email with specific links to the correspondence he was interested in.","no interview","",""
"73","canadian press","2006-11-09","Questions about Deep Panuke Hearing Process","Reviewed process","no interview","",""
"74","cbc radio halifax","2006-12-05","Questions about list of declared Intervenors","Directed her to Deep Panuke Review website","no interview","",""
"75","oil price information service","2006-12-06","Info on Gateway - wanting to look at the PIP","Sent him link to the Reg Docs.","","",""
"76","the walrus","2006-12-08","fact checking re ""50% USA ownership of oil patch""","found resources at Industry Canada, called someone, and sent reporter a SatsCan document to aid his fact check","","",""
"77","doigs digest","2006-12-13","interest in next steps of Dene Tha motion","sent him Board letter of 8 December","","",""
"78","aptn","2006-12-18","MGP how many hearing days and locations","NAME REMOVED checked the info fr transcripts and from schedules and confirmed by email","","",""
"79","global pipeline monthly","2007-12-28","Looking for permission to reprint NR Can LNG report","Provided contatc info for NAME REMOVED and NAME REMOVED at NRCan","","",""
"80","dow jones","2007-01-02","Irving Oil considering a new Oil refinery in Saint John","provided IrvingOil.com corporate info incl. a backgrounder Irving produced on expected reg processes","2007-01-02","rec'd email that this was sufficient",""
"81","cbc tv saint john","2007-01-05","Looking for Update on Emera Brunswick Hearing","Confirmed status with NAME REMOVED and advised RFD would be released in the coming months.","","",""
"82","canadian press","2007-01-08","Update on a draft report obtained through Access to Information regarding Esel capability assessment","Arranged phone interview with NAME REMOVED (author of report) after asking NAME REMOVED to confirm best spokesperson. (request related to TB submission) ","interview on Jan 9/07","",""
"83","reuters","2007-01-11","requested forecast for Canadian crude production in 2007","Advised this information would be available via the web in the upcoming weeks. NAME REMOVED is not opposed to releasing info directly to Reuters day of launch.","","",""
"84","daily oil bulletin","2018-01-15","Questions about CBM deliverability in 2007","Arranged phone interview with NAME REMOVED & NAME REMOVED with NAME REMOVED's approval","Jan. 15","",""
"85","cbc newsworld (business)","2007-01-17","called for Ross Hicks - he was looking for a reference to 'anti' - nuclear commentators in an Alberta oil sands context","no interview, NEB did provide some ideas on the story angle","2007-01-17","",""
"86","ctv news","2007-01-19","Looking for update on Canada's use of emerging technologies for electricity generation","Confirmed number with NAME REMOVED - about 3% of Canada's energy mix is composed of emerging technologies.","no interview","",""
"87","cbc radio yellowknife/nwt","2007-01-24","she was working in technical stuff relating to the cut width for seismic operations and there was an indication an interview had been requested","worked on developing media lines for an email back to the reporter which occurred on 24 Jan; as of 24 Jan 6 PM no interview request received.","no interview","",""
"88","ciel fm (riv.-du-loup)","2007-01-23","Clarification about Gros Cacouna H.O.","","","",""
"89","radio-canada (riv. du loup)","2007-01-23","Clarification about Gros Cacouna H.O.","","","",""
"90","name removed","2007-02-02","looking for reaction to release of UN climate change report","gave him some ideas and references incl Pembina Institute.  He seemed pleased about followup.","","",""
"91","name removed","2007-02-07","voice comment needed for radio about release of MGP conditions","prepared talk points, got PL approval, and delivered lines","2007-02-07","",""
"92","name removed","2007-02-09","responsive re CAPLA - letter to editor plan","","","",""
"93","name removed","2007-02-09","proactive re Hanna - interview offered","collaborated on key message script and practiced with ","2007-02-09","",""
"94","name removed","2007-02-09","proactive comment offered ","AC used one key message about abandonment but Monday followup needed for tougher questions on this area","2007-02-09","andrew gave some comment when the reporter got back to us.  could only stick to one high level message and have to do detailed reply about funding for abandonment hearing on monday",""
"95","chush","2007-02-12","research: needed a Mackenzie Gas Project 101","sent a lot of info: link to the folder of all intervenors, link to info about the NEB MGP Panel, link to all the Reg Docs top folders, link to JRP info.","","",""
"96","name removed","2007-02-13","Call for attacks on Canadian oil by Al-Qaeda-affiliated website","Prepared media report; gave interview - comments not used in article.","13 Feb.","",""
"97","name removed","2007-02-14","Call for attacks on Canadian oil by Al-Qaeda-affiliated website","Prepared media report","14 Feb.","",""
"98","name removed","2007-02-14","Call for attacks on Canadian oil by Al-Qaeda-affiliated website - follow-up (why did different gov. agencies find out at the same time).","Prepared media report","14 Feb.","",""
"99","name removed","2007-02-01","Call to find out about RFD release date","Confirmed that process is lenghty and will require more time.","","",""
"100","name removed","2007-02-19","Call to find out about RFD release date","Confirmed that process is lenghty and will require more time.","","",""
"101","name removed","2007-02-22","Alberta Clipper - prelim research call","started w/ send of PIP info; also got PWG working on some Q&As via NAME REMOVED, Clipper PM","end result Friday 23 March was sending the journalist a 2003 NEB Publication of FAQs for landowners to try to suit her background research purposes","have not heard anything new as of 1 march)",""
"102","name removed","2007-02-26","called NEB seeing that a Mackenzie hearing was on in Edmonton, wanted to know if there was a Calgary hearing planned","AC called back and left message: that is a JRP hearing in Edmonton.  Then described that the NEB had already done extensive hearing tour in NWT throughout 2006 in numerous NWT locations.","","",""
"103","name removed","2007-02-26","working on story about shortage of retail gasoline in Ontario (not NEB) so I said I'd gather recommendations for him","provided reference to CPPI and confirmation that retail gas is not an NEB area.  Also had given him references to Ontario Economic Development and Trade, Consumer Affairs, and Energy department (he had called to OEB)","","",""
"104","name removed","2007-02-26","wanting hearing transcript for OH-1-2003","Provided link to hearing transcript. ","","",""
"105","name removed","2007-03-01","msg - subject matter unknown","ret'd call to acknowledge","","",""
