project,postalCodes,zipCodes
Nova_Gas_Transmission_Ltd_North_Montney_Mainline_Project_(Aitken_and_Kahta_Sections),T2P 0X8,06520-4640
,T2P 0X8,NA
,V1G 4E7,NA
,V1G 3B8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 2V6,NA
,T2P 2V6,NA
,T2P 2V6,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 3G6,NA
,T2P 3G6,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,V1G 4E7,NA
,V1G 4L7,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2C 0P6,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,V6C3S5,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2Z 3J9,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 3G4,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T3H 0H1,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 3T7,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0R4,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 5H1,NA
,T2P 3T7,NA
,T2P 0X8,NA
,T2P 3T7,NA
,V3K 5J6,NA
,T2P 0X8,NA
,T2P 0X8,NA
,T2P 3G6,NA
,T2P 0X8,NA
,V6C 3S5,NA
,T2P 0X8,NA
,V4K 3N2,NA
