App_Date_Received,App_Outcome,App_Type,Cert_Issue_Date,Conditions_Issued,Conditions_Issued,Dec_Date,Dec_Type,Dur_Date,Env_Assess_Req,Hear_Corp,Hear_Date_Order,Hear_Days,Hear_Days,Hear_Name,Hear_Number,LTO_Date,NEB_Report_Pages,Notes,Reg_Instrum,Reg_Instrum_Type,Third_Party_Partic
2004-10-15 00:00:00,Approved w/ conditions,Large Pipelines,2011-03-10,184,184,2010-12-16,Reasons For Decision Report,2253,Yes,Imperial,2004-11-24,58,58,Imperial et. al - Imperial Mackenzie Gas Pipeline,GH-1-2004,NA,388,"RFD in 2 Volumes (78 p in Vol 1, 310 in Vol 2), RFD doesnâ€™t distinguish between info sessions and indigenous engagement activities. 129 Intervenors, 8 Letters of comment, 21 Oral Stmts. Conditions: 74 - GC-116, 18 - MO-17-2010, 4 - MO-18-2010, 30 - DP-01-2010, 29 - DP-02-2010, 29 - DP-03-2010",6,"GC-116, MO-17-2010, MO-18-2010, DP-01-2010, DP-02-2010, DP-03-2010",158
2006-02-17 00:00:00,Approved w/ conditions,Large Pipelines,2006-12-05,19,19,2006-10-26,Reasons For Decision Report,251,Yes,Terasen,2006-04-19,3,3,Terasen Pipelines (TransMountain) Inc. - TMX Anchor Loop Project,OH-1-2006,2008-03-14,67,"8 Intervenors, 2 government, 14 letters of comment ( by 5 unique ppl/orgns). Based on a project description filed by Terasen in April 2005, the Board and other Responsible Authorities (RAs) each determined that the Project was subject to a screening level  ssessment under that Act. Since the Project does not require more than 75 km of new RoW, a comprehensive study under the CEA Act was not required.",1,OH-49,24
2006-05-23 00:00:00,Approved w/ conditions,Large Pipelines,2007-06-15,25,25,2007-04-11,Reasons For Decision Report,323,Yes,Emera,2006-06-09,11,11,Emera Brunswick Pipeline Company - Brunswick Pipeline Project,GH-1-2006,2008-12-23,298,"72 Intervenors, 3 government, 19 requests for oral stmt, 189 Letters of Comment (184 unique ppl/orgns). 11 hearing days (excluding weekends assumed)",1,GC-110,278
2006-11-09 00:00:00,Approved w/ conditions,Large Pipelines,2007-10-05,26,26,2007-09-13,Reasons For Decision Report,308,Yes,EnCana,2006-11-15,5,5,EnCana Deep Panuke Pipeline,GH-2-2006,2013-04-16,147,"24 Intervenors, 3 government, Canada-NS Offshore Petroleum Board, 2 requests for oral stmt, 9 Letters of Comment. the
CNSOPB and the NEB signed a further MOU  setting out the framework for a single coordinated public regulatory review process",1,GC-111,39
2006-12-12 00:00:00,Approved w/ conditions,Large Pipelines,2007-11-30,38,38,2007-09-20,Reasons For Decision Report,282,Yes,TransCanada,2007-01-29,9,9,TransCanada Keystone GP Ltd. - TransCanada Keystone Pipeline Project,OH-1-2007,2009-10-29,116,"30 Intervenors, 3 government, 2 requests for oral stmt, 5 Letters of Comment (4 unique ppl/orgns)",1,OC-51,39
2007-01-17 00:00:00,Approved w/ conditions,Large Pipelines,2008-03-19,13,13,2007-06-28,Reasons For Decision Report,162,Yes,Enbridge,2007-02-02,3,3,Enbridge Pipelines (Westspur) Inc. - Alida Cromer Capacity Expansion (ACCE) Project,OH-2-2007,2008-03-25,32,"10 Intervenors, 2 letters of comment. Since the Project requires less than 75 km
of new right-of-way, a screening level of environmental assessment under the CEA Act was
required.",1,GC-50,12
2007-02-28 00:00:00,Approved w/ conditions,Small Pipelines,NA,6,6,2007-09-11,Reasons For Decision Report,195,No,Alliance Pipelines,2007-04-13,0,0,Alliance Pipeline Ltd. - British Columbia Expansion,GHW-1-2007,NA,33,"Alliance exempted from Leave to Open.  Provided notice that operation was initiated on December 29, 2008 .",1,XG-A159-07-2007,15
2007-03-09 00:00:00,Approved w/ conditions,Large Pipelines,2008-05-15,49,49,2008-02-19,Reasons For Decision Report,347,Yes,Enbridge,2007-04-18,6,6,"Enbridge  Southern Lights GP Inc. - Line 13 Transfer, Line 13 Reversal and Capacity Replacement for the Southern Lights Project",OH-3-2003,2009-02-19,170,"17 Intervenors, 11  Letters of Comment.  20 conditions on OH-53, 16 conditions on XO-E101-03-2008,  13 conditions on XO-E101-02-2008",3,"OH-53, MO-03-2008,  XO-E101-03-2008,  XO-E101-02-2008",28
2007-05-30 00:00:00,Approved w/ conditions,Large Pipelines,2008-05-15,21,21,2008-02-22,Reasons For Decision Report,268,Yes,Enbridge,2007-06-28,4,4,Enbridge Pipelines Inc. -  Alberta Clipper Expansion Project,OH-4-2007,2009-12-23,82,"31 Intervenors, 3 Government, 13  Letters of Comment.",1,OC-54,47
2007-06-28 00:00:00,Approved w/ conditions,Large Pipelines,2008-06-19,18,18,2008-04-15,Reasons For Decision Report,292,Yes,Enbridge,2007-07-31,1,1,Enbridge Line 4 Extension Project,OH-5-2007,2009-03-11,40,"14 Intervenors, 6 letters of comment. 15 conditions on OH-55, 3 conditions on XO-E101-0502008",2,"OH-55, X0-E101-05-2008",20
