project,postalCodes,zipCodes
TransCanada_Keystone_XL,K7C 1G8,NA
TransCanada_Keystone_XL,S4S 5W6,NA
TransCanada_Keystone_XL,T2P 0X8,NA
TransCanada_Keystone_XL,T2P 0X8,NA
TransCanada_Keystone_XL,T2P 0X6,NA
TransCanada_Keystone_XL,T2P 0X8,NA
TransCanada_Keystone_XL,T2P 0X8,NA
TransCanada_Keystone_XL,T5Y 1C3,NA
TransCanada_Keystone_XL,T2P 5H1,NA
TransCanada_Keystone_XL,T2P 0X8,NA
TransCanada_Keystone_XL,S7N 4K4,NA
TransCanada_Keystone_XL,S4N 7A1,NA
TransCanada_Keystone_XL,H2Y 2H4,NA
TransCanada_Keystone_XL,T2P 0X8,NA
TransCanada_Keystone_XL,H3B 3V2,NA
TransCanada_Keystone_XL,M5K 1E6,NA
TransCanada_Keystone_XL,T2P 2V7,NA
TransCanada_Keystone_XL,T2P 0X8,NA
TransCanada_Keystone_XL,S7N 4K4,NA
TransCanada_Keystone_XL,S4N 7A1,NA
