project,postalCodes,zipCodes
Alliance_Pipeline_Ltd_-_British_Columbia_Expansion,8,0
Dawn_Gateway_Pipeline_General_Partner_Inc_-_Dawn_Gateway_Pipeline,21,0
Emera_Brunswick_Pipeline_Company_-_Application_for_Alternative_Technique_to_HDD_for_Crossing_St_John_River,8,1
Emera_Brunswick_Pipeline_Company_-_Brunswick_Pipeline_Project,81,2
Enbridge_Bakken_Pipeline_Expansion_Project,162,4
Enbridge_Edmonton_to_Hardisty_Project,1,0
Enbridge_Line_10_Westover_Segment_Replacement_Project_Application,88,5
Enbridge_Line_21_HDD_Replacement,7,5
Enbridge_Line_3_Replacement_Program_Application,308,2
Enbridge_Line_4_Extension_Project,7,1
Enbridge_Line_9_Reversal_Phase_1_Project,134,809
Enbridge_Line_9B_Reversal_Project,326,13
Enbridge_Northern_Gateway,10505,12
Enbridge_Pipelines_(Westspur)_Inc_-_Alida_Cromer_Capacity_Expansion_(ACCE)_Project,3,7
Enbridge_Pipelines_Inc_-_Alberta_Clipper_Expansion_Project,21,11
Enbridge_Pipelines_Inc-_Line_4_Extension_Project,7,1
Enbridge_Southern_Lights_GP_Inc_-_Line_13_Transfer_Line_13_Reversal_and_Capacity_Replacement_for_the_Southern_Lights_Project,13,0
EnCana_Deep_Panuke_Pipeline,6,1
Energy_East_Pipeline_Ltd_-_Energy_East-Eastern_Mainline_(2016),2467,2
Imperial_et_al_-_Imperial_Mackenzie_Gas_Pipeline,5,0
ITC_Lake_Erie_Connector_LLC_-_s_58_Application_for_the_Lake_Erie_Connector_Project_Certificate,86,0
Manitoba_Hydro__Manitoba_to_Minnesota_IPL,31,1
Nova_Gas_Transmission_Ltd_-_TransCanada_Alberta_System,2,1
Nova_Gas_Transmission_Ltd_2017_System_Expansion_Project,100,0
Nova_Gas_Transmission_Ltd_Albersun_Purchase,10,0
Nova_Gas_Transmission_Ltd_ATCO_Integration_Asset_Transfer_(Application_for_Integration_Asset_Transfer_),1,1
Nova_Gas_Transmission_Ltd_Groundbirch_Pipeline_Project,3,0
Nova_Gas_Transmission_Ltd_Horn_River_Pipeline,8,0
Nova_Gas_Transmission_Ltd_Leismer_to_Kettle_River_Crossover,4,0
Nova_Gas_Transmission_Ltd_North_Montney_Mainline_Project_(Aitken_and_Kahta_Sections),96,1
Nova_Gas_Transmission_Ltd_Northwest_Mainline_Komie_North_Extension,0,5
Nova_Gas_Transmission_Ltd_NW_Mainline_Expansion,0,0
Nova_Gas_Transmission_Ltd_Sundre_Crossover,56,0
Nova_Gas_Transmission_Ltd_Towerbirch_Expansion,138,0
Nova_Gas_Transmission_Ltd_West_Path_Delivery_Project,43,0
Nova_Gas_Transmission_Ltd_Wolverine_River_Lateral_Loop_(Carmon_Creek_Section),14,0
Provident_-_Beatton_River_Replacement,65,0
SemCAMS_Redwillow_ULC_-_Redwillow_Pipeline,15,0
TCPL_Vaughan_Mainline_Expansion,57,0
Terasen_Pipelines_(TransMountain)_Inc_-_TMX_Anchor_Loop_Project,21,6
Trans_Mountain_Pipeline_ULC_-_Trans_Mountain_Expansion_Project_(TMX),1810,44
Trans_Mountain_Pipeline_ULC_-_Westridge_Delivery_Line_Relocation,85,1
TransCanada_Keystone_GP_Ltd_-_TransCanada_Keystone_Pipeline_Project,1,1
TransCanada_Keystone_XL,20,0
TransCanada_s_58_Application_for_the_King_North_Connection_Pipeline_Project,46,0
Vantage_Pipeline_Canada_Inc_-_Vantage_Pipeline_Project,46,0
Westcoast_Energy_Inc_-_-_South_Peace_Pipeline,3,1
Westcoast_Energy_Inc_-_Application_for_the_Fort_Nelson_North_Processing_Facility,28,0
Westcoast_Energy_Inc_-_Dawson_Gas_Plant,5,0
Westcoast_Energy_Inc_-_Spruce_Ridge_Program,23,0
Westcoast_Energy_Inc_-_Wyndwood_Pipeline_Expansion,8,0
