"App_Type","Hear_Name","Hear_Number","App_Date_Received","Hear_Date_Order","Dec_Date","Cert_Issue_Date","Dur_Days","Env_Assess_Req","Third_Party_Partic","Hear_Days","NEB_Report_Pages","App_Outcome","Reg_Instrum","Reg_Instrum_Type","Conditions_Issued","LTO_Date","Notes","Hear_Corp","Proj_Type","App_Year_Received","Hear_Year_Order","Dec_Year","Cert_Issue_Year","LTO_Year","Dur_Interval","Hear_Interval","Level_Third_Party_Partic","NEB_Report_Length","Start_City","Start_Prov","End_City","End_Prov","postalCodes","zipCodes"
"Large Pipelines","Enbridge Northern Gateway","OH-004-2010",2010-05-27,2011-05-05,2013-12-19,2014-06-18,1302,"Yes",10000,173,506,"Denied",2,"OC-060, OC-061",209,NA,"RFD in 2 Volumes (Vol 1 – 81pg, vol 2 - 425pg)The CEAA assessment was completed through a joint review panel process.  Participation in Enbridge Northern Gateway hearings: over 9000 letters of comment, 1179 oral statements, 206 intervenors, 12 government participants. The project description was received several years before the May 2010 application and the establishment of the Joint Review Panel. Outreach activities were ongoing prior to the receipt of the application, the establishment of the joint review panel, and the establishment of the Engagement Activities Database. Outreach was conducted by NEB, CEA Agency, and NRCan (MPMO). Indigenous peoples would have been included in the various public engagement activities reported in the previous column.","Enbridge","Oil",2010,2011,2013,2014,NA,"Very Long","> 100 Days","Very Large","> 500","Bruderheim","AB","Kitimat","BC",10505,12
"Large Pipelines","Enbridge Northern Gateway","OH-004-2010",2010-05-27,2011-05-05,2013-12-19,2016-12-06,1302,"Yes",10000,173,506,"Denied",2,"RO-OC-060, RO-OC-062",0,NA,"RFD in 2 Volumes (Vol 1 – 81pg, vol 2 - 425pg)The CEAA assessment was completed through a joint review panel process.  Participation in Enbridge Northern Gateway hearings: over 9000 letters of comment, 1179 oral statements, 206 intervenors, 12 government participants. The project description was received several years before the May 2010 application and the establishment of the Joint Review Panel. Outreach activities were ongoing prior to the receipt of the application, the establishment of the joint review panel, and the establishment of the Engagement Activities Database. Outreach was conducted by NEB, CEA Agency, and NRCan (MPMO). Indigenous peoples would have been included in the various public engagement activities reported in the previous column.","Enbridge","Oil",2010,2011,2013,2016,NA,"Very Long","> 100 Days","Very Large","> 500","Bruderheim","AB","Kitimat","BC",10505,12
"Large Pipelines","Nova Gas Transmission Ltd.  Leismer to Kettle River Crossover","GH-004-2011",2011-07-15,2011-11-01,2012-06-21,2012-09-24,342,"Yes",9,1,120,"Approved",1,"GC-120",22,2013-04-16,NA,"Nova","Gas",2011,2011,2012,2012,2013,"Long","1 Day","Small","50-150","Ft McMurray","AB","Ft McMurray","AB",4,0
"Large Pipelines","Nova Gas Transmission Ltd.  Leismer to Kettle River Crossover","GH-004-2011",2011-07-15,2011-11-01,2012-07-26,2012-09-24,377,"Yes",9,1,120,"Approved",1,"GC-120",22,2013-04-16,NA,"Nova","Gas",2011,2011,2012,2012,2013,"Long","1 Day","Small","50-150","Ft McMurray","AB","Ft McMurray","AB",4,0
"Large Pipelines","Nova Gas Transmission Ltd.  Northwest Mainline Komie North Extension","GH-001-2012",2011-10-14,2012-01-24,2013-01-28,2013-05-06,472,"No",27,10,180,"Approved",1,"GC-121",25,2014-05-23,"NEB initiated an environmental assessment under CEA Act 1992. Project not designated under CEA Act 2012, so EA was concluded only under NEB Act.","Nova","Gas",2011,2012,2013,2013,2014,"Long","5-20 Days","Small","150-200","Fortune Creek","BC","Meikle River","AB",0,5
"Large Pipelines","Enbridge Edmonton to Hardisty Project","OH-001-2013",2012-12-14,2013-03-11,2014-01-30,2014-04-16,412,"No",8,5,104,"Approved",2,"OC-062, XO-E101-006-2014",31,2015-03-13,"NEB initiated environmental assessment when the Project was not designated under CEA Act 2012. Oct 2013, amendments added new pipelines over 40 km to the Regulations Designating Physical Activities, but transition provisions stated that projects that had commenced an EA were exempt from the amended regulations. EA was conducted under NEB Act. (17 conditions on OC-062, 14 conditions on XO-E101-006-2014","Enbridge","Oil",2012,2013,2014,2014,2015,"Long","5-20 Days","Small","50-150","Edmonton","AB","Hardisty","AB",1,0
"Large Pipelines","Nova Gas Transmission Ltd. North Montney Mainline Project (Aitken and Kahta Sections)","GH-001-2014",2013-11-08,2014-02-05,2015-04-15,2015-06-11,523,"Yes",51,17,212,"Approved",3,"GC-125, XG-N081-010-2015, TG-002-2015",64,NA,"45 Conditions GC-125, 14 Conditions XG-N081-010-2015, 5 conditions TG-002-2015","Nova","Gas",2013,2014,2015,2015,NA,"Very Long","5-20 Days","Med","200-500","Prairie Sunset","BC","Trutch","BC",96,1
"Large Pipelines","Nova Gas Transmission Ltd. ATCO Integration Asset Transfer (Application for Integration Asset Transfer )","GH-002-2014",2013-11-12,2014-04-17,2014-10-16,2014-12-16,338,"No",10,0,70,"Approved",2,"GC-123 , MO-116-2014",13,NA,"11 Conditions GC-123 , 2 Conditions MO-116-2014","Nova","Gas",2013,2014,2014,2014,NA,"Long","None","Small","50-150","Edmonton","AB","Lethbridge","AB",1,1
"Large Pipelines","Trans Mountain Pipeline ULC - Trans Mountain Expansion Project (TMX)","OH-001-2014",2013-12-16,2014-04-04,2016-05-19,2016-12-01,885,"Yes",1650,39,553,"Approved",7,"OC-064, AO-003-OC-2, AO-002-OC-49, XO-T260-007-2016, XO-T260-008-2016, XO-T260-009-2016, XO-T260-010-2016, MO-015-2016",157,NA,NA,"Trans Mountain","Oil",2013,2014,2016,2016,NA,"Very Long","20-100 Days","Very Large","> 500","Edmonton","AB","Vancouver","BC",1810,44
"Large Pipelines","Nova Gas Transmission Ltd. Wolverine River Lateral Loop (Carmon Creek Section)","GH-003-2014",2014-03-25,2014-07-17,2015-03-05,2015-06-01,345,"Yes",5,0,83,"Approved",2,"GC-124, XG-N081-004-2015",24,NA,"16 Conditions GC-124, 8 Conditions XG-N081-004-2015","Nova","Gas",2014,2014,2015,2015,NA,"Long","None","Small","50-150","Peace River","AB","Peace River","AB",14,0
